Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,8.6644591627191,1.34,2.50800127271706,196074368.144829,74.603053828,40.481307519072,28.2175206392332,31.111487865,44.3100963408752,,2571986572.12719,70.213090095,,252.796782675034,66.437728139,,,56.9,154.9,50.597,52.3435868256805,,10174127.0,4748435.0,46.6716732232614
YR1961,,1285220.0,,8.18368984375,5.91670898836375,1.69,2.64475743348983,248163156.892262,82.955784893,43.0081880467796,27.6785327704936,34.247814655,44.0708843725187,3.10333433194559,2897852693.27494,77.710749722,7.34709633145569,276.641400132003,73.819295272,,,56.0,150.9,51.192,52.1494376653411,2.91552788607425,10475123.0,4967330.0,47.4202587957759
YR1962,1738.0,1285220.0,,8.425478125,6.64109326359749,1.78,2.42506811989101,282881848.418452,94.875279622,41.9262285099283,27.6996159215618,39.828054428,45.2152110575742,3.01285531533597,3284322201.27831,88.085521435,10.0352933342212,304.537817519843,84.369604175,290.0,,54.9,146.6,51.532,51.9860195248564,2.91170953188299,10784612.0,5204574.0,48.2592628759378
YR1963,1738.0,1285220.0,,8.67351484375,6.07014388428593,2.61,3.31639135959339,322265681.906125,102.757372203,40.02640036037,26.0117723163665,45.862408638,47.5230206282946,5.01379927326985,3598272493.3109,96.505668267,4.32824981844591,324.107404672837,92.666548217,300.0,,53.8,142.0,52.597,51.8523052195943,2.9013886238878,11102099.0,5468011.0,49.2520484857458
YR1964,1738.0,1285220.0,,8.9281078125,9.79228486663484,3.23,3.34022750775595,426758020.187426,119.765413828,37.3122161348033,26.770492878104,54.539820671,46.7089319673735,13.5575943541509,4353664866.67985,116.76529172,6.54786765047102,380.965457465866,111.96582986,330.0,,52.6,137.5,53.302,51.7548315089,2.89303697300122,11427978.0,5755731.0,50.3652605734247
YR1965,1738.0,1285220.0,,9.18834765625,16.3899613894424,3.56,3.09834638816362,521998508.595153,145.780351693,34.6636826770649,26.3730725976802,65.219586002,47.0995176704857,12.2779613605507,5163008077.37371,138.47187663,5.62173344947736,438.990796969303,133.35722645,380.0,,51.6,133.0,53.871,51.689701601098,2.87316408489562,11761085.0,6064637.0,51.5652855826149
YR1966,1738.0,1285220.0,,9.45413828125,8.84060374922209,3.89,2.84356725146199,615212527.987144,173.169225284,34.7276170845867,26.4434612285671,76.301756733,46.5695641884155,9.31690649743821,6109048736.61853,163.84468711,8.2389204457594,504.825948542419,157.17460237,450.0,,50.6,128.7,54.4,51.6499471089752,2.85164368215185,12101297.0,6391725.0,52.8185099569567
YR1967,1738.0,1285220.0,,9.7256359375,9.78360256063414,7.38,4.70363288718929,614909925.007932,199.876082346,35.5979163539654,27.7415085592704,85.182396241,45.4625045459978,10.1151075088395,6194340079.8786,187.36846351,3.85256440782895,497.58475625699,179.28355554,480.0,,49.6,124.7,54.893,51.6321495217195,2.83127203880249,12448814.0,6733728.0,54.0913201400902
YR1968,1738.0,1285220.0,,10.00311953125,19.086618545438,4.38,2.35737351991389,558139544.743104,225.206811358,36.9837839204578,27.6833185767551,100.85340739,45.4322369338844,18.2957936928704,5736083835.29034,221.98644442,0.152237710931757,447.99179719095,211.34155874,470.0,,48.5,121.0,55.384,51.6368351512233,2.81317180743938,12803993.0,7087023.0,55.3501025756557
YR1969,1738.0,1285220.0,,10.28653671875,6.23615806078061,4.99,2.38755980861244,602067163.762327,248.429430395,34.2867623821047,28.2587424955593,110.61917742,44.5166926674564,8.13843047635075,6420909789.83,248.48920886,3.51445891251396,487.660318575547,236.56585944,470.0,,47.3,117.6,55.816,51.6624486609944,2.79389280597849,13166767.0,7447287.0,56.5612437072935
