Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,4.15482177982161,249500000.0,1.77845890655072,,,,34.6102115941058,6312474712.0,41.6815997657078,,7515894110.56487,15144511601.0,,269.465146474794,14953320601.0,,,25.6,62.3,59.175,49.3712268948357,,27891897.0,8370647.0,30.0110353409461
YR1961,2348.0,300000.0,,96.5353081204318,1.59563300452722,260000000.0,1.70290804296568,,,,35.1847837975718,6795409066.0,41.1698345415602,3.11570923765869,8171194424.94498,16505796396.0,5.69547095029755,283.794741192369,16400034596.0,,,25.6,60.7,59.469,49.0356252915569,3.17829224985788,28792621.0,8710689.0,30.2531994816089
YR1962,2348.0,300000.0,,99.6564608060082,5.79665220101376,309000000.0,1.80881578177135,,,,34.8656666700212,7633519253.0,41.3293097629954,6.72768381636621,4954593071.82796,18469989692.0,4.84629418915898,166.689221357377,18415866192.0,230.0,,25.6,59.4,59.755,48.7730102371903,3.18200508567463,29723536.0,9055161.0,30.4646163598705
YR1963,2348.0,300000.0,,102.845607858915,5.62554937008824,368500000.0,1.85586220789686,,,,35.4997189205613,8631393297.0,40.0957194751098,8.90967246210445,5505023238.40669,21526969487.0,7.01626518416583,179.464434045296,21462717587.0,210.0,,25.6,58.3,60.018,48.6255788192568,3.15000313102439,30674731.0,9402607.0,30.652613340391
YR1964,2348.0,300000.0,,106.092107557165,8.1830790570033,366000000.0,1.70494246983742,,,,34.8819048431074,9627908791.0,41.3583673238378,4.58145277400726,5953756194.80988,23279228398.0,3.40249443571273,188.153783582113,23194471898.0,180.0,,25.6,57.4,60.13,48.6285250514003,3.1078745171606,31643032.0,9753577.0,30.8237757005861
YR1965,2348.0,300000.0,,109.385489170522,2.56410256428449,364000000.0,1.54919986380661,,,,34.4474099590892,10518518161.0,41.2856038802844,3.88983170140634,6517349771.93386,25477447760.0,5.34508932932236,199.763575376063,25356237760.0,200.0,,25.6,56.5,60.41,48.6816717527222,3.05705850457282,32625316.0,10108853.0,30.9846887178715
YR1966,2348.0,300000.0,,112.710956883256,5.39999999968075,427500000.0,1.65172706900549,,,,34.2832933730267,11626215737.0,41.4671517692114,5.36747450436954,7189017887.69231,28037169762.0,4.4411585340256,213.849586020843,27951268962.0,210.0,,25.5,55.7,60.623,48.7281655286296,2.99483969320958,33617170.0,10469038.0,31.1419376696627
YR1967,2348.0,300000.0,,116.077650372159,6.25395319397734,505000000.0,1.73993936052922,,,,34.9034149421182,12251432700.0,40.6659451840992,2.12038564955191,7724873935.12821,30127008347.0,5.22268758922664,223.124766332659,30032838347.0,220.0,,25.4,54.9,60.804,48.8317415396062,2.94327289189659,34621320.0,10837203.0,31.3021078333755
YR1968,2348.0,300000.0,,119.487500838195,2.35880645890594,600000000.0,1.86747175448971,,,,34.0100968062073,13420464700.0,39.861516736443,6.39240438553601,8632749269.48718,33667722151.0,5.03815939692956,242.232067627814,33286512151.0,240.0,,25.3,54.2,60.917,49.0000292381728,2.89524034865302,35638342.0,11216022.0,31.4717844864255
YR1969,2348.0,300000.0,,122.915573660565,1.95551032285384,738000000.0,2.09088848594742,,,,33.6215619636187,14778052759.0,39.5875805892846,5.91110577625911,9571800652.5641,37330022545.0,4.68947344100819,261.090890369413,37023320045.0,260.0,,25.2,53.6,60.981,49.2186190486465,2.82859562885522,36660799.0,11605912.0,31.6575529062283
YR1970,2348.0,300000.0,-0.013758223401971,126.138952591699,14.3814616757328,915500000.0,2.15675650207312,,,,35.4264670905506,17055836145.0,38.2146546435325,15.3021832828781,7559115516.69532,44631663701.0,3.69248748654796,200.921655645037,43863664901.0,240.0,,25.0,53.2,60.827,49.3952985848463,2.58863709695368,37622204.0,11988215.0,31.8647345837349
YR1971,2348.0,300000.0,0.257788716833728,129.144568497284,21.4033435366143,1037500000.0,2.06999062269308,,,,35.9743469759394,19915760393.0,36.9727569532178,14.518766729625,8375075629.8327,53866040929.0,5.38900841621259,217.429055093343,53214501729.0,240.0,99.5359420776367,24.9,52.9,61.065,49.5426787832879,2.35483652244374,38518659.0,12356496.0,32.0792468136461
