Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,54.853,48.1372286250335,,9328.0,4095.0,43.894775117413
YR1961,,460.0,,,,,,,,,,,,,,,,,,,,,,55.092,47.0800627943485,2.40439480840999,9555.0,4374.0,45.7781050672294
YR1962,,460.0,,,,,,,,,,,,,,,,,,,,,,55.378,46.1962626365771,2.4603267046421,9793.0,4659.0,47.575952989293
YR1963,,460.0,,,,,,,,,,,,,,,,,,,,,,55.567,45.6012752814586,2.46104200930057,10037.0,4947.0,49.2837363198222
YR1964,,460.0,,,,,,,,,,,,,,,,,,,,,,55.795,45.2633113097552,2.50886295878345,10292.0,5238.0,50.8968724950351
YR1965,,460.0,,,,,,,,,,,,,,,,,,,,,80.9,55.938,45.0817729319744,2.44745648749795,10547.0,5528.0,52.4107789511502
YR1966,,460.0,,,,,,,,,,,,,,,,,,,,,78.3,56.212,45.0506733305567,2.41675306643722,10805.0,5815.0,53.8208731243858
YR1967,,460.0,,,,,,,,,,,,,,,,,,,,,75.5,56.54,45.7226064797961,1.67947782741781,10988.0,6057.0,55.1225724509601
YR1968,,460.0,,,,,,,,,,,,,,,,,,,,,72.9,56.886,47.0893501805054,0.833791308611024,11080.0,6239.0,56.3112943670916
YR1969,,460.0,,,,,,,,,,,,,,,,,,,,,70.2,57.253,48.472085312304,0.710466588442652,11159.0,6403.0,57.3824563089985
YR1970,,460.0,,,,,,,,,,,,,11563041.0,11563041.0,,1017.15701970443,12970467.0,,,,67.3,57.674,49.2941021242908,1.85560435912354,11368.0,6631.0,58.3314757128992
YR1971,,460.0,,,,,,,,,,,,9.75348475785822,12706874.0,12706874.0,0.126339611580775,1080.60838506676,14253524.0,,,,64.2,58.108,49.4684922187261,3.38165140464792,11759.0,6956.0,59.1537700150119
YR1972,,460.0,,,,,,,,,,,,9.46045729712752,13956474.0,13956474.0,0.341301339262174,1144.53616532721,15655223.0,1260.0,,,60.8,58.557,49.5776611448253,3.63251226443457,12194.0,7297.0,59.8447566515551
YR1973,,460.0,,,,,,,,,,,,9.63354547123775,15331889.0,15331889.0,0.202024553629073,1221.46980560867,17198050.0,1420.0,,,57.5,59.024,49.9203314212875,2.89359879451072,12552.0,7581.0,60.3990185104056
YR1974,,460.0,,,,,,,,,,,,9.77770883572357,16848759.0,16848759.0,0.105534658034941,1328.03334121542,18899550.0,1610.0,,,54.1,59.492,50.5616206203445,1.06978317277297,12687.0,7716.0,60.8187030702512
YR1975,,460.0,,,,,,,,,,,,9.89790713601182,18521112.0,18521112.0,0.0252666400614601,1463.541050968,20775458.0,1780.0,,,50.9,59.998,51.3472935598578,-0.252545316137384,12655.0,7736.0,61.1300201585569
YR1976,,460.0,,,,,,,,,,,,9.99814508278327,20364420.0,20364420.0,-0.0415240695014916,1616.48039371329,22843128.0,1840.0,,,47.9,60.469,52.1014406476962,-0.451432279735013,12598.0,7732.0,61.3746294659139
