Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,230496036.879366,205800000.0,,115.530490488928,203600200.0,,,,146.5,45.805,55.4705643975932,,1995110.0,69084.0,3.46268156627651
YR1961,3142.0,462840.0,,4.51823300799364,,,,68992011.0387218,244400000.0,44.2360475754803,13.4492223238792,,,0.0362766822397731,244832039.173126,218600000.0,6.18111172492752,119.656325913849,216100200.0,,,,142.4,46.425,55.2267907189512,2.52495512728897,2046127.0,77878.0,3.80611459532015
YR1962,3142.0,462840.0,,4.6237667270238,,,,75600012.0960019,260100000.0,44.1252144082333,14.2367066895369,,,0.286504137513433,261184041.789447,233200000.0,6.37409931200521,124.734548848091,231300200.0,130.0,,,138.2,46.706,54.9872165511695,2.30886918124621,2093919.0,87414.0,4.17463940239185
YR1963,3142.0,462840.0,,4.72856070308705,,,,85904013.7446422,280100000.0,48.3766233766234,15.3814935064935,,,1.5257202941325,275968044.154887,246400000.0,4.07252177318168,128.874165095194,244400200.0,130.0,,,134.1,47.674,54.7508004199169,2.24111833062892,2141376.0,97795.0,4.56693052849026
YR1964,3142.0,462840.0,,4.83223291966612,,,,100016016.002563,316800000.0,52.6045487894351,15.7006603081438,,,1.90000000259982,305312048.849928,272600000.0,8.57028153120143,139.518603886501,269900000.0,140.0,,,130.0,48.295,54.5210253227868,2.16877979482397,2188325.0,109015.0,4.98166251461399
YR1965,3142.0,462840.0,,4.93711080687188,,,,117600018.816003,368400000.0,56.003904978848,17.8978197201432,,,2.23160142315734,344176055.068169,307300000.0,10.2685198038056,153.93728254876,304500000.0,150.0,,,126.0,48.927,54.2981993183709,2.14716401517434,2235820.0,121126.0,5.41750990176169
YR1966,3142.0,462840.0,,5.04741862827364,,,,139888022.382084,430500000.0,56.9177885992552,20.3380120309367,,,7.36065437378709,390992062.55873,349100000.0,5.8137579823151,171.054558569102,347200000.0,170.0,,,122.1,49.566,54.0767153708109,2.20966466851885,2285774.0,134314.0,5.87606661131743
YR1967,3142.0,462840.0,,5.16171002075697,,,,154112024.657924,482700100.0,56.9979571506194,19.8529361427647,,,8.557463493269,441728182.676509,394400100.0,4.07046147460628,188.972036608059,392699900.0,180.0,,,118.2,50.247,53.8452422994086,2.23909740833561,2337532.0,154933.0,6.62804575104688
YR1968,3142.0,462840.0,,5.27934240162523,,,,162736026.037764,526200100.0,58.9335044013148,18.5364684818863,,,5.24928800153106,485184189.62947,433200100.0,4.35959025088704,202.937753394767,429899800.0,200.0,,,114.5,50.884,53.6165979345438,2.2533620850708,2390803.0,185704.0,7.76744833896664
YR1969,3142.0,462840.0,,5.4032747427461,,,,176064028.170245,625099800.0,64.811078752978,18.4681099017106,,,4.93753964402212,551263864.202218,492199800.0,8.27345794779133,225.288234672395,485899800.0,220.0,,,110.8,51.523,53.3853795771961,2.32036587903627,2446927.0,221465.0,9.05072558494134
YR1970,3142.0,462840.0,20.0830829227823,5.53289758424237,,,,194208031.073285,780000100.0,72.414977027242,22.1027026192397,,,5.65136294376352,645568215.290914,576400100.0,10.8428057776823,257.647270580834,558800100.0,250.0,46.9135208129883,,107.2,52.144,53.1653048986731,2.37064501523361,2505628.0,256501.0,10.2370132871121
YR1971,3142.0,462840.0,6.6165073631652,5.66713995495297,,,,221011874.148974,863199700.0,79.6085952047333,24.463391560414,,,3.41352952874581,717750278.105664,633599800.0,6.29519256737012,279.669733884528,602600200.0,270.0,46.6378707885742,,103.8,52.593,52.9772681533411,2.39729196049307,2566421.0,284446.0,11.083375360123
YR1972,3142.0,462840.0,10.0004433465104,5.80407189860001,6.07499999951511,,,260586631.28309,834899800.0,79.4589789955288,28.2666413052467,,,7.13256642896076,858761926.08968,717099700.0,5.6435533711489,326.720237042343,680800000.0,300.0,47.2144317626953,,100.5,53.25,52.9193350028962,2.38751493496011,2628432.0,306870.0,11.6750303863167
YR1973,3142.0,462840.0,8.61379212856674,5.94141456520779,8.34315342947217,,,353777939.367773,827700000.0,79.6982835902482,36.1102000655953,,,19.7375060864035,1299079410.43638,914700000.0,6.52926483244623,482.816252421415,856899800.0,390.0,48.7579612731934,,97.3,53.853,53.0119537104521,2.33875246017808,2690629.0,329110.0,12.23170310436
YR1974,3142.0,462840.0,4.95359986993382,6.07841496268162,23.1672830103248,,,429330841.46492,960700200.0,86.7260295412306,34.8625648048518,,,8.92002689753244,1467417672.17002,1022300000.0,2.61053259341438,533.088651774956,947200000.0,490.0,49.8155212402344,44.4,94.4,54.441,53.1732548447044,2.27967177493071,2752671.0,349566.0,12.699173320616
YR1975,3142.0,462840.0,-0.164381104892406,6.21565163626728,10.4909925823773,6060000.0,0.603585657370518,455168459.457018,1111599900.0,86.1430280806716,28.4859596641899,,,2.26931250527028,1356603608.09695,1036300000.0,-0.87988416462035,481.950394020557,980999900.0,550.0,50.4843597412109,43.0,91.5,54.984,53.3922855826864,2.23266033599702,2814820.0,366518.0,13.021026274672
YR1976,3142.0,462840.0,1.37779709329386,6.35367884114296,7.65664961624512,17430000.0,1.63125877398222,457488392.509148,1211300100.0,82.5546456327921,25.1126334984677,,,19.7180633966565,1511843235.49111,1198599900.0,-3.38844861433063,525.433235600649,1158199900.0,520.0,52.1401786804199,41.4,88.9,55.53,53.6653891501749,2.19634217875921,2877327.0,378105.0,13.1408472061157
YR1977,3142.0,462840.0,1.20690439017137,6.49279468268339,4.52858203462227,17630000.0,1.25008863362405,426707589.511352,1311300000.0,91.2437427801309,26.0839430111667,,,7.43782515703944,1640746618.68467,1298500000.0,0.834815601092103,558.015016249782,1271800000.0,530.0,52.035961151123,39.9,86.4,56.05,53.9888590622744,2.16590614822407,2940327.0,386038.0,13.1290916070606
YR1978,3142.0,462840.0,1.99740163717153,6.63276509296471,5.79999999899959,19440000.0,1.26644951140065,498360193.250344,1437500000.0,87.3560866101818,25.4182055181403,,,-2.03047314024751,1947878830.62383,1380900000.0,8.549859334011,648.490112781654,1361500000.0,640.0,53.3068313598633,38.5,84.0,56.523,54.3507304623543,2.13287233225929,3003714.0,393565.0,13.1026265343289
YR1979,3142.0,462840.0,1.92708649030263,6.77326546835667,5.76559546319348,21460000.0,1.21030962720659,521807161.7139,1645300100.0,91.0694603044554,29.0824433981108,,,16.0998420454896,2293760510.9609,1632600100.0,1.83239551493573,747.800949082904,1594600100.0,730.0,55.7307510375977,37.3,81.9,56.967,54.739291337466,2.09615395406892,3067341.0,401044.0,13.0746545745711
YR1980,3142.0,462840.0,2.96658731456312,6.91496709799938,12.0643431636459,26030000.0,1.40308322552824,612866013.062154,1893100000.0,96.50489432703,26.8426907089749,,,7.09131507200217,2545808455.52399,1708100000.0,-2.30345120118429,812.964617578981,1668000000.0,810.0,59.5399589538574,36.4,80.0,57.391,55.1363686295949,2.07048924866839,3131512.0,408931.0,13.0585719559426
YR1981,3142.0,462840.0,3.44967011232956,7.05961886675794,8.05422647614106,25740000.0,1.40963855421687,675218844.311831,2016699900.0,96.984302878896,23.2393528432072,,,-1.30360236083642,2498190847.39668,1681200000.0,-0.274829571650017,781.41257446286,1622500000.0,820.0,59.0731811523438,35.7,78.0,57.76,55.3820379832022,2.07028581263069,3197019.0,418762.0,13.098515254061
YR1982,3142.0,462840.0,3.62593106749441,7.20816808726759,5.53505535055348,,,633888589.466158,2148600000.0,97.3302080951292,23.2334781614452,,,3.67880154616576,2368719683.44848,1749200000.0,0.352944288679396,725.645992789394,1661100000.0,750.0,60.602840423584,35.1,76.3,58.075,55.4732474106556,2.08237744079328,3264291.0,432762.0,13.2574715861765
YR1983,3142.0,462840.0,5.41951136898291,7.36128825685642,7.90209790139863,,,596905564.339242,2512199900.0,89.6476079346558,27.8879813302217,,,18.6599603587854,2562351551.04491,2142500000.0,3.22316306354293,768.636364904269,2023200000.0,710.0,,34.6,74.6,58.294,55.5376221677671,2.10201127455662,3333633.0,450335.0,13.5088462932742
YR1984,3142.0,462840.0,4.5320296059196,7.51931722828247,7.42060920354786,,,593510447.920655,2608000000.0,92.5883902607843,23.5601855709035,,,7.43829290818989,2552662617.18854,2293700100.0,-0.354726452176862,749.637059926778,2220900100.0,700.0,65.1812362670898,34.0,73.1,58.583,55.5766589162596,2.12403874054054,3405198.0,470704.0,13.8231099049148
YR1985,3142.0,462840.0,3.43943032361386,7.68214459214768,3.71040723981909,34300000.0,1.55887833477253,569021227.334617,2674400200.0,94.5546761868456,26.2324191975406,,,1.62013834123726,2423339171.50015,2424100100.0,4.00019034409902,696.574806636325,2335400100.0,710.0,,33.3,71.7,58.804,55.5981132734424,2.14234122191857,3478936.0,492991.0,14.1707329506594
YR1986,3142.0,462840.0,3.42918372726221,7.84965110630217,5.45375218150084,36380000.0,1.56493310964856,608494627.419411,2772300100.0,94.9344866461921,28.371496326245,,,1.35686908763664,2647995602.28698,2572300000.0,4.69305706882692,744.908522742949,2500200000.0,750.0,67.2036209106445,32.6,70.3,59.017,55.6084278325067,2.15703338020317,3554793.0,516234.0,14.5221859600689
YR1987,3142.0,462840.0,2.96384418821471,8.02133772026675,3.33747069369721,38480000.0,1.61078320565951,704593792.9219,3040000000.0,92.8388744294179,31.6820247234707,,,7.9715999600602,3143851794.08723,2854299900.0,2.7704948317036,865.468569563314,2723799900.0,810.0,67.9313278198242,32.0,69.1,59.232,55.6226251998428,2.16361202578674,3632543.0,539358.0,14.8479394627041
YR1988,3142.0,462840.0,4.19820346401792,8.19652872852537,5.44508207660464,40140000.0,1.26628600271302,764543805.280646,3445000100.0,95.173653827955,34.1661146336078,,,7.92423698484919,3656177880.70625,3170100000.0,2.90924048446031,984.993556016427,3048000000.0,940.0,69.0229263305664,31.6,67.9,59.381,55.6436091683998,2.16055328455361,3711880.0,561179.0,15.118463988126
YR1989,3142.0,462840.0,5.73501502313829,8.38245373846222,4.48044551322661,45580000.0,1.49653610007552,867375875.78904,3414100100.0,93.3939652625012,29.546564008274,,,-2.54065314746838,3546472565.69364,3045700000.0,-1.41957988360637,934.246494854331,2930700000.0,950.0,71.2917327880859,31.4,66.8,59.598,55.6689825656902,2.24299416665811,3796078.0,580961.0,15.3042300658954
YR1990,3142.0,462840.0,4.8269122747966,8.60416243430641,6.9533615990307,65600000.0,1.4191337327407,799541877.829901,3332100000.0,89.5715493140888,30.4108900591639,,,4.13823158649787,3219729083.06487,3076200000.0,-3.01216922181256,826.317152082832,2958300000.0,880.0,69.4697494506836,31.6,65.6,59.778,55.7137909454442,2.61054096368867,3896481.0,599110.0,15.3756788160602
YR1991,3142.0,462840.0,3.18418311784417,8.88097204434041,6.96568127760753,50100000.0,0.924685894061952,895693277.310924,3962200000.0,94.4197914355447,34.4242234302197,,,6.9948548910578,3787394957.98319,3605600000.0,9.54689771039914,941.707721616563,3487700000.0,920.0,68.8150100708008,32.0,64.5,59.94,55.8274241347921,3.16649253096029,4021837.0,616231.0,15.3221352858539
YR1992,3142.0,462840.0,2.42903575338544,9.20085456874089,4.30961457009748,56500000.0,0.890351343106268,1041364296.08128,4132300000.0,93.5519772673455,39.7489983424106,,,2.87598128685119,4377980510.05598,4223000000.0,13.8490852689481,1050.7071689258,3838353800.0,970.0,69.9693832397461,32.2,63.4,60.26,56.0095826444888,3.53853521817667,4166699.0,632069.0,15.1695383588822
