Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,1420000.0,,,,,,,,,,,,,,,,,57.8,67.6804878048781,60.8392131638236,,29637450.0,14242587.0,48.0560460566307
YR1961,600.0,312690.0,,97.828855006693,,1610000.0,,,,,,,,,,,,,,,,,53.5,67.7780487804878,60.6599681647793,1.09578967474124,29964000.0,14566018.0,48.6117275049923
YR1962,600.0,312690.0,,98.9536060596167,,1750000.0,,,,,,,,,,,,,,,,,50.0,67.4268292682927,60.8297115244892,1.14315401418553,30308500.0,14877727.0,49.0876391652269
YR1963,600.0,312690.0,,100.270985014202,,1980000.0,,,,,,,,,,,,,,,,,46.7,68.3756097560976,61.1500954227715,1.32252564710048,30712000.0,15203738.0,49.5042258170874
YR1964,600.0,312690.0,,101.666557837344,,2080000.0,,,,,,,,,,,,,,,,,43.5,68.6292682926829,61.5592775625957,1.38220463805364,31139450.0,15531435.0,49.8770379382713
YR1965,600.0,312690.0,,102.663978582389,,2210000.0,,,,,,,,,,,,,,,,,40.6,69.4292682926829,62.0138757461227,0.976289383725576,31444950.0,15792165.0,50.221626006476
YR1966,600.0,312690.0,,103.434653433021,,2390000.0,,,,,,,,,,,,,,,,,38.1,69.8268292682927,62.534493480862,0.747873418831712,31681000.0,16015867.0,50.553540499399
YR1967,600.0,312690.0,,104.434212674263,,2510000.0,,,,,,,,,,,,,,,,,36.1,69.4243902439024,63.109931795526,0.961728386006623,31987155.0,16277730.0,50.8883318947378
YR1968,600.0,312690.0,,105.438163178687,,2890000.0,,,,,,,,,,,,,,,,,34.5,70.219512195122,63.6878770792329,0.956732069447229,32294655.0,16548282.0,51.2415506701898
YR1969,600.0,312690.0,,106.26628358745,,3190000.0,,,,,,,,,,,,,,,,18.7,33.2,69.719512195122,64.2612646964872,0.782340328898866,32548300.0,16804280.0,51.6287473034525
YR1970,600.0,312690.0,,106.645009631395,,3410000.0,,,,,,,,,,,,,,,,18.3,31.9,69.8682926829268,64.8850099977311,0.355759845018321,32664300.0,17007302.0,52.0669426831476
