Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,218000000.0,,,27.6257462024942,1008500000.0,59.6075418168923,,1691900000.0,1691900000.0,,717.514843087362,1676400000.0,,,,,68.627,52.7215211024753,,2358000.0,1044782.0,44.3079773254335
YR1961,2054.0,8870.0,,270.543630214205,,,,,,,,,,2.98507219595221,1865100000.0,1865100000.0,7.04173847056543,777.215027407341,1833900000.0,,,,,68.528,53.2942468487251,1.75390951961888,2399722.0,1081383.0,45.0628344974477
YR1962,2054.0,8870.0,,276.24825253664,,,,,,,,,,3.66581701786831,2094400000.0,2094400000.0,8.32331253214566,854.74480496849,2047400000.0,820.0,,,,68.863,53.8827618934679,2.08665471807182,2450322.0,1128623.0,46.0601982845236
YR1963,2054.0,8870.0,,282.359639233371,,,,313000000.0,2669000000.0,,31.01217003771,1409400000.0,60.3959547480288,2.54934036694041,2333600000.0,2333600000.0,8.65104700867182,931.751665981242,2271100000.0,900.0,,,,68.727,54.3436282540829,2.18816476905175,2504530.0,1183182.0,47.2416627623618
YR1964,2054.0,8870.0,,287.944306651635,,,,356000000.0,3039000000.0,,30.8811515269403,1585800000.0,61.6922777669714,2.88692934845038,2570500000.0,2570500000.0,7.06092372128818,1006.43444609497,2487900000.0,960.0,,,,68.242,54.6711554145935,1.95855069106078,2554066.0,1240269.0,48.5605653743737
YR1965,2054.0,8870.0,,292.446448703495,,,,392000000.0,3457000000.0,,31.2024986985945,1807700000.0,62.734686795072,2.65003907360828,2881500000.0,2881500000.0,9.204842464826,1110.83269082498,2763900000.0,1060.0,,,,69.289,54.8982093123269,1.55144868010407,2594000.0,1296228.0,49.970243563971
YR1966,2054.0,8870.0,,295.940811724915,,,,429000000.0,3759000000.0,,32.2756662986911,2024500000.0,63.8542816590443,2.35383272010479,3170500000.0,3170500000.0,7.49914839628794,1207.81182440348,3019400000.0,1160.0,,,,70.223,55.061284561418,1.18779053856161,2624995.0,1349878.0,51.4240347745653
YR1967,2054.0,8870.0,,298.272153325817,,,,507000000.0,4063000000.0,,32.1199082854474,2228800000.0,63.0905539672205,4.89614425841897,3532700000.0,3532700000.0,6.2232233534659,1335.27411162524,3307000000.0,1240.0,,,,70.699,55.2017505327382,0.784686198506567,2645674.0,1398907.0,52.8752764495683
YR1968,2054.0,8870.0,,300.119954904171,,,,598000000.0,4535000000.0,,32.3515234543471,2466200000.0,62.5669127533805,6.08203640282059,3941700000.0,3941700000.0,5.18043459789826,1480.69317642251,3683500000.0,1370.0,,,,70.566,55.3561249981009,0.617590849260864,2662064.0,1444897.0,54.2773060323915
YR1969,2054.0,8870.0,,302.6099210823,,,,672000000.0,5098000000.0,,31.7707983051987,2791000000.0,62.5686551438115,3.46666562566797,4460700000.0,4460700000.0,9.37523403803715,1661.86688523369,4166900000.0,1560.0,,,,70.511,55.5608034766973,0.826234252650182,2684150.0,1491943.0,55.5834609664465
YR1970,2054.0,8870.0,,306.426155580609,,,,802000000.0,5798000000.0,,30.3156096688978,3188600000.0,63.3324726398792,4.1237116599689,5034700000.0,5034700000.0,8.39791794437848,1852.35467255335,4687500000.0,1750.0,,,,70.352,55.9923450001499,1.25322114449074,2718000.0,1542546.0,56.7529618657157
YR1971,2054.0,8870.0,,311.408117249154,,,,913800000.0,6893200000.0,82.8061911170929,32.2023092725083,3429700000.0,60.7370546150032,5.4455441847912,5646800000.0,5646800000.0,6.36544857550854,2044.31990558216,5248400000.0,1910.0,113.223747253418,,,71.084,56.6282260990767,1.61275276235287,2762190.0,1597369.0,57.829807581987
YR1972,2054.0,8870.0,,317.616234498309,,,,1040500000.0,7674500000.0,80.2998941364218,32.9425334576309,3889900000.0,61.4624974324132,4.57746494926803,6328900000.0,6328900000.0,7.17357497675278,2246.4767135113,5767900000.0,2100.0,114.501586914062,,,70.813,57.2340078626537,1.97395182320182,2817256.0,1658304.0,58.8623670637239
YR1973,2054.0,8870.0,,324.553100338219,,,,1231300000.0,8257600000.0,85.1408088655318,33.752713355421,4387700000.0,62.6599451616589,4.04040438967286,7002400000.0,7002400000.0,6.34489584805942,2432.41421904928,6303000000.0,2380.0,114.095367431641,,,70.949,57.7415921880086,2.16053159177698,2878786.0,1723294.0,59.8618277697166
YR1974,2054.0,8870.0,,331.375310033822,,,,1325700000.0,8902000000.0,98.8991255465334,35.212367270456,4688900000.0,61.0152508848636,6.63430395912297,7684800000.0,7684800000.0,2.91737849093647,2614.50094053038,6811600000.0,2590.0,112.496963500977,,,71.324,58.1508018057055,2.08024400439387,2939299.0,1788317.0,60.8416286962555
YR1975,2054.0,8870.0,,337.542277339346,,,,1613900000.0,10304600000.0,98.6680165400144,34.543746874352,5258400000.0,64.1401266116146,7.38492837092355,8198300000.0,8198300000.0,-0.654567385249976,2738.24315297261,7174600000.0,2660.0,107.95491027832,,,71.963,58.4827141178896,1.84391684512292,2994000.0,1850747.0,61.815208839631
