Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,81.8,55.814,59.2404575877767,,11722953.0,4759519.0,40.5999984741211
YR1961,1054.0,120540.0,,99.5823685740387,,,,,,,,,,,,,,,,,,,79.3,56.408,59.648554677274,2.25837186242333,11990713.0,5073661.0,42.3132566147963
YR1962,1054.0,120540.0,,101.84272070426,,,,,,,,,,,,,,,,,,,76.9,56.998,60.002417865457,2.24445427988737,12262882.0,5363954.0,43.7413844787758
YR1963,1054.0,120540.0,,104.368881322149,,,,,,,,,,,,,,,,,,,74.4,57.578,60.0858243933255,2.45018900193276,12567057.0,5655558.0,45.0030447867001
YR1964,1054.0,120540.0,,107.048999252554,,,,,,,,,,,,,,,,,,,71.7,58.17,59.9679652921645,2.53551071911011,12889770.0,5957252.0,46.2169002592092
YR1965,1054.0,120540.0,,109.786305124159,,,,,,,,,,,,,,,,,,,68.7,58.785,59.837843237368,2.52491290708188,13219369.0,6279414.0,47.5016136169434
YR1966,1054.0,120540.0,,112.690756581679,,,,,,,,,,,,,,,,,,,65.6,59.423,59.2511946358097,2.6111604121928,13569094.0,6642334.0,48.951937550475
YR1967,1054.0,120540.0,,115.923511336268,,,,,,,,,,,,,,,,,,,62.3,60.087,58.1713833716515,2.82831888109811,13958350.0,7047415.0,50.4888850547057
YR1968,1054.0,120540.0,,119.305672286355,,,,,,,,,,,,,,,,,,,58.9,60.757,57.2863855670734,2.87582857963066,14365596.0,7465873.0,51.9705093067702
YR1969,1054.0,120540.0,,122.644423220663,,,,,,,,,,,,,,,,,,,55.7,61.411,56.7571115323256,2.76004262372826,14767615.0,7864473.0,53.2548634838033
YR1970,1054.0,120540.0,,126.009260028237,,,,,,,,,,,,,,,,,,,52.6,62.049,56.4626444404534,2.70660959207891,15172775.0,8223644.0,54.2000007629395
YR1971,1054.0,120540.0,,129.328602275558,,,,,,,,,,,,,,,,,,,49.8,62.663,56.2839138449351,2.60010734038207,15572457.0,8551491.0,54.9142053316677
YR1972,1054.0,120540.0,,132.672278049996,,,,,,,,,,,,,,,,,,,47.2,63.254,56.3431588308007,2.55255426386394,15975069.0,8877148.0,55.5687586020448
YR1973,1054.0,120540.0,,135.789112199983,,,,,,,,,,,,,,,,,,,44.8,63.816,56.771978169419,2.32210240714274,16350367.0,9175206.0,56.1162095880578
YR1974,1054.0,120540.0,,138.469570633668,,,,,,,,,,,,,,,,,,,42.7,64.335,57.2621303852509,1.95475582197118,16673121.0,9421832.0,56.5091073036937
YR1975,1054.0,120540.0,,140.943900008305,,,,,,,,,,,,,,,,,,,40.7,64.831,57.7165797883514,1.77113440522205,16971055.0,9622588.0,56.7000007629395
YR1976,1054.0,120540.0,,143.206129059048,,,,,,,,,,,,,,,,,,,38.9,65.325,58.2291925853239,1.59231153778335,17243450.0,9787196.0,56.7589215202299
YR1977,1054.0,120540.0,,145.276953741384,,,,,,,,,,,,,,,,,,,37.3,65.811,58.8271984847707,1.43568921410325,17492798.0,9935187.0,56.7958738624725
YR1978,1054.0,120540.0,,147.296694626692,,,,,,,,,,,,,,,,,,,35.7,66.292,59.5990599794108,1.38069370361535,17735995.0,10078189.0,56.8233659023639
YR1979,1054.0,120540.0,,149.351964122581,,,,,,,,,,,,,,,,,,,34.3,66.748,60.4401136032114,1.38568122349671,17983470.0,10224305.0,56.8539057526006
YR1980,1054.0,120540.0,,151.455742878498,,,,,,,,,,,,,,,,,,,33.0,67.208,61.2781040124586,1.39877603432652,18236786.0,10376732.0,56.9000015258789
YR1981,1054.0,120540.0,,153.652479029981,,,,,,,,,,,,,,,,,,,31.8,67.657,62.1521898872484,1.43999666546849,18501295.0,10541031.0,56.9745567573171
YR1982,1054.0,120540.0,,155.93685740387,,,,,,,,,,,,,,,,,,,30.7,68.09,63.1560344746321,1.4757742367999,18776357.0,10717365.0,57.0790426007552
YR1983,1054.0,120540.0,,158.242953243086,,,,,,,,,,,,,,,,,,,29.9,68.503,64.2028602500358,1.46803656828284,19054034.0,10900588.0,57.2088185969729
YR1984,1054.0,120540.0,,160.576721202558,,,,,,,,,,,,,,,,,,,29.3,68.881,65.1731754617768,1.46403113177781,19335043.0,11090435.0,57.3592442867494
YR1985,1054.0,120540.0,,162.946499460178,,,,,,,,,,,,,,,,,,,29.0,69.231,66.1074439506497,1.46500806777224,19620388.0,11286761.0,57.5256792108644
YR1986,1054.0,120540.0,,165.358815712981,,4045000000.0,,,,,,,,,,,,,,,,,29.0,69.541,66.9624107051154,1.46958307179494,19910855.0,11489257.0,57.7034829100971
YR1987,1054.0,120540.0,,167.805688896271,,3971000000.0,,,,,,,,,,,,,,,,,29.6,69.767,67.7819530471011,1.46889428200632,20205483.0,11696553.0,57.8880149252272
YR1988,1054.0,120540.0,,170.277892201644,,3863000000.0,,,,,,,,,,,,,,,,,30.2,70.052,68.4275195419867,1.46250661607338,20503161.0,11907136.0,58.074634797034
YR1989,1054.0,120540.0,,172.779395399053,,4006000000.0,,,,,,,,,,,,,,,,20.9,31.0,70.269,68.7854477860345,1.45838472140608,20804367.0,12120354.0,58.2587020662971
YR1990,1054.0,120540.0,,175.335412341168,,4262000000.0,,,,,,,,,,,,,,,,21.3,32.0,70.484,68.9814008165398,1.46851717868943,21112137.0,12336999.0,58.4355762737958
YR1991,1054.0,120540.0,,177.963939872104,,4466000000.0,,,,,,,,,,,,,,,,21.7,32.7,70.717,69.0095912768698,1.48801633223606,21428638.0,12557314.0,58.6006169603097
YR1992,1054.0,120540.0,,180.640403620962,,4481000000.0,,,,,,,,,,,,,,,,21.9,33.2,71.009,68.8973617909007,1.49273900122265,21750911.0,12778483.0,58.7491836666181
YR1993,1054.0,120540.0,,183.318262602774,,4628000000.0,,,,,,,,,,,,,,,,22.0,33.4,70.794,68.7325506504982,1.47154474015851,22073352.0,12995683.0,58.8749864094298
YR1994,1054.0,120540.0,,185.981023170833,,4724000000.0,,,,,,,,,,,,,,,,21.9,33.3,70.472,68.5427263359899,1.44208603503307,22393975.0,13208076.0,58.9804902802104
YR1995,1054.0,120540.0,,188.267618968524,,,,,,,,,,,,,,,,,,25.4,64.3,60.766,68.3837132446526,1.22198132137694,22669304.0,13391065.0,59.0713546238722
YR1996,1054.0,120540.0,,190.148210281538,,3000000000.0,,,,,,,,,,,,,,,,25.2,63.4,60.82,68.296420653863,0.993936643105458,22895746.0,13543482.0,59.1528308821661
YR1997,1054.0,120540.0,,191.934473880907,,,,,,,,,,,,,,,,,,24.8,62.3,60.869,68.2379408268764,0.935020971783511,23110830.0,13687772.0,59.2266583905269
YR1998,1054.0,120540.0,,193.601561332115,,2922000000.0,,,,,,,,,,,,,,,,24.5,61.4,60.887,68.1734796552792,0.864820763436327,23311564.0,13822493.0,59.2945764843893
YR1999,1054.0,120540.0,,195.1465742048,,2923000000.0,,,,,,,,,,,,,,,,24.2,60.4,60.91,68.0983739678759,0.79486992536677,23497599.0,13947781.0,59.358324499188
YR2000,1054.0,120540.0,,196.544390000831,,2997000000.0,,,,,,,,,,,,,,,,23.8,59.4,60.911,68.0319068236106,0.713737031349431,23665910.0,14062199.0,59.4196417703576
YR2001,1054.0,120540.0,,197.785549372976,,3222000000.0,,,,,,,,,,,,,,,,23.5,58.6,60.893,67.9834023913602,0.629505065124145,23815358.0,14165439.0,59.4802676333329
YR2002,1054.0,120540.0,,198.853691553858,,3297000000.0,,,,,,,,,,,,,,,,23.2,57.7,60.877,67.9530293489723,0.538597623627137,23943973.0,14256706.0,59.5419414235486
YR2003,1054.0,120540.0,,200.069595548542,,50781000000.0,,,,,,,,,,,,,,,,18.6,27.3,69.399,67.9023390249552,0.609594776390389,24090380.0,14359409.0,59.6064024764394
YR2004,1054.0,120540.0,,201.436284361764,,54414000000.0,,,,,,,,,,,,,,,,18.2,26.8,69.294,67.8514931987265,0.680784098097041,24254943.0,14474232.0,59.6753901274401
YR2005,1054.0,120540.0,,202.611352877668,,64506000000.0,,,,,,,,,,,,,,,,18.0,26.3,69.168,67.876743131327,0.581650142448516,24396433.0,14577026.0,59.7506437119853
YR2006,1054.0,120540.0,,203.67500207624,,67085000000.0,,,,,,,,,,,,,,,,17.7,25.9,69.061,67.9618901207678,0.523597022459874,24524507.0,14673970.0,59.8339025655097
YR2007,1054.0,120540.0,,204.687177144755,,68541000000.0,,,,,,,,,,,,,,,,17.4,25.6,69.021,68.0803291079196,0.495725212967157,24646383.0,14769815.0,59.926906023448
YR2008,1054.0,120540.0,,205.669113860975,,71330000000.0,,,,,,,,,,,,,,,,16.7,24.7,69.303,68.2174235075506,0.478578548402947,24764618.0,14866465.0,60.0310692203612
YR2009,1054.0,120540.0,,206.613503861805,,76250000000.0,,,,,,,,,,,,,,,101.156799316406,16.1,23.9,69.702,68.37875827045,0.458128289665172,24878332.0,14965422.0,60.1544414620403
YR2010,1054.0,120540.0,,207.518129723445,,82600000000.0,,,,,,,,,,,,,,,,15.4,22.9,70.246,68.5572128691109,0.436879111426513,24987258.0,15069068.0,60.307007469148
YR2011,1054.0,120540.0,,208.436790964206,,89800000000.0,,,,,,,,,,,,,,,,14.6,21.7,70.772,68.7198658483955,0.44171264179715,25097874.0,15180104.0,60.4836230684404
YR2012,1054.0,120540.0,,209.382343659165,,99100000000.0,,,,,,,,,,,,,,,,13.8,20.6,71.317,68.8632468984276,0.452614172409074,25211728.0,15298001.0,60.6781140779735
YR2013,1054.0,120540.0,,210.360028236857,,105300000000.0,,,,,,,,,,,,,,,,12.9,19.3,71.867,69.0051598630156,0.465850679497933,25329451.0,15421661.0,60.8843063158034
YR2014,1054.0,120540.0,,211.371663483099,,111300000000.0,,,,,,,,,,,,,,,,12.1,18.2,72.451,69.1474939267745,0.479753931920185,25451262.0,15549218.0,61.0940947540873
YR2015,1054.0,120540.0,,212.402209118844,,117400000000.0,,,,,,,,,,,,,,,,11.4,17.2,72.825,69.2374943060408,0.486366779009783,25575350.0,15684021.0,61.3247571174501
YR2016,1054.0,120540.0,,213.423519641226,,123200000000.0,,,,,,,,,,,,,,,,11.0,16.5,72.971,69.4384982617448,0.479685660941037,25698326.0,15821980.0,61.5681351428803
YR2017,1054.0,120540.0,,214.414990449298,,129800000000.0,,,,,,,,,,,,,,,,10.2,15.4,73.034,69.7490755231046,0.463479822191171,25817709.0,15960665.0,61.8206076091402
YR2018,1054.0,120540.0,,215.357088281704,,216600000000.0,,,,,,,,,,,,,,,92.0648422241211,9.9,14.8,73.02,69.9359100865089,0.438418123483477,25931147.0,16098733.0,62.0826119807623
YR2019,1054.0,120540.0,,216.241441740719,,,,,,,,,,,,,,,,,,9.5,14.3,72.928,69.9565715124061,0.409804313568107,26037632.0,16235563.0,62.3542226611578
