Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.046592778327,11388551.0313484,2.55567079028491,,,,,,,,3339150157.85605,474720798.351081,,376.976430250874,476128259.670538,,,29.3,84.4,64.0074634146342,62.8329992568649,,8857716.0,2731835.0,30.8412995481506
YR1961,854.0,92120.0,,97.5881530054645,1.54899696989872,18540379.8288861,3.88750179030931,,,,,,,1.41176582428824,3573719084.53354,508069028.552322,5.53490347567545,400.223162057827,508919466.223063,,,26.9,82.0,62.666512195122,62.8864760367602,0.805085263650629,8929316.0,2783621.0,31.17395423341
YR1962,854.0,92120.0,,98.2949180327869,2.66206417934763,21636736.5416532,4.22667364735832,,,,,,,0.676695903074759,3835883663.25123,545340481.534282,6.61444776877332,426.49433629823,545645531.056981,430.0,,26.8,78.5,64.1810243902439,62.7983438431903,0.721622435848292,8993985.0,2835657.0,31.5283750207605
YR1963,854.0,92120.0,,98.6924043715847,2.02158272759789,21561215.6462199,3.95578921858609,,,,,,,0.567802492908314,4084251592.81599,580650490.43891,5.87370211616305,452.280291618213,581716118.455307,460.0,,26.8,74.5,64.7883902439024,62.7225789819226,0.403565948731515,9030355.0,2881525.0,31.9093177161286
YR1964,854.0,92120.0,,98.7471584699454,3.44489848222768,24302624.1504503,4.11149725818899,,,,,,,2.00839004764306,4429202656.90741,629691544.837815,6.31074738257485,490.207385856289,635493720.179314,500.0,,26.2,70.3,64.9833902439024,62.6546726427698,0.0554641622745771,9035365.0,2919828.0,32.31555582106
YR1965,854.0,92120.0,,98.3453005464481,3.42492777745566,25163562.3583904,3.8136131460626,,,,,,,3.87215946121006,4901711247.81592,702926932.958865,7.46898852994391,544.71961987576,710257548.119903,550.0,,25.5,66.5,65.9604634146341,62.3970246213985,-0.407786764016639,8998595.0,2946668.0,32.7458628371005
YR1966,854.0,92120.0,,97.6064480874317,5.03926721858183,27852106.2358175,3.85289574058252,,,,,,,5.26324117833316,5370108031.12859,770097090.003199,4.07790943398116,601.289222261876,774689310.764245,600.0,,25.6,63.7,65.4876585365854,62.0955449939332,-0.754120303282112,8930990.0,2965000.0,33.1990122657958
YR1967,854.0,92120.0,,96.9892896174863,5.52647600753092,36068779.6589654,4.46379018514436,,,,,,,3.93665977559957,6002607029.64663,860800225.836821,7.54448252895033,676.386669887118,867895985.417229,670.0,,26.0,61.7,66.3340731707317,61.9116451498707,-0.634300161386171,8874520.0,2988386.0,33.6737776086916
YR1968,854.0,92120.0,,96.5754098360656,6.08136171148615,40276048.743557,4.50281558008619,,,,,,,1.67280904631009,6644693214.18343,952878206.27535,8.87550923376675,751.947085624465,960340403.136916,770.0,,25.9,60.0,66.6781951219512,61.7528431288473,-0.427640384149605,8836650.0,3019389.0,34.1689323673336
YR1969,854.0,92120.0,,95.7126229508197,8.7827710555412,40603809.4297377,4.13901661630361,,,,,,,7.39719907550914,7287555035.34403,1045067416.41418,2.1207411616964,832.130682107245,1055533244.02917,840.0,,24.9,58.0,66.2781707317073,61.6560024038641,-0.897396122779751,8757705.0,3037457.0,34.6832500432675
YR1970,854.0,92120.0,0.356427723044479,94.8680983606557,6.38014449001673,47230012.7950594,4.13788067758456,975704323.570432,1226094000.0,43.2134622149252,,,,1.96505580223132,8108235704.32357,1162721000.0,9.11384195989883,934.082156096117,1173075000.0,960.0,,23.6,55.4,67.0731707317073,61.7429031710912,-0.886270250512273,8680431.0,3056858.0,35.2155041380392
YR1971,854.0,92120.0,0.608589530017427,94.4672786885246,11.9468983654056,55370410.1138196,4.33176583858868,1083003533.5689,1373681000.0,44.6741887841036,,,,5.016692924601,9201604240.28269,1302027000.0,6.63165162093394,1064.53771257341,1309801000.0,1080.0,,22.3,51.7,66.7707317073171,61.8724513797694,-0.423397124354385,8643756.0,3091393.0,35.7644681531942
YR1972,854.0,92120.0,0.649517167417358,94.3216393442623,10.6633559759477,60444659.077986,4.06104423642914,1308176426.98295,1576439000.0,46.2324812008255,,,,7.80460585884526,11239117865.0852,1516157000.0,8.01569616394021,1302.2662677393,1525833000.0,1270.0,,21.4,47.4,68.3243902439024,61.9441088334687,-0.154288053208668,8630430.0,3135342.0,36.3289155902783
