Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,8.18181818181802,873074402.515723,2.52896446576405,,,,,,,,288884368.016934,35580934868.0,,153.375216758109,34359874569.0,,,,63.4,60.197,49.7734951196262,,1883514.0,669616.0,35.5514211891256
YR1961,,406750.0,,4.85123080795369,18.4873949579832,905620125.786163,2.27914968110271,,,,,,,6.68482177239153,322053713.15873,40578767858.0,6.90028551422945,167.092827495951,39518172303.0,,,,63.0,60.517,49.929153042917,2.30296503353652,1927394.0,687562.0,35.6731615192631
YR1962,1130.0,406750.0,,4.96634784797382,1.41843971631208,1042878176.10063,2.29739211371685,25428571.4285714,46378000000.0,27.3059320542158,18.0561080795635,17688860000.0,38.9210966379159,8.4212754654605,360698412.698413,45448000000.0,3.30025851602093,182.805194132375,45134440337.0,170.0,,,62.7,60.816,50.0808106916422,2.34522829499899,1973130.0,706344.0,35.7981614414367
YR1963,1130.0,406750.0,,5.08912408759124,2.09790209790211,1160325786.16352,2.39885421989564,26666666.6666667,49056000000.0,24.5348548747209,17.9951004713471,18394410000.0,38.0269784172662,1.6459080523092,383904761.904762,48372000000.0,4.71029133985073,189.872423489268,47933943710.0,180.0,,,62.4,61.101,50.1339081036783,2.44210002617055,2021909.0,726355.0,35.9242318079245
YR1964,1130.0,406750.0,,5.21801912912157,1.36986301369865,1236737484.27673,2.40376576147081,27809523.8095238,52522000000.0,26.5917748581202,18.4071950555858,19938130000.0,38.7509329083418,2.06773951862237,408349206.349206,51452000000.0,4.21247735945683,196.973355774177,50839113654.0,190.0,,,62.3,61.368,50.0994274570279,2.50121218935743,2073119.0,747361.0,36.0500891641913
YR1965,1130.0,406750.0,,5.34904857790083,3.8592981578052,1471632704.40252,2.63308768009038,30111111.1111111,56336000000.0,30.7092249338009,18.1295534244615,22073030000.0,39.492288699635,2.31842738872743,443587301.587302,55892000000.0,6.16797475642743,208.729579506696,55218959662.0,210.0,,,62.1,61.606,50.0628536029831,2.48008564917623,2125177.0,768856.0,36.1784474663666
YR1966,1130.0,406750.0,,5.48095645607853,2.87319422160326,1712188050.31447,2.91684506016093,36452380.952381,60402000000.0,29.3891179176178,18.7051378147252,23239710000.0,39.5892984906817,2.97676738124157,465888888.888889,58702000000.0,1.99150333527275,213.947608399441,58076694820.0,210.0,,,62.1,61.832,50.0415942527144,2.43609123242319,2177584.0,790735.0,36.3124802083019
YR1967,1130.0,406750.0,,5.61287188522527,1.36526759221905,1881991823.89937,3.03155899468327,38349206.3492064,64193000000.0,27.8460621486219,19.4538234772943,25091650000.0,40.4202039402677,-3.1158749859142,492674603.174603,62077000000.0,9.15036720414034,220.930909757875,61032515329.0,230.0,,31.2,62.0,62.025,50.0753925964358,2.37828895359514,2229994.0,812952.0,36.4553608838488
YR1968,1130.0,406750.0,,5.74475459350617,0.708073577854366,2094246540.8805,3.21104958736661,43063492.0634921,68105000000.0,29.1257819207654,18.78418986876,26711200000.0,40.9530234269594,0.51894364291023,517650793.650794,65224000000.0,4.52707384188076,226.80197812329,64090717077.0,230.0,,31.1,61.9,62.208,50.1646299867113,2.32246828062649,2282391.0,835589.0,36.6102629868587
YR1969,1130.0,406750.0,,5.87715076768185,2.24684753574717,2249900000.0,3.16148604879584,50246031.7460317,73334000000.0,31.7792076241565,19.1205969212332,28595800000.0,40.7969412066826,2.63979153751998,556293650.793651,70093000000.0,4.70115140770775,238.242208450243,68470710373.0,240.0,,30.9,61.6,62.385,50.3070567922838,2.27848872990814,2334992.0,858818.0,36.7803600111832
