Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,,48.6192322011256,,,,44.1830150432117
YR1961,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.5365434458294,,,,45.0
YR1962,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.4667227661144,,,,45.8883725319067
YR1963,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.3718828383599,,,,46.8782110268741
YR1964,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.2887462143943,,,,47.9500907057508
YR1965,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.2255885506097,,,,49.0845867893855
YR1966,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.1536452563429,,,,50.2622744986269
YR1967,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,48.0648782377489,,,,51.4637290543234
YR1968,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.9817765501232,,,,52.6695256773239
YR1969,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.9366374206485,,,,53.8602395884769
YR1970,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.90032424675,,,,55.016446008631
YR1971,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.8732948686353,,,,56.1187201586349
YR1972,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.8555913286113,,,,57.1476372593373
YR1973,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.8508989539271,,,,58.0837725315867
YR1974,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,47.8604839850024,,,,58.9077011962317
YR1975,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,94.5,,47.8786590225045,,,,59.5999984741211
YR1976,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,88.9,,47.9046364900491,,,,60.1910735205415
YR1977,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,83.5,,47.9452581387398,,,,60.7280266318431
YR1978,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,78.5,,47.9993465256467,,,,61.2164697404697
YR1979,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,73.8,,48.0586661027536,,,,61.6620147788652
YR1980,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,69.5,,48.1318136752212,,,,62.0702736794735
YR1981,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,65.4,,48.2156946156335,,,,62.4468583747383
YR1982,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,61.5,,48.2985156855585,,,,62.7973807971035
YR1983,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,57.9,,48.3773094202261,,,,63.127452879013
YR1984,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,54.6,,48.450569686389,,,,63.4426865529107
YR1985,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,51.4,,48.5248443423646,,,,63.7486937512403
YR1986,402.0,6020.0,,,,,,,,,,,,,,,,,,,,,48.5,,48.5970010786281,,,,64.0510864064457
