Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,5138414592.0,,,,,59.445,53.3966368275747,,83671.0,35385.0,42.2907371351412
YR1961,,4000.0,,23.3426229508197,,,,,,,,,,,,,,,5735902720.0,,,,,59.85,53.0248318887569,2.08517060757554,85434.0,36911.0,43.2037792347436
YR1962,,4000.0,,23.8418032786885,,,,,,,,,,,,,,,6021505024.0,,,,,60.201,52.6790165193126,2.11594796074697,87261.0,38525.0,44.1493728142478
YR1963,,4000.0,,24.518306010929,,,,,,,,,,,,,,,7169879552.0,,,,,60.514,52.4101118274058,2.79795424460384,89737.0,40514.0,45.1476494467205
YR1964,,4000.0,,25.3614754098361,,,,,,,,,,,,,,,11029663744.0,,,,,60.797,52.197449999192,3.38112838308651,92823.0,42919.0,46.2375134084224
YR1965,,4000.0,,26.2341530054645,,,,,,,,,,,176534588.403052,15846627328.0,,1838.57638129761,15846627328.0,,,,,61.069,51.9936469914339,3.38308052124811,96017.0,45510.0,47.3976785512625
YR1966,,4000.0,,27.1366120218579,,,,,,,,,,11.4861598926928,215659453.550939,19358670848.0,9.57657823549394,2171.35978202717,19358670848.0,,,,,61.353,51.8236600063432,3.38217015161991,99320.0,48269.0,48.5995149194584
YR1967,,4000.0,,28.0748633879781,,,,,,,,,,7.56690572642928,220984367.626581,19836661760.0,-4.73916661693772,2150.61571935477,19836661760.0,2040.0,,,,61.645,51.7008987440939,3.39908214190363,102754.0,51186.0,49.8143925572278
YR1968,,4000.0,,29.0581967213115,,,,,,,,,,2.20922432808983,259590074.527934,23302103040.0,14.9308021425117,2440.8345277325,23302103040.0,2450.0,,,,61.931,51.6339377641544,3.44259679340957,106353.0,54255.0,51.0136815087883
YR1969,,4000.0,,30.0849726775956,,,,,,,,,,1.17915841249376,242943783.142736,22943610880.0,-2.6859410147583,2206.35343555808,22943610880.0,2360.0,,,,62.214,51.6106474375857,3.47251979184259,110111.0,57444.0,52.1687518183574
YR1970,,4000.0,,31.1502732240437,,,,,,,,,,10.0227501539982,254036000.752587,25653825536.0,1.62671133857395,2228.19051620548,25653825536.0,2330.0,,,,62.495,51.6342792988365,3.47972159341046,114010.0,60711.0,53.2509735301528
YR1971,,4000.0,,32.2254098360656,,,,,,,,,,4.03134729930849,296865513.746817,29891225600.0,12.0024086478023,2516.98260839219,29891225600.0,2560.0,,,,62.782,51.9197425929773,3.39322502659606,117945.0,64010.0,54.2709843822967
YR1972,,4000.0,,33.3021857923497,,,,,,,,,,5.014463270184,326433558.076079,29916319744.0,-4.69507873236614,2678.18747088327,29916319744.0,2580.0,,,,63.082,52.4586398001419,3.28677675438139,121886.0,67470.0,55.3548920937471
YR1973,,4000.0,,34.398087431694,,,,,,,,,,8.37997103158241,431252938.061046,34953146368.0,7.80256111911721,3425.44252890097,34953146368.0,3240.0,,,,63.401,53.015163188956,3.23779306757308,125897.0,71127.0,56.495788994614
YR1974,,4000.0,,35.5081967213115,,,,,,,,,,17.8520661183587,555340842.860311,48608178176.0,18.0010489103309,4273.16745814336,48608178176.0,4480.0,,,,63.778,53.5395506309634,3.17625984697659,129960.0,74809.0,57.5631433075157
YR1975,,4000.0,0.0043457893066447,36.6243169398907,,,,,,,,,,16.3827458524667,690323388.529907,53797998592.0,-4.9027023963948,5149.93762191732,53797998592.0,4990.0,,,,64.249,54.0340930284606,3.0948853670318,134045.0,78338.0,58.4417493296489
YR1976,,4000.0,0.0614511562505703,37.7360655737705,,,,,,,,,,9.30693353403858,732288906.273954,63629074432.0,8.20361632558698,5302.06138605756,63629074432.0,5480.0,,,,64.761,54.5348243667392,2.9903866620475,138114.0,81510.0,59.0164013582103
YR1977,,4000.0,0.0302573242190887,38.8833333333333,,,,,,,,,,9.09961223187695,793196378.708826,70862290944.0,2.07899270297354,5573.60451054244,70862290944.0,5790.0,,,,65.31,55.0171101726476,2.99494261209114,142313.0,84220.0,59.1793987685132
