Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,57.773,52.3729519577895,,36010.0,23407.0,65.0
YR1961,74.0,11610.0,,3.41774332472007,,,,,,,,,,,,,,,,,,,,58.502,54.1922883064516,9.70506047558882,39680.0,26471.0,66.7116595744681
YR1962,74.0,11610.0,,3.84409991386736,,,,,,,,,,,,,,,,,,,,59.226,56.3840871153135,11.7558996224506,44630.0,30473.0,68.2796595744681
YR1963,74.0,11610.0,,4.33936261843239,,,,,,,,,,,,,,,,,,,,59.96,58.307281587122,12.1187992283286,50380.0,35123.0,69.7152340425532
YR1964,74.0,11610.0,,4.89810508182601,,,,,,,,,,,,,,,,,,,,60.7,59.8698729502792,12.1120937112538,56867.0,40392.0,71.0296170212766
YR1965,74.0,11610.0,,5.51808785529716,,,,,,,,,,,,,,,,,,,,61.441,61.0450323889799,11.9182984924537,64065.0,46277.0,72.2340425531915
YR1966,74.0,11610.0,,6.21808785529716,,,,,,,,,,,,,,,,,,,,62.171,61.9687777039007,11.9431043473999,72192.0,52945.0,73.3397446808511
YR1967,74.0,11610.0,,7.014556416882,,,,,,,,,,,,,,,,,,,,62.884,62.7140392561349,12.0525037312897,81439.0,60556.0,74.3579574468085
YR1968,74.0,11610.0,,7.90258397932817,,,,,,,,,,,,,,,,,,,,63.577,63.2797087706678,11.9202313944286,91749.0,69087.0,75.299914893617
YR1969,74.0,11610.0,,8.87381567614126,,,,,,,,,,,,,,,,,,,56.7,64.246,63.6623942616148,11.5915089532159,103025.0,78481.0,76.1768510638298
YR1970,74.0,11610.0,1.88540887899242,10.021533161068,,,,,,,,,,,301791301.791302,1437100000.0,,2593.82296339752,1370400000.0,,,,53.1,64.889,62.5743986867155,12.163121252342,116350.0,89590.0,77.0
YR1971,74.0,11610.0,7.05178772381573,11.3131782945736,,,,,,,,,,16.4383205681312,387703105.521252,1840800000.0,10.0078516626193,2951.769414533,1688900000.0,,102.629783630371,,49.7,65.49,60.9695004035144,12.1232172931347,131346.0,102109.0,77.7403807124603
YR1972,74.0,11610.0,0.0019597756050144,12.6189491817399,,,,,,,,,,9.45107005553724,510262500.1767,2238000100.0,11.0793894825658,3482.877835561,1962000000.0,2780.0,98.2770233154297,,46.6,66.07,60.4648940490695,10.9231320570215,146506.0,114830.0,78.3791314220811
YR1973,74.0,11610.0,0.166270816167471,13.9397932816537,,,,,,,,,,27.9601323870819,793885559.971313,3172600100.0,10.7848952141009,4905.34265094329,2753999900.0,3620.0,93.5798568725586,,43.7,66.629,60.7334954260805,9.95479885327033,161841.0,127762.0,78.9426649872223
YR1974,74.0,11610.0,0.540100881509267,15.2766580534022,,,,,,,,,,182.038299074094,2401403227.44085,9479299100.0,5.93825287801289,13539.5587974924,9313300500.0,6390.0,89.1772766113281,,41.1,67.165,61.5236070860726,9.15784699616857,177362.0,140927.0,79.4573942662434
YR1975,74.0,11610.0,0.362945610216028,16.6310938845823,,,,,,,,,,-1.59017451140842,2512773165.81173,9877000200.0,5.87913245017724,13013.6838099496,9444999200.0,9820.0,91.35888671875,,38.7,67.679,62.6207357305256,8.49480227931862,193087.0,154373.0,79.9497321175045
YR1976,74.0,11610.0,0.0060896259206393,18.0062015503876,,,,,,,,,,21.6357630061072,3284273986.71808,13016999900.0,8.348912134635,15710.3208135683,11959000100.0,14240.0,91.9838027954102,,36.6,68.172,63.8622540378806,7.94421603085854,209052.0,168174.0,80.4460913993652
YR1977,74.0,11610.0,0.0558386705476796,19.4043927648579,,,,,,,,,,18.6966564739421,3617564637.88865,14321999900.0,-7.30543318661844,16057.7252719384,12547999700.0,12620.0,94.5690002441406,,34.6,68.639,65.1554697383314,7.47832424796309,225285.0,182420.0,80.9728849701853
YR1978,74.0,11610.0,0.219891389252377,20.8275624461671,,,,,,,,,,0.755474796767004,4052000412.70087,15709200400.0,8.863366336075,16757.0982461328,14096199700.0,15150.0,94.5926284790039,,32.8,69.083,66.4398333385027,7.0777755502111,241808.0,197210.0,81.5565256883246
YR1979,74.0,11610.0,0.0811295938314298,22.2799310938846,,,,,,,,,,28.5810020340527,5632962996.82641,21255000100.0,5.22773574019966,21776.6381753833,19497001000.0,18600.0,95.3003768920898,,31.2,69.507,67.648355046971,6.7409095202251,258670.0,212687.0,82.2234264121429
YR1980,74.0,11610.0,0.138456650709254,23.7651162790698,6.79999999900022,2255400000.0,7.86868087778669,,,,,,,36.0856215172146,7829165261.81396,28630999000.0,-1.01642177991292,28375.4852501113,30609399800.0,25440.0,97.4601211547852,,29.8,69.915,68.7139266473007,6.45324806043854,275913.0,229008.0,83.0
YR1981,74.0,11610.0,0.04364259077095,25.284496124031,8.5205992510162,3856600000.0,12.2168018246325,,,,,,,9.13166871821107,8661263763.73626,31527000100.0,0.900972101319212,29504.9403812472,33474400300.0,29520.0,99.6719436645508,,28.4,70.313,69.5815910271587,6.19726035476403,293553.0,246730.0,84.0497010207949
YR1982,74.0,11610.0,0.0488369743472838,26.8335055986219,5.69999999999979,5340800000.0,19.2773867532936,,,,,,,-5.81640781984729,7596703214.28571,27651999700.0,-6.87449413863621,24384.5938501228,29646700500.0,27630.0,104.354217529297,,27.2,70.704,70.2646876614977,5.94599090879776,311537.0,266062.0,85.4030276290332
YR1983,74.0,11610.0,0.0146886418263298,28.3987080103359,2.74361400094617,3294900000.0,13.9584833721669,,,,,,,-13.2805277340008,6467582307.69231,23541999600.0,-1.82516541508235,19616.0320394418,25212801000.0,23190.0,107.161552429199,,25.9,71.089,70.8313998101356,5.66923359783165,329709.0,286474.0,86.8869580614841
YR1984,74.0,11610.0,-0.222838871567321,29.9636520241171,1.10497237570068,3184500000.0,12.7339251439539,,,,,,,-0.951856456959419,6704395824.17582,24404000800.0,4.65773766871789,19272.2616094603,25745999900.0,21080.0,105.958702087402,,24.7,71.465,71.3485762249984,5.36413963478148,347878.0,307275.0,88.3284705549172
YR1985,74.0,11610.0,0.129524068228041,31.5193798449612,1.91256830693925,5565100000.0,24.8464148584695,,,,,,,-6.23192785212868,6153296456.04396,22397999100.0,-2.12017026614552,16815.0419632835,24466999300.0,19160.0,106.726821899414,,23.5,71.831,71.8493853508972,5.06175419402699,365940.0,327716.0,89.5545433461017
YR1986,74.0,11610.0,-0.0290915023600908,32.9390180878553,0.757575757575709,,,,,,,,,-22.040794757189,5053021950.54945,18392999900.0,5.33578656744929,13213.2093617769,20664000500.0,18380.0,108.293357849121,,22.3,72.184,71.9836986365847,4.4055325366713,382422.0,345798.0,90.423204054515
YR1987,74.0,11610.0,-0.0545311464407335,34.1950904392765,2.6852846401719,3150100000.0,15.8895334174023,,,,,,,7.73710093039131,5446428681.31868,19825000400.0,0.0449913979998513,13718.7911520477,21567000600.0,16780.0,106.947479248047,,21.0,72.52,71.8027835886405,3.74241641631862,397005.0,361722.0,91.1126836950389
