Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,634000000.0,,,,,,,,,1748124063.55556,7866558286.0,,717.796628958557,6355139600.0,,,,,45.31,53.3718539864133,,2435403.0,765785.0,31.4438801198745
YR1961,59.0,2149690.0,,1.17521456582112,,322000000.0,,,,,,,,-1.78626816841188,1920811284.22222,8643650779.0,11.8768510783222,760.311740320004,7016072200.0,,,,,45.88,53.1315280781951,3.66621399112939,2526347.0,827488.0,32.7543181816064
YR1962,59.0,2149690.0,,1.21920369913802,,379000000.0,,,,,,,,-0.893866244295467,2130606531.77778,9587729393.0,11.922659566413,812.926247668855,7745693700.0,680.0,,,,46.469,52.8769868333924,3.67471998809837,2620910.0,893730.0,34.0999984741211
YR1963,59.0,2149690.0,,1.26499216166052,,512000000.0,5.90269771731612,,,,,,,-4.6847389174756,2207393171.55556,9933269272.0,8.69610923594517,811.738274661234,8024735200.0,690.0,,,,47.086,52.5648396863726,3.68679858289543,2719341.0,967114.0,35.5642655458969
YR1964,59.0,2149690.0,,1.31273253352809,2.79999999899983,556000000.0,5.96630539757485,,,,,,,-1.22119924313846,2371808712.88889,10673139208.0,8.77678436346099,840.480371460232,9025072100.0,740.0,,,,47.732,52.2731037830875,3.70449423490375,2821968.0,1050119.0,37.2123025693139
YR1965,59.0,2149690.0,,1.36241551107369,0.389105059342286,800000000.0,7.69008939728924,,,,,,,-0.440429932829574,2647955557.55556,11915800009.0,12.136763975251,904.118334125664,10044999700.0,790.0,,,,48.436,52.0606254295744,3.71483672178757,2928771.0,1142579.0,39.0122212209451
YR1966,59.0,2149690.0,,1.41410482441654,1.55038759593042,1352000000.0,11.3242315101767,,,,,,,1.95375012468999,2920555557.11111,13142500007.0,8.18114543360564,960.744776733843,11630000100.0,870.0,,,,49.187,51.8746993104186,3.72374625659819,3039887.0,1244291.0,40.9321331773638
YR1967,59.0,2149690.0,,1.46869641669264,2.09923664219521,1513000000.0,11.511831393137,,,,,,,2.39764076579459,3257022222.66667,14656600002.0,8.9093833311003,1031.60360297585,12136599600.0,860.0,,,,49.994,51.7274729019822,3.78785180156329,3157242.0,1355724.0,42.9401501151431
YR1968,59.0,2149690.0,,1.52706250668701,1.58878504672938,1524000000.0,8.08745489280408,678877977.777778,14506979900.0,72.448941455807,62.0429848030191,,,19.4285098377283,4187777711.11111,18844999700.0,7.66012652552845,1275.70709426176,15942499600.0,990.0,,,,50.857,51.6384250149381,3.89707437128361,3282711.0,1477364.0,45.0043837108563
YR1969,59.0,2149690.0,,1.58958454474831,3.49586016559326,1932000000.0,9.5705156784069,754854111.111111,15493121500.0,73.1327600257434,61.1116633640641,,,1.01667233212711,4485777644.44444,20185999400.0,6.03788654154391,1312.73865737123,17157397300.0,1090.0,,,,51.773,51.6069115633836,4.01267297722994,3417114.0,1609220.0,47.0929456410765
