Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.092240285829437,6500.0,1.91740412979351,109419873.950086,379600.0,27.5624681285059,12.5701172870984,,,,1126364161.7644,392200.0,,99.7131195068359,394200.0,,,,92.9,49.566,50.6271094384845,,8364489.0,980283.0,11.7195836026126
YR1961,,2505810.0,,,8.76051146191632,7140.0,1.84496124031008,128374497.783959,424500.0,27.665570690465,11.8130577736026,,,8.54275345322841,1222860428.55503,425800.0,0.0223913339764863,105.313102722168,425700.0,,,,92.7,49.964,50.574028241768,3.18216342107723,8634941.0,1066506.0,12.3510474350285
YR1962,,2505810.0,,,1.66287136567997,8650.0,2.05952380952381,149626651.779514,458700.0,29.6648648648649,11.6540540540541,,,1.59305467682391,1328259624.72217,462500.0,6.91584216208018,111.213455200195,460800.0,110.0,,,92.3,50.419,50.5255113001103,3.2370093127031,8919028.0,1158172.0,12.9854067851002
YR1963,,2505810.0,,,4.68823253646181,9800.0,2.14912280701754,170591614.504858,474600.0,34.750265674814,12.8799149840595,,,4.71081705429572,1351234926.33899,470500.0,-2.84697169636277,109.939208984375,470600.0,110.0,,,91.9,50.816,50.4552549053748,3.29794754408435,9218077.0,1255236.0,13.6171101389602
YR1964,,2505810.0,,,3.95083843356371,14580.0,3.14224137931034,199023550.255668,495100.0,33.4712453454696,12.970624741415,,,3.90597768880619,1388282600.1961,483400.0,-1.12044911557237,109.650077819824,482800.0,110.0,,,91.6,50.879,50.3447001993525,3.33946327702524,9531109.0,1357288.0,14.240605982741
YR1965,,2505810.0,,,-2.44602939056201,19630.0,4.11530398322851,225157955.844796,,29.2774910678841,11.9690353314807,,,-2.39467744499547,1446869619.31898,503800.0,6.7770740808087,110.889373779297,503800.0,110.0,,,91.3,51.031,50.2451833807152,3.37252712365509,9858030.0,1463951.0,14.850342802575
YR1966,,2505810.0,,,1.71246319927017,17520.0,3.5251509054326,285468122.588938,,28.2646546720836,15.3801508995937,,,6.40435067269496,1484491675.71652,516900.0,-3.57514749997277,110.502571105957,516900.0,110.0,,,91.1,51.253,50.1722247100133,3.38638896216967,10197578.0,1574584.0,15.4407690845946
YR1967,,2505810.0,,,11.0135558877735,18200.0,3.65461847389558,312176910.718486,,30.6592817580847,14.7221725924602,,,6.75978541016345,1607409539.36648,559700.0,1.42408130316814,116.241035461426,556400.0,110.0,,,91.0,51.495,50.0975703034828,3.40322048848927,10550597.0,1688764.0,16.0063333149324
YR1968,,2505810.0,,,-10.0338953589389,20100.0,3.75,351522114.737283,,31.9582334816843,14.3786374529271,,,2.36764214425673,1677771400.56798,584200.0,1.9632208185127,117.824935913086,579800.0,120.0,,,90.9,51.762,50.0251076215931,3.42302657689166,10917999.0,1805999.0,16.5414839797207
YR1969,,2505810.0,,,12.606868569676,30300.0,5.19725557461407,402642160.834699,,31.1052386133997,13.5706513290844,,,8.60746021480871,1847501441.26221,643300.0,1.38935048833054,125.984886169434,638100.0,120.0,,46.8,90.9,52.04,49.950953348574,3.42958502252999,11298936.0,1925414.0,17.040669565092
YR1970,,2505810.0,0.0790389667058663,,4.02779565047173,37700.0,4.95400788436268,441412982.313076,,32.7498974429099,12.5666621085738,,,7.32063730430794,2100229759.04718,731300.0,5.92507472251474,139.038482666016,726400.0,130.0,,46.6,91.0,52.294,49.879798433126,3.45187614793846,11695771.0,2046566.0,17.4983385571788
YR1971,,2505810.0,,,1.30366900859353,38300.0,4.60336538461538,439402643.421604,,32.8187751004016,11.9477911646586,,,6.56187255500558,2288340041.03486,796800.0,2.24731409476402,146.931610107422,790500.0,140.0,,46.4,91.1,52.541,49.7958290002618,3.44357929812784,12105539.0,2167974.0,17.9089394421136
YR1972,,2505810.0,0.0245665046715244,,13.5547507128621,37600.0,4.1917502787068,447731190.2577,,32.6856349757113,11.7973629424011,,,14.3054500736084,2483055722.23738,864600.0,-5.07098648865602,154.511581420898,856900.0,150.0,,46.2,91.2,52.803,49.7174775955279,3.42915284758565,12527856.0,2288454.0,18.2669207060288
YR1973,,2505810.0,0.0084490900363975,,15.2890879478773,39400.0,3.16211878009631,496840897.463644,,31.8712085860943,12.0951936537564,,,23.151582650942,3077254460.30228,1071500.0,0.632195249149476,184.524200439453,1062900.0,170.0,,46.0,91.2,52.988,49.5209422686533,4.07809970400618,13049315.0,2422703.0,18.5657492177316
YR1974,,2505810.0,-0.0293008316300327,,26.1581023014198,38800.0,2.56783587028458,557725446.748206,,33.4348929996373,12.2669568371418,,,15.4390860383829,3958931659.84759,1378500.0,11.4452891594056,228.787322998047,1364100.0,230.0,,45.8,91.2,53.156,49.392436617697,3.99157188026824,13580723.0,2554514.0,18.8098536538127
YR1975,,2505810.0,0.0269536738537573,,23.9630476370738,41600.0,2.25108225108225,628661690.490125,,34.7981421936406,12.3436941764916,,,5.28426615533628,4823090191.91008,1679400.0,15.7134664487533,269.652893066406,1660900.0,290.0,,45.6,91.0,53.31,49.5127213882745,3.50237191752093,14064798.0,2673531.0,19.008668645291
YR1976,,2505810.0,0.0971194937119114,,1.67488426358217,62400.0,2.66666666666667,730040208.874326,2260200.0,30.365842009743,11.9495653835132,,,6.86602196291635,6013210815.66115,2093800.0,16.6652197282337,325.185607910156,2075900.0,340.0,,45.4,90.8,53.342,49.6538624930597,3.52700479626027,14569716.0,2794025.0,19.1769338706247
YR1977,,2505810.0,0.110281286582518,,17.0763307914922,75400.0,2.61560342734242,875056302.971054,2800700.0,26.0033700980392,11.0370710784314,,,17.4039984780278,7499005639.37649,2611200.0,6.22385378102565,392.399383544922,2592900.0,370.0,,45.2,90.6,53.522,49.8047756174853,3.48627326798893,15086614.0,2915990.0,19.3283281441363
YR1978,,2505810.0,0.0736893447518631,,19.2304044013514,66400.0,2.04069088450427,977608183.059848,3292000.0,23.1340851313474,11.0716380939965,,,24.9099227974776,8128719315.0792,3068200.0,-5.93098672132243,410.072082519531,3047500.0,380.0,,45.1,90.4,53.29,50.0879212985152,3.9534520847615,15695003.0,3056842.0,19.4765302801481
YR1979,,2505810.0,-0.0315974239716941,,31.138455010753,103000.0,2.59315206445116,1215145633.89937,3952400.0,29.3116333139583,,,,23.9748826113826,8418407786.60599,3612900.0,-5.01859933123505,408.899627685547,3579500.0,410.0,,45.1,90.2,53.374,50.39954965199,4.12128017913598,16355352.0,3211409.0,19.6352190929825
YR1980,,2505810.0,0.098862797426216,,25.3523690119419,114000.0,2.30270466802674,1420000000.0,4860000.0,33.7362318192989,,,,22.0265651585776,8951800000.0,4475900.0,1.52431014444207,418.348785400391,4448200.0,450.0,,44.9,90.0,54.072,50.7034214681423,4.21171715460334,17058905.0,3380746.0,19.8180733969619
YR1981,,2505810.0,0.179748939385306,,24.5757243336576,114000.0,1.78180681462957,1395702550.84748,6590000.0,33.2784239338425,,,,24.9771795309492,10753888154.2798,6009900.0,7.43756366745045,483.802581787109,5788500.0,480.0,,44.9,89.8,54.369,50.9599958044096,4.14340457719432,17780572.0,3563008.0,20.0387720064086
