Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,117.6,47.683,50.8325697268198,,139688.0,3795.0,2.7170540456641
YR1961,3028.0,28900.0,,5.10582350839586,,,,,,,,,,,,,,,,,,,113.4,48.336,50.9621305418719,2.28176919978663,142912.0,4291.0,3.00252478644013
YR1962,3028.0,28900.0,,5.2233297606288,,,,,,,,,,,,,,,,,,,109.1,49.037,51.0605262617903,2.27533310198735,146201.0,4838.0,3.30940675735474
YR1963,3028.0,28900.0,,5.3443729903537,,,,,,,,,,,,,,,,,,,104.8,49.815,51.1310992118404,2.29091461876261,149589.0,5480.0,3.66357088088989
YR1964,3028.0,28900.0,,5.46927474097892,,,,,,,,,,,,,,,,,,,100.4,50.583,51.161119639416,2.31017892589431,153085.0,6161.0,4.02425956726074
YR1965,3028.0,28900.0,,5.59792783136835,,,,,,,,,,,,,,,,,,,96.0,51.406,51.040134280873,2.32504799934995,156686.0,6992.0,4.46254539489746
YR1966,3028.0,28900.0,,5.73036798856735,,,,,,,,,,,,,,,,,,,91.5,52.256,50.8000635935995,2.33832509047318,160393.0,7931.0,4.94464445114136
YR1967,3028.0,28900.0,,5.86798856734548,,,,,,,,,,,25203524.0325638,22600000.0,,153.450784088184,,,,,86.8,53.059,50.5473530396663,2.37321619186999,164245.0,8990.0,5.47346115112305
YR1968,3028.0,28900.0,,6.01221864951768,,,,,,,,,,,28084252.7582748,25200000.0,,166.888037688373,,,,,82.0,54.142,50.2766190085689,2.42819281042766,168282.0,10194.0,6.05766725540161
YR1969,3028.0,28900.0,,6.1620578778135,,,,,,,,,,,28606411.398041,25700000.0,,165.857344778641,,,,,77.1,55.099,50.0027539983708,2.46169527517518,172476.0,11434.0,6.62924194335938
YR1970,3028.0,28900.0,,6.30864594498035,,,,,,,,,,,,,,,,,63.3828010559082,,72.4,56.061,49.8595529479723,2.35102719447955,176579.0,12594.0,7.13199593633441
YR1971,3028.0,28900.0,-0.339613636363636,6.4536262951054,,,,,,,,,,,50056882.8213879,44000000.0,,277.11312090761,,,73.3381881713867,,67.8,57.015,49.8155134759586,2.27211243441929,180637.0,13617.0,7.53841630621967
YR1972,3028.0,28900.0,-0.0246264705882353,6.60928903179707,6.87754613015531,,,,,,,,,,40606712.050639,34000000.0,,219.502859825935,23200000.0,,73.1804962158203,,63.5,57.913,49.7009370548854,2.38338994738663,184994.0,14632.0,7.90926886772559
YR1973,3028.0,28900.0,1.26646153846154,6.78006430868167,3.2286995513524,,,,,,,,,,55272108.8435374,39000000.0,,291.252272932738,26700000.0,,71.406120300293,,59.4,58.777,49.4858371382878,2.55104983710276,189774.0,15667.0,8.25536914929607
YR1974,3028.0,28900.0,-0.0591440677966102,6.96823865666309,18.8531711555989,,,,,,,,,,84539332.282562,59000000.0,,433.443902987382,39900000.0,,71.6014785766602,,55.6,59.611,49.1613280318703,2.73759023822447,195041.0,16757.0,8.59133817629704
YR1975,3028.0,28900.0,10.5263203829087,7.1719899964273,10.0694444446641,,,,,,,,,,74620320.0295339,57000000.0,,371.718806188648,37800000.0,,75.3712615966797,,54.9,58.404,48.7353327239352,2.88206715866975,200744.0,17930.0,8.93179697409447
YR1976,3028.0,28900.0,5.88235054495962,7.40242943908539,4.25531914893602,,,,,,,,,,83100834.307935,68000000.0,,401.077416855387,43300000.0,,79.6562728881836,,49.0,61.153,48.4781134543313,3.16250879771738,207194.0,19249.0,9.29041611841584
YR1977,3028.0,28900.0,4.76190652202037,7.66052161486245,8.61678004535154,,,,,,,,,,93145283.3557141,84000000.0,,434.409813335233,54100000.0,,74.3862228393555,,46.1,61.528,48.4512763590828,3.42718284593919,214418.0,20723.0,9.66486144910245
YR1978,3028.0,28900.0,4.12370976685606,7.932440157199,6.26304801670155,,,,,,,,,,111027427.208358,97000000.0,,500.058223062566,59600000.0,,72.0861282348633,,43.6,62.536,48.4513284300699,3.48806230749872,222029.0,22312.0,10.0493360473539
YR1979,3028.0,28900.0,2.29007548474352,8.21554126473741,8.05500982318267,,,,,,,,,,151276496.482533,131000000.0,,657.858329669684,84300000.0,,69.4786529541016,,41.5,63.134,48.4694698481864,3.50669362437743,229953.0,24004.0,10.4388145359095
YR1980,3028.0,28900.0,1.31808173623117,8.50785994998214,13.0909090909091,,,,352000000.0,142.352868177982,,,,,182852106.523408,151735615.0,,767.850616345384,139335615.0,,70.9842376708984,,39.6,63.669,48.515757868436,3.49627995346202,238135.0,25786.0,10.828409255921
YR1981,3028.0,28900.0,0.118627347190443,8.80868167202572,16.3987138263664,,,,392000000.0,142.352863768612,,,,13.1443402864278,193750540.701429,168595133.0,-1.79701939002045,785.830912783879,165195133.0,,68.5242385864258,,37.9,64.077,48.5953466866486,3.47473525767316,246555.0,27647.0,11.2132325485406
YR1982,3028.0,28900.0,0.533823039528886,9.11754197927831,12.9834254143648,,,,435000000.0,142.530807553612,,,,12.9976793240905,192902018.733318,187327922.0,-1.66956554612044,755.885653343722,178727922.0,730.0,68.2691879272461,,36.4,64.456,48.7059169278997,3.44624591440364,255200.0,29574.0,11.58839675492
YR1983,3028.0,28900.0,0.240220392963301,9.43436941764916,6.23471882640582,,,,484000000.0,142.690952167067,,,,6.95012050149637,181220398.969839,208142139.0,3.89059164106416,686.264140182978,198542139.0,690.0,74.3554306030273,,35.1,64.771,48.8367601588224,3.41590942663168,264068.0,31554.0,11.9490142162112
