Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,-0.0389741990030698,4384473.69549372,,,,,,,,,,,,,,,,,136.3,48.292,51.1887961078411,,2791459.0,1071475.0,38.3840656872751
YR1961,1784.0,21040.0,,137.650647482014,-2.68247036807419,4441787.07713416,,,,,,,,,,,,,,,,,134.3,48.633,51.0719975080278,2.77532064524918,2870016.0,1105579.0,38.5216917135151
YR1962,1784.0,21040.0,,141.448633093525,0.0961538463947943,6218501.90798782,,,,,,,,,,,,,,,,,132.5,49.001,50.9466113568271,2.72176987635704,2949204.0,1139622.0,38.6416826910921
YR1963,1784.0,21040.0,,145.260383693046,1.56900416258926,6103875.14470694,,,,,,,,,,,,,,,,,130.4,49.38,50.7970141437901,2.65912474273457,3028679.0,1173426.0,38.7438078503464
YR1964,1784.0,21040.0,,149.250983213429,1.75756620405747,5724173.99133902,,,,,,,,,,,,,,,,,128.4,49.75,50.658291243323,2.71014583485565,3111883.0,1208455.0,38.833570524717
YR1965,1784.0,21040.0,,153.451606714628,0.456974672917124,6483576.29807486,0.738683896695399,76040000.0,899000000.0,55.1975573075696,23.1417764207264,311440000.0,35.4828419085813,,877720000.0,877720000.0,,274.333279365994,869920000.0,,,,126.5,50.208,50.53943376801,2.77559116721443,3199466.0,1245106.0,38.9160411532436
YR1966,1784.0,21040.0,,157.839856115108,-1.18735543593374,6591038.88865068,0.709079835684082,81000000.0,977080000.0,54.4410018073845,24.842929684138,339000000.0,36.4704363542474,-1.1753173608947,929520000.0,929520000.0,7.16113774212035,282.44637356687,922120000.0,,,,124.4,50.672,50.393950337599,2.81956985091188,3290961.0,1283353.0,38.9962901749655
YR1967,1784.0,21040.0,,162.358944844125,1.46691635472379,6777307.37898212,0.694253982686142,89320000.0,1005680000.0,54.2962507682852,24.6506863347675,359680000.0,36.8449088301577,-0.393507621936834,976200000.0,976200000.0,5.43684884780356,288.374280393621,967120000.0,300.0,,,122.1,50.844,50.221280405839,2.82286429566869,3385184.0,1322909.0,39.0793880289222
YR1968,1784.0,21040.0,,166.943549160671,2.53768071348792,6619695.5794709,0.655571183199067,95080000.0,1027480000.0,52.4520626235875,24.6276318503771,383440000.0,37.9733760523911,0.19483186713029,1009760100.0,1009760100.0,3.23669238728887,290.096510171735,1000760100.0,300.0,,,120.0,50.837,50.0505993999895,2.78461332104355,3480773.0,1363433.0,39.1704051541532
YR1969,1784.0,21040.0,,171.534052757794,-0.194990250038154,7508052.99489773,0.71546150132435,109640000.0,1076760000.0,48.9803697350867,25.0200114351058,406440000.0,38.7307032590051,0.425428249230862,1049400000.0,1049400000.0,3.48541881377602,293.416580804896,1040000000.0,300.0,,,117.7,51.279,49.9094641806131,2.71260789563093,3576485.0,1404643.0,39.274411989698
YR1970,1784.0,21040.0,0.326589697419059,175.961438848921,2.81785392208514,7135516.01423487,0.629834058383193,121480000.0,1129680000.0,49.3838929491932,24.2629664936624,399880000.0,35.2964022172792,4.83751153291408,1132920000.0,1132920000.0,2.97729509281315,308.798853901934,1123320000.0,310.0,83.2878799438477,,115.3,51.364,49.9453839971773,2.54830683331097,3668796.0,1445376.0,39.396478974596
YR1971,1784.0,21040.0,0.590159511685158,180.216930455635,0.445808667692475,8516583.62989323,0.718020405177658,120600000.0,1209640000.0,51.2460796546724,24.8069335311773,426960000.0,35.9963578727279,0.806457522522351,1186120000.0,1186120000.0,3.85825751349313,315.665399785976,1175480000.0,320.0,84.0971984863281,,112.8,51.665,50.135953924966,2.38964208712503,3757523.0,1485789.0,39.5417025048412
YR1972,1784.0,21040.0,0.522267583008894,184.500239808153,1.53521536678872,11140612.0996441,0.881572824648191,134840000.0,1251480000.0,57.2215364162947,25.5816161807995,459480000.0,36.3593201025544,0.400316542998354,1263720000.0,1263720000.0,6.11753368716674,328.509448039035,1251040000.0,350.0,82.2074127197266,,110.1,51.956,50.3551365669915,2.34894687981904,3846830.0,1528230.0,39.7269833593191
YR1973,1784.0,21040.0,0.415996450163625,188.876163069544,6.39197420311837,12475644.1281139,0.864970611800008,151080000.0,1485920100.0,62.9430362194243,24.2775528315492,517720000.0,35.8949470297853,8.84136569851248,1442320000.0,1442320000.0,4.86167350408661,366.250658952563,1426240000.0,390.0,86.4270477294922,,107.2,52.782,50.6198216993714,2.3440815200802,3938068.0,1573798.0,39.9637129247022
YR1974,1784.0,21040.0,1.20656950080438,193.269592326139,16.8990368422354,13350320.2846975,0.801397476690848,181120000.0,1806040000.0,73.2489735154993,25.1326626167551,626000000.0,37.5777366917185,9.6491479831566,1665880000.0,1665880000.0,5.33600110676542,413.403476363207,1631120000.0,440.0,87.7840805053711,,104.2,52.891,50.9181083371188,2.29944871925279,4029671.0,1621898.0,40.2489011841484
YR1975,1784.0,21040.0,0.695284764490331,197.62345323741,19.0884996543863,15652099.6441281,0.830737938354675,210880000.0,1981520000.0,71.2629730981587,26.5163563617839,718800000.0,38.1504342531031,9.88797935999375,1884120100.0,1884120100.0,2.92353188852029,457.260871327372,1843800100.0,490.0,89.7077865600586,,100.8,53.422,51.2404899612263,2.22774030970766,4120449.0,1672061.0,40.5795836277068
YR1976,1784.0,21040.0,0.556634057903944,203.20028957529,7.03468963198825,20531871.886121,0.881847195617408,279880000.0,2357920000.0,72.3607095211611,23.9971127185256,853760000.0,36.6691275675981,17.6342113918004,2328280100.0,2328280100.0,5.04926017375946,552.994933864727,2313040100.0,530.0,92.0364303588867,,97.2,54.375,51.5830012021682,2.15741411816938,4210310.0,1724240.0,40.9527957454266
YR1977,1784.0,21040.0,0.633660113621649,207.589575289575,11.8202775391489,28588099.6441281,0.971842225565606,330320000.0,2921280100.0,75.6380768673911,22.9042295146847,1002800000.0,34.0898262843235,18.3216298528567,2941640100.0,2941640100.0,6.78006172824861,683.90258566335,2913960100.0,620.0,94.0528411865234,,93.5,54.047,51.9561379280843,2.137079388421,4301256.0,1779239.0,41.365573027357
