Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,73.197,64.8917552501944,,15428.0,7544.0,48.9000015258789
YR1961,,60.0,,263.316666666667,,,,,,,,,,,,,,,,,,,,73.375,65.0156660442447,2.37626065447306,15799.0,7848.0,49.6753221896984
YR1962,,60.0,,269.716666666667,,,,,,,,,,,,,,,,,,,,73.531,65.2556774293218,2.40146616440365,16183.0,8174.0,50.5074548878367
YR1963,,60.0,,276.333333333333,,,,,,,,,,,,,,,,,,,,73.586,65.62123039807,2.42358411724005,16580.0,8522.0,51.4013183663657
YR1964,,60.0,,282.95,,,,,,,,,,,,,,,,,,,,73.658,66.0717441244036,2.36623371213477,16977.0,8889.0,52.3618313713575
YR1965,,60.0,,288.416666666667,,,,,,,,,,,,,,,,,,,,73.723,66.3604056513825,1.91359902588111,17305.0,9240.0,53.3939126488841
YR1966,,60.0,,292.05,,,,,,,,,,,,,,,,,,,,73.839,66.2405478670281,1.25188266389744,17523.0,9550.0,54.5024809450176
YR1967,,60.0,,294.8,,,,,,,,,,,,,,,,,,,,73.946,65.9232247851651,0.937213982886303,17688.0,9851.0,55.6924550058299
YR1968,,60.0,,297.683333333333,,,,,,,,,,,,,,,,,,,,74.062,65.5394434802083,0.973312136720139,17861.0,10175.0,56.9687535773932
YR1969,,60.0,,300.433333333333,,,,,,,,,,,,,,,,,,,,74.171,65.2040052145452,0.919559521187151,18026.0,10516.0,58.3362954057793
YR1970,,60.0,,302.8,,,,,,,,,,,,,,,,,,,,74.269,64.9621576991881,0.784664466903938,18168.0,10864.0,59.7999992370605
YR1971,,60.0,,306.983333333333,,,,,,,,,,,,,,,,,96.4685134887695,,,74.404,64.8406536728378,1.37209357337086,18419.0,11344.0,61.5897431667388
YR1972,,60.0,,313.116666666667,,,,,,,,,,,,,,,,,95.276496887207,,,74.592,64.817821307854,1.9782400748196,18787.0,11989.0,63.8161272295025
YR1973,,60.0,,316.533333333333,,,,,,,,,,,,,,,,,95.5164566040039,,,74.787,64.9045675924707,1.08526965821505,18992.0,12593.0,66.3051530802027
YR1974,,60.0,,317.166666666667,,,,,,,,,,,,,,,,,97.4093322753906,,,75.052,65.0499211770888,0.199884344074586,19030.0,13108.0,68.8828223736904
YR1975,,60.0,,317.433333333333,,,,,,,,,,,,,,,,,99.6478881835938,,,75.251,65.1816654415625,0.0840424463796105,19046.0,13594.0,71.3751367648166
YR1976,,60.0,,318.5,,,,,,,,,,,,,,,,,102.050659179688,,,75.431,65.4046416703734,0.335465248032737,19110.0,14060.0,73.5714732512881
YR1977,,60.0,,333.616666666667,,,,,,,,,,,,,,,,,102.212661743164,,,75.643,65.8498813538154,4.63701542563873,20017.0,15118.0,75.5242927851408
YR1978,,60.0,,350.433333333333,,,,,,,,,,,,,,,,,96.7799606323242,,,75.889,66.3099569570284,4.91778546450704,21026.0,16296.0,77.5062609911746
YR1979,,60.0,,355.333333333333,,,,,,,,,,,,,,,,,95.8358535766602,,,76.122,66.7565666041276,1.38858321440046,21320.0,16960.0,79.5474601536626
YR1980,,60.0,,359.75,,,,,,,,,,,,,,,,,96.1779403686523,,,76.371,67.3268473476951,1.2353029709797,21585.0,17610.0,81.5848042163697
YR1981,,60.0,,364.0,,,,,,,,,,,,,,,,,96.8549423217773,,,76.584,67.9975275291317,1.17445218692633,21840.0,18248.0,83.5552071230606
YR1982,,60.0,,367.583333333333,,,,,,,,,,,,,,,,,97.1913833618164,,,76.808,68.5906009838816,0.979618268019872,22055.0,18834.0,85.3955828175001
YR1983,,60.0,,370.483333333333,,,,,,,,,,,,,,,,,98.2236785888672,,,77.011,69.0329981780147,0.785840915186969,22229.0,19349.0,87.0428452434531
YR1984,,60.0,,372.433333333333,,,,,,,,,,,,,,,,,96.3600311279297,,,77.162,69.3144186879084,0.524959141637343,22346.0,19761.0,88.4339083446843
YR1985,,60.0,,374.75,,,,,,,,,,,,,,,,,97.2973022460938,,16.8,77.27,69.4291876987392,0.620108609752449,22485.0,20125.0,89.5056860649585
YR1986,,60.0,,377.266666666667,,,,,,,,,,,,,,,,,96.9093399047852,,15.5,77.377,69.5794309948754,0.669313905760668,22636.0,20417.0,90.1950923480406
YR1987,,60.0,,378.1,,,,,,,,,,,,,,,,,100.146949768066,,14.2,77.453,69.6788697626237,0.22064348565734,22686.0,20517.0,90.4390411376953
YR1988,,60.0,,380.716666666667,,,,,,,,,,,,,,,,,98.1707305908203,,13.0,77.544,69.882893728795,0.689673053688166,22843.0,20659.0,90.4391632080078
YR1989,,60.0,,385.9,,,,,,,,,,,,,,,,,99.2163009643555,7.4,12.0,77.647,70.1319454942017,1.35228271098042,23154.0,20941.0,90.4419860839844
YR1990,,60.0,,391.25,,,,,,,,,,,,,,,,,98.7127914428711,6.7,11.0,77.783,70.2470713525027,1.37684733107899,23475.0,21247.0,90.5081313103143
YR1991,,60.0,,396.616666666667,,,,,,,,,,,,,,,,,98.2968368530273,6.1,10.2,77.944,70.2867948313899,1.36234972179124,23797.0,21580.0,90.6839471071196
YR1992,,60.0,,402.083333333333,,,,,,,,,,,,,,,,,98.684211730957,5.6,9.4,78.133,70.3475719704035,1.36891249128106,24125.0,21941.0,90.9486426338301
YR1993,,60.0,,407.866666666667,,,,,,,,,,,,,,,,,100.0,5.0,8.6,78.373,70.4274272638117,1.42809596235528,24472.0,22338.0,91.2814270498757
YR1994,,60.0,,413.716666666667,,,,,,,,,,,,,,,,,99.7433700561523,4.6,8.0,78.67,70.4346775168191,1.42410358895514,24823.0,22753.0,91.6615095146862
YR1995,,60.0,,419.3,,,,,,,,,,,,,,,,,,4.2,7.4,79.031,70.2599570713093,1.34052946785269,25158.0,23162.0,92.0680991876912
YR1996,,60.0,,424.7,,,,,,,,,,,,,,,,,94.7368392944336,3.8,6.8,79.332,70.0410101446147,1.27963831425084,25482.0,23566.0,92.4804052283208
YR1997,,60.0,,430.0,,,,,,,,,,,976606910.602381,859000000.0,,37852.9810311,,,93.6749420166016,3.4,6.3,79.677,69.9346911881553,1.24021713683827,25800.0,23962.0,92.8776367960046
YR1998,,60.0,,435.416666666667,,,,,,,,,,1.82751509450425,1048316225.70471,940000000.0,7.4656188605108,40126.93686908,,,,3.1,5.8,79.918,69.799043062201,1.25182183574034,26125.0,24359.0,93.2390030501725
YR1999,,60.0,,440.983333333333,,,,,,,,,,1.55463608639049,1109473367.84318,1041000000.0,9.04936014625228,41931.7951488407,,,,2.8,5.3,80.2,69.6895255012377,1.27036547927293,26459.0,24751.0,93.5437131502544
YR2000,,60.0,,446.65,,,,,,,,,,2.56773358739586,1007661366.66959,1091000000.0,2.17937971500419,37600.7077379601,,,92.3133773803711,2.5,4.9,80.504,69.5511026530841,1.27682083101072,26799.0,25130.0,93.7709762556799
YR2001,,60.0,,452.383333333333,,,,,,,,,,2.70347841383587,1059529812.37456,1183000000.0,5.57834290401968,39035.1034290445,,,,2.3,4.5,80.803,69.3438455587076,1.27546128614055,27143.0,25487.0,93.9000015258789
YR2002,,60.0,,458.183333333333,,,,,,,,,,2.38676892433671,1148872072.38556,1215000000.0,0.310800310800303,41790.8432718184,,,,2.1,4.2,81.061,69.1293355886579,1.27394921306293,27491.0,25827.0,93.9488167294543
YR2003,,60.0,,464.05,,,,,,,,,,2.45182791541232,1462590266.59186,1293000000.0,3.87296669248644,52529.9093701059,,,,1.9,3.9,81.33,68.8886095498052,1.27229099015188,27843.0,26172.0,94.0
YR2004,,60.0,,490.95,1.43083868527343,,,,,,,,,2.01088269657863,1715340542.988,1379000000.0,4.5488441461596,58232.0176184948,,,98.2324905395508,1.7,3.6,81.592,68.6871731229501,5.63499845738975,29457.0,27753.0,94.2143791763566
YR2005,,60.0,,497.266666666667,1.68548890528347,,,,,,,,,1.6678752719362,1786514058.22344,1436000000.0,2.42510699001426,59877.8005839737,,,,1.6,3.4,81.926,68.5035787410532,1.2784145237654,29836.0,28238.0,94.6454896824635
YR2006,,60.0,,503.066666666667,2.09525935611432,,,,,,,,,2.01207243460763,1909765165.43137,1521000000.0,3.83008356545962,63270.7780755157,,,,1.5,3.1,82.258,68.3043966485272,1.15962645690926,30184.0,28738.0,95.2084276028853
YR2007,,60.0,,520.183333333333,2.49894575725803,,,,,,,,,-1.9723865877712,2188654628.38097,1597000000.0,7.10932260228034,70124.4634385624,,,,1.4,2.9,82.605,68.0885538367075,3.34586141198724,31211.0,29906.0,95.8182890221867
YR2008,,60.0,,527.7,4.29320249287704,,,,,,,,,2.83196979232221,2403213305.03601,1634000000.0,-0.500939261114581,75902.1320521765,,,94.248046875,1.3,2.8,82.894,67.8618924970119,1.43466268697041,31662.0,30519.0,96.3901700249324
YR2009,,60.0,,551.1,2.19959237046011,,,,,,,,,0.999377268139739,2064277126.41466,1480000000.0,-10.3209565764632,62428.9943269418,,,92.9460601806641,1.2,2.6,83.224,67.6620139581256,4.33883404775675,33066.0,32021.0,96.8391666956869
YR2010,,60.0,,554.5,2.58541815582587,,,,,,,,,1.43035574550051,1881191925.32503,1419000000.0,-5.47368421052632,56543.1898204098,,,92.4384525205158,1.1,2.4,83.464,67.4661616079155,0.615052590123215,33270.0,32297.0,97.074615769187
YR2011,,60.0,,543.666666666667,2.89979584300123,,,,,,,,,0.152699197986834,1813717438.69134,1303000000.0,-8.3147735708983,55601.3929703047,,,92.0494699646643,1.1,2.3,83.713,67.3163604712612,-1.97304928375177,32620.0,31674.0,97.0999984741211
YR2012,,60.0,,557.816666666667,2.8273322422258,,,,,,,,,3.12004460358166,1604701299.43546,1249000000.0,-7.04453441295546,47945.8991734281,,,93.3017190278601,1.0,2.2,83.943,67.1492387910298,2.56940400817854,33469.0,32498.0,97.0999984741211
YR2013,,60.0,,550.683333333333,1.60439298078082,,,,,,,,,2.00061717503941,1678741475.14095,1264000000.0,-0.78397212543554,50807.8289138024,,,,0.9,2.0,84.175,66.9066032123736,-1.28704227360667,33041.0,32083.0,97.0999984741211
YR2014,,60.0,,544.25,1.11296303373851,,,,,,,,,0.388644528758022,1673911426.17254,1260000000.0,-0.702370500438988,51260.4938347125,,,,0.9,1.9,84.394,66.7017538657692,-1.17512311839658,32655.0,31708.0,97.0999984741211
YR2015,,60.0,,548.283333333333,0.145686073241066,,,283745873.253626,926963896.362109,321.364013420909,32.0241661542694,758329952.897335,59.2769211436221,-0.742700250740796,1419401070.56043,1279300507.29183,2.29150556129265,43146.8240435428,,,,0.8,1.8,84.596,66.5909560189965,0.738348484872901,32897.0,31943.0,97.0999984741211
YR2016,,60.0,,551.683333333333,0.644075340346552,,,289214113.220747,981763045.552565,320.146089060708,32.4071649556587,788603216.221118,59.4484867145015,1.31670533871484,1468343139.74326,1326532027.65,2.34440586055426,44359.4797662688,,,,0.8,1.7,84.775,66.5881182032405,0.618202520367254,33101.0,32141.0,97.0999984741211
YR2017,,60.0,,563.75,1.01413313194508,,,303692668.147301,1032353550.97717,313.85032377067,32.4530315404968,810678005.436184,59.9107015944061,1.74335584048488,1528620346.31168,1353143902.27718,0.258265466328027,45192.0279766943,1253451308.89809,40010.0,,0.7,1.6,84.933,66.6516376752574,2.16366806498297,33825.0,32844.0,97.0999984741211
YR2018,,60.0,,575.366666666667,1.16333522293158,,,321325253.639405,1069405133.37779,309.487956436918,36.2169203250722,789664082.632016,56.3358162936745,2.06429610242003,1655353653.05934,1401708778.86202,1.49390531817373,47950.6880557136,1276461925.62372,41800.0,95.1260504201681,0.7,1.6,85.095,66.6695628249127,2.03966279076457,34522.0,33521.0,97.0999984741211
YR2019,,60.0,,577.716666666667,0.472651967352852,,,315514447.793143,1144458109.89952,307.264778080283,34.7786569469683,838656786.053936,58.0891290335199,0.914100160109228,1616340692.28937,1443741367.80394,2.06568514732739,46630.1443120725,1321751004.37165,43770.0,94.6193474527762,0.7,1.5,85.257,66.6695524197039,0.407603368403658,34663.0,33658.0,97.0999984741211
