Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,15161980.4952078,1346099384.0,29.8603131799379,6.96664046092708,,,,180459936.776025,1289000064.0,,62.7396279412993,1286999168.0,,,,,43.543,52.4265809463515,,2876331.0,508138.0,17.6661877175783
YR1961,282.0,637660.0,,4.70566837759429,,3160000.0,0.230825420014609,16575972.0896112,1465999664.0,39.0795752381978,6.55953281213302,,,9.78760222945397,191659914.376034,1368999936.0,-3.2619812023401,64.9242576104754,1366898944.0,,,,,43.667,52.1479959377437,2.59856756140979,2952054.0,536512.0,18.1741936982061
YR1962,282.0,637660.0,,4.83006184843944,,3700000.0,0.254470426409904,15875983.5696066,1667799536.0,40.3081088322197,6.17691539735687,,,-0.824029645489972,203531927.547229,1453800064.0,7.07665543416643,67.1702359919979,1452399232.0,70.0,,,,43.972,51.9253626499398,2.60914528197528,3030091.0,566186.0,18.6854591168632
YR1963,282.0,637660.0,,4.95801479261644,,4480000.0,0.290155440414508,18101979.3192083,1699899472.0,41.8420279197328,5.81643828575029,,,3.29617204048334,216145935.941626,1543900160.0,2.80880257009377,69.4922344839154,1543900160.0,70.0,,,,44.194,51.7398784256876,2.61461445515309,3110361.0,597189.0,19.2000007629395
YR1964,282.0,637660.0,,5.08941881595307,,5420000.0,0.330487804878049,20019969.5920122,1876499152.0,46.4165407225805,5.81884709594199,,,13.103426311195,229529912.668035,1639500032.0,-6.11062333034076,71.8899399360419,1637398656.0,70.0,,,,44.393,51.6127324784816,2.61582253076327,3192796.0,630077.0,19.734329893097
YR1965,282.0,637660.0,,5.22503586571875,,5170000.0,0.296955772544515,20215991.9136032,1801600000.0,37.7908151009857,5.15825157393535,,,12.8949230668109,243725898.029641,1740899968.0,-5.94368149253897,74.3548708796131,1739500032.0,70.0,,,,44.631,51.6361903532885,2.62980195781212,3277874.0,665366.0,20.298692538397
YR1966,282.0,637660.0,,5.36408646029266,,6500000.0,0.353645266594124,23967990.4128038,1978400032.0,37.5326475195822,7.30526544821584,,,-3.20636522705733,257375897.049641,1838400000.0,9.09865470772178,76.4837413887233,1832699008.0,80.0,,,,44.843,51.7525230635414,2.62644218326139,3365106.0,702759.0,20.8837076498277
YR1967,282.0,637660.0,,5.50664233111232,,7530000.0,0.387944358578053,25283989.886404,2108299968.0,35.9037764121572,7.97403814720508,,,-0.324413640168785,271781886.807245,1941299968.0,5.94094361661143,78.6738966197917,1938398976.0,80.0,,,,45.051,51.8552703300037,2.62289762131041,3454537.0,742034.0,21.4799941783772
YR1968,282.0,637660.0,,5.65337775369018,,8340000.0,0.4072265625,28167988.7328045,2183700000.0,36.4111234375,11.9091796875,,,3.39737536562647,286719885.312046,2048000000.0,2.02997732483756,80.8438204901175,2042301056.0,80.0,,,,45.254,51.9447057674124,2.6298138913795,3546590.0,783022.0,22.0781710750338
YR1969,282.0,637660.0,,5.80389422004017,,9000000.0,0.41958041958042,30957142.8571429,2308799936.0,39.6409236074627,13.1965432077543,,,6.52238469241337,306357284.571429,2144500992.0,-1.69956971733313,84.1406268777878,2138800000.0,80.0,,,,45.453,52.0211188334683,2.6275910461738,3641015.0,825376.0,22.6688572907858
YR1970,282.0,637660.0,1.2931577226788,5.95920553447891,,11200000.0,0.496014171833481,33285714.2857143,2376198976.0,26.1915794035625,13.0998929938669,,,8.61212740387191,347985394.285714,2435897760.0,4.58140792145136,93.0828499649358,2262933014.0,80.0,,,,45.644,52.0846682788328,2.64080631070446,3738448.0,868915.0,23.2426717766214
YR1971,282.0,637660.0,0.489857859398004,6.11740204673702,,11400000.0,0.483050847457627,32124309.0117244,2517300192.0,31.6505479797009,14.3458230881173,,,-0.56653542188559,347039445.705569,2473890817.0,2.13836477986746,90.4292309374489,2360146156.0,90.0,6.88722991943359,,,45.837,52.135711290982,2.62003316225248,3837691.0,912996.0,23.7902334835287
YR1972,282.0,637660.0,1.0047245695039,6.27958682692001,,13200000.0,0.45360824742268,85385290.3780376,3050301216.0,33.7781079359666,12.0942233915558,,,10.0018870467419,447883941.190165,3126285895.0,14.8809523809569,113.69240195555,2916294305.0,110.0,8.04928970336914,,,46.032,52.1745310971585,2.61666821934792,3939436.0,957368.0,24.302161362496
YR1973,282.0,637660.0,0.124043928679735,6.44880288200976,,16100000.0,0.505494505494506,99020954.867468,3597898976.0,42.7533432203542,12.1644607286025,,,10.6281141882512,483699610.602563,3038359104.0,-12.1493657316414,119.562133453537,3198720836.0,120.0,10.4305200576782,,,46.224,52.200790391122,2.65903274695096,4045592.0,1002056.0,24.7690743645115
YR1974,282.0,637660.0,0.122269880403153,6.61816877610227,,21400000.0,0.72714916751614,115011914.217633,3606401088.0,46.9212235729872,13.9737006175032,,,17.7278983638145,572504035.901509,3603912906.0,0.752491356521489,137.891575811774,2959942916.0,110.0,12.6443700790405,,,44.259,52.2411739175046,2.59241978649231,4151842.0,1045500.0,25.1815914405635
YR1975,282.0,637660.0,1.55743099058939,6.78664679440176,,23100000.0,0.516201117318436,144400297.378872,5120000000.0,36.9453606849877,10.5678100342606,,,15.2872312897991,757015878.792693,4765414957.0,14.6951958013713,177.806143412254,4481913961.0,170.0,,,,44.49,52.292188755678,2.51382631181487,4257535.0,1087068.0,25.532797785608
YR1976,282.0,637660.0,0.252483448686714,6.95924379124558,,26300000.0,0.517512790240063,136775198.093725,5783698944.0,31.3867751247566,11.6606528602889,,,17.2695781685298,871344245.115171,5485112023.0,-1.84794086589463,199.583547142014,5095429851.0,180.0,28.1480903625488,,,44.727,52.3251917398184,2.51138428837191,4365812.0,1128313.0,25.8442943408161
YR1977,282.0,637660.0,1.56052325581395,7.14771894028756,,31700000.0,0.460755813953488,70297117.6811594,9560100992.0,79.4767423255814,11.0319795348837,,,10.3700771762442,498550724.637681,6880000000.0,13.6453290299402,111.183132355277,6874000000.0,170.0,31.8103408813477,,,47.004,52.3154907188246,2.67224587145141,4484050.0,1171505.0,26.1260458993913
YR1978,282.0,637660.0,0.0531376146788991,7.6750916568368,,81400000.0,0.994988387727662,106353591.160221,10657000192.0,82.0060927217125,6.92354583486239,,,12.3093831570197,564571823.20442,8175000000.0,5.79941860465809,117.255345126001,8169000000.0,140.0,30.8904209136963,,,47.013,52.2458601100648,7.1186959185997,4814892.0,1270345.0,26.3836594902243
YR1979,282.0,637660.0,0.0016961602671118,8.686066566774,,87700000.0,0.97466103578573,234908069.291339,13606998272.0,99.9777613355593,8.83695047301057,,,15.677010097582,589566929.133858,8985000000.0,-4.98694875669908,108.194947756464,8998000000.0,110.0,31.9591293334961,,,47.405,52.1476187928814,12.3739962108146,5449117.0,1450691.0,26.6224928511374
