Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,65.5898536585366,66.2073498253459,,6638992.0,1929539.0,29.0637407717058
YR1961,,88360.0,,,,,,,,,,,,,,,,,,,,,,66.1841951219512,66.2009895009055,0.751575277115895,6689077.0,2010163.0,30.0514207305317
YR1962,,88360.0,,,,,,,,,,,,,,,,,,,,,,66.9230487804878,66.240433946248,0.762319578988888,6740264.0,2096246.0,31.1003606667552
YR1963,,88360.0,,,,,,,,,,,,,,,,,,,,,,67.2328780487805,66.3574932307131,0.704988810836648,6787950.0,2187221.0,32.2221183589961
YR1964,,88360.0,,,,,,,,,,,,,,,,,,,,,,67.879,66.5361190882081,0.659361362118125,6832855.0,2281412.0,33.3888505275946
YR1965,,88360.0,,,,,,,,,,,,,,,,,,,,,,68.6011463414634,66.7586101159934,0.638523881319286,6876624.0,2377690.0,34.5764112393776
YR1966,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.3070731707317,67.0181803699374,0.743886281494888,6927969.0,2477487.0,35.7606545611719
YR1967,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.9707317073171,67.3156645522071,0.554940788252938,6966522.0,2571861.0,36.9174345598043
YR1968,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.9547804878049,67.6547772493854,0.587717200979848,7007586.0,2664467.0,38.0226053021016
YR1969,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.9095609756098,68.007605227387,1.6370665019584,7123249.0,2781773.0,39.0520208548908
YR1970,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.6292926829268,68.3230402607058,0.584314274207748,7164993.0,2864674.0,39.9815352849985
YR1971,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.6149024390244,68.5266088865167,0.649984144434649,7211716.0,2941806.0,40.7920352843336
YR1972,,88360.0,,,,,,,,,,,,,,,,,,,,,,69.8716341463415,68.6061603381722,0.55720218545603,7252012.0,3011629.0,41.5281802102789
YR1973,,88360.0,,,,,,,,,,,,,,,,,,,,,,70.381487804878,68.6242241601474,0.438776002160413,7283902.0,3075607.0,42.2247129979135
YR1974,,88360.0,,,,,,,,,,,,,,,,,,,,,,71.0062926829268,68.6169684208763,0.576882621648656,7326043.0,3141638.0,42.8831474091289
YR1975,,88360.0,,,,,,,,,,,,,,,,,,,,,,71.4935853658537,68.5993005158973,0.580807307674808,7368717.0,3205907.0,43.5069968895082
YR1976,,88360.0,,,,,,,,,,,,,,,,,,,,,,71.7468536585366,68.5771766261915,0.679703097426325,7418973.0,3271750.0,44.0997748846345
YR1977,,88360.0,,,,,,,,,,,,,,,,,,,,,,71.6648780487805,68.5699773713911,0.588776305145934,7462783.0,3333252.0,44.6649948400909
