Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,195.9,28.054,54.5535839462893,,2931559.0,253877.0,8.66014350393072
YR1961,,,,,,,,,,,,,,,,,,,,,,,193.7,28.278,54.5705782598588,1.52890035182107,2976724.0,257145.0,8.63853004737055
YR1962,,,,,,,,,,,,,,,,,,,,,,,191.4,28.506,54.5544303027337,1.58589380295288,3024308.0,260660.0,8.61882914868015
YR1963,,,,,,,,,,,,,,,,,,,,,,,207.0,28.249,54.4713170327355,1.58642600311421,3072669.0,264279.0,8.60095220683216
YR1964,,,,,,,,,,,,,,,,,,,,,,,187.5,32.458,54.2958240912101,1.84602411120863,3129918.0,268698.0,8.58481062079924
YR1965,,,,,,,,,,,,,,,,,,,,,,,185.4,28.781,54.0839886702604,1.89623851952638,3189835.0,273379.0,8.57031578955405
YR1966,,,,,,,,,,,,,,,,,,,,,,,213.5,25.633,53.8874862772882,1.44995162669354,3236423.0,276953.0,8.55737911206925
YR1967,,,,,,,,,,,,,,,,,,,,,,,211.2,25.858,53.7003058290579,1.26573844173653,3277648.0,280105.0,8.54591198731749
YR1968,,,,,,,,,,,,,,,,,,,,,,,209.0,26.103,53.5247563056455,1.32988260084819,3321528.0,283520.0,8.53582581427144
YR1969,,,,,,,,,,,,,,,,,,,,,,,210.6,25.396,53.3599729968478,1.31614277847943,3365533.0,286980.0,8.52703199190375
YR1970,,,,,,,,,,,,,,,,,,,,,,,208.4,25.632,53.2042336757181,1.30127426086222,3409614.0,290480.0,8.51944191918708
YR1971,,,,,,,,,,,,,,,,,,,,,,,172.3,30.993,53.0541821007653,1.71652276738751,3468646.0,295285.0,8.51296699509408
YR1972,,,,,,,,,,,,,,,,,,,,,,,170.3,31.291,52.9103125690279,2.10675296416204,3542497.0,301379.0,8.50751861859742
YR1973,,,,,,,,,,,,,,,,,,,,,,,168.5,36.277,52.7764709741884,2.36796059150749,3627383.0,308437.0,8.50300818866975
YR1974,,,,,,,,,,,,,,,,,,,,,,,166.6,36.589,52.6507556954808,2.60879083860661,3723259.0,316453.0,8.49934710428372
YR1975,,,,,,,,,,,,,,,,,,,,,,,164.8,36.867,52.5255374632981,2.60420856115398,3821494.0,324691.0,8.49644676441201
YR1976,,,,,,,,,,,,,,,,,,,,,,,163.1,37.092,52.3941650879291,2.59373343996214,3921910.0,333136.0,8.49421856802726
YR1977,,,,,,,,,,,,,,,,,,,,,,,161.5,37.397,52.2524358339551,2.57056050170216,4024032.0,341744.0,8.49257391410213
YR1978,,,,,,,,,,,,,,,,,,,,,,,159.7,37.592,52.0969586495388,2.54255485896338,4127657.0,350497.0,8.49142420160929
YR1979,,,,,,,,,,,,,,,,,,,,,,,157.9,37.805,51.9363432137352,2.51077091087818,4232605.0,359377.0,8.49068082952138
YR1980,,,,,,,,,,,,,,,,,,,,,,,156.6,38.034,51.7663104695853,2.48331780772874,4339030.0,368395.0,8.49025519681107
