Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,43.564,63.4983532317826,,68012.0,10494.0,15.4298356457858
YR1961,3200.0,960.0,,71.5697916666667,,,,,,,,,,,,,,,,,,,,45.193,61.9832184727791,1.01669261276963,68707.0,10942.0,15.9262917524485
YR1962,3200.0,960.0,,72.2947916666667,,,,,,,,,,,,,,,,,,,,46.843,59.593674579446,1.00790079212404,69403.0,11723.0,16.8913070660808
YR1963,3200.0,960.0,,73.0333333333333,,,,,,,,,,,,,,,,,,,,48.4,57.5190945850538,1.01638691688797,70112.0,12818.0,18.2827004029807
YR1964,3200.0,960.0,,73.8177083333333,,,,,,,,,,,,,,,,,,,,49.739,55.7238712772788,1.06826952058127,70865.0,14158.0,19.9792091281889
YR1965,3200.0,960.0,,74.6666666666667,,,,,,,,,,,,,,,,,,,56.1,51.072,54.1573660714286,1.14351100478063,71680.0,15669.0,21.8595706067462
YR1966,3200.0,960.0,,75.6,,,,,,,,,,,,,,,,,,,54.4,52.309,52.7994984533348,1.24225199985571,72576.0,17275.0,23.8025222036935
YR1967,3200.0,960.0,,76.6625,,,,,,,,,,,,,,,,,,,52.9,53.449,51.6244089352682,1.39563877666148,73596.0,18904.0,25.6868012840716
YR1968,3200.0,960.0,,77.8802083333333,,,,,,,,,,,,,,,,,,,51.6,54.491,50.5811542834214,1.575918460396,74765.0,20479.0,27.3911452129212
YR1969,3200.0,960.0,,79.253125,,,,,,,,,,,,,,,,,,,50.9,55.4,49.6438100495511,1.74749886005561,76083.0,21908.0,28.7942913552832
YR1970,3200.0,960.0,,80.8604166666667,,,,,,,,,,,37211826.0869565,1069840.0,,479.373226585893,1121961.0,,,,50.5,56.267,49.2454252091747,2.00775729819666,77626.0,23100.0,29.7580767294187
YR1971,3200.0,960.0,,82.6354166666667,,,,,,,,,,-6.19413576798131,37288845.210287,1057518.0,5.37532999484682,470.047210516664,1109039.0,,101.371398925781,,50.6,56.965,49.3703516954494,2.17139446955817,79330.0,24077.0,30.3503527966162
YR1972,3200.0,960.0,,84.4177083333333,,,,,,,,,,3.61303983130364,41430256.8067496,1120830.0,2.29103269566046,511.225883278212,1175436.0,550.0,111.69310760498,,50.9,57.448,49.5224639380067,2.13388321357742,81041.0,24969.0,30.8102103597303
YR1973,3200.0,960.0,,86.2479166666667,,,,,,,,,,20.5895100059358,56011244.7398414,1373125.0,1.59230103452408,676.480648564475,1440022.0,650.0,131.671401977539,,51.3,57.896,49.6491461146405,2.14487070604295,82798.0,25824.0,31.1894039361865
YR1974,3200.0,960.0,0.0,88.2,,,,,,,,,,1.23132746798224,57817591.4570048,1469039.0,5.68377540167492,682.841924804006,1540609.0,780.0,104.131141662598,,51.7,58.262,49.7643849206349,2.23810619823753,84672.0,26679.0,31.5088711327861
YR1975,3200.0,960.0,0.0,90.3208333333333,,,,,,,,,,-0.830229865827221,60101709.8452627,1535193.0,5.37809647703489,693.150687886501,1609985.0,870.0,105.446563720703,,52.1,58.561,49.8737140748258,2.37611832401866,86708.0,27564.0,31.7895495563306
YR1976,3200.0,960.0,0.0,92.6270833333333,,,,,,,,,,0.816728300436026,52039421.1975774,1573104.0,1.63934420591072,585.225491976985,1649744.0,750.0,133.701354980469,,52.5,58.782,49.9957828446119,2.52134292381298,88922.0,28502.0,32.0523768136215
YR1977,3200.0,960.0,0.0,95.1052083333333,,,,,,,,,,-4.80766176918176,49207692.3210324,1848146.0,23.4175289253147,538.961153996478,1938186.0,740.0,113.783813476562,,52.8,58.979,50.1418385340796,2.64021594726524,91301.0,29507.0,32.3182905114604
YR1978,3200.0,960.0,0.0,97.7020833333333,,,,,,,,,,4.64999857278234,55044562.8014217,1990121.0,2.89729997671209,586.866567172971,2087078.0,680.0,128.511795043945,,53.2,59.141,50.3038573895985,2.69391476379537,93794.0,30585.0,32.6082282566485
YR1979,3200.0,960.0,0.0,100.2625,,,,,,,,,,-0.531043826818035,65755928.1359723,2303074.0,16.3431584046761,683.1642785186,2415277.0,770.0,,,53.6,59.273,50.4745331290096,2.58688640913746,96252.0,31708.0,32.9431276559874
YR1980,3200.0,960.0,0.0,102.65,,,,,,,,,,24.639980007431,81662231.0329968,2839510.0,-1.08135941310979,828.688007722406,2977848.0,860.0,153.97314453125,,54.1,59.361,50.6474265302809,2.35333967718996,98544.0,32858.0,33.3439263162786
YR1981,3200.0,960.0,0.0,104.807291666667,,,,,,,,,,25.9039284864759,83499263.5007481,3206327.0,-10.3139022174618,829.888818772033,3292299.0,810.0,155.695007324219,,54.9,59.432,50.8229389256075,2.07982029736442,100615.0,34038.0,33.8301919007624
YR1982,3200.0,960.0,0.0,106.779166666667,,,,,,,,,,-0.392853972285707,80307762.6236105,3292506.0,3.09278360147638,783.429221364288,3274618.0,820.0,151.292938232422,,56.0,59.533,50.9316346041285,1.86394923949714,102508.0,35335.0,34.4707393466422
YR1983,3200.0,960.0,0.0,108.729166666667,,,,,,,,,,0.469319260828087,75110289.1832665,3179809.0,-3.87397151622915,719.585065944304,3139276.0,730.0,143.434875488281,,57.2,59.679,51.0071325582844,1.8097241901964,104380.0,36864.0,35.3167652887903
YR1984,3200.0,960.0,0.0,110.827083333333,,,,,,,,,,15.587584385592,78213795.9250336,3453817.0,-6.03046000123703,735.13352186245,3413060.0,670.0,136.128982543945,,58.6,59.893,51.1429215933229,1.91110981248022,106394.0,38654.0,36.3310963650518
YR1985,3200.0,960.0,0.0,113.185416666667,,,,,,,,,,-2.24528847916254,82733069.4418031,3690258.0,9.29988604655227,761.407990592529,3690258.0,750.0,131.891937255859,27.0,60.0,60.139,51.0974801671299,2.10561505767341,108658.0,40719.0,37.474126843308
YR1986,3200.0,960.0,0.0,115.78125,,,,,,,,,,28.7347735420046,115928906.745482,4473582.0,-5.83211886217245,1042.99511241999,4027492.0,750.0,,27.4,65.2,57.605,50.9055330634278,2.2675305493402,111150.0,43022.0,38.7062509914404
YR1987,3200.0,960.0,0.206980547520272,118.665625,,,,,,,,,,44.7541184885392,115952925.468271,6285949.0,-2.93011348938296,1017.85413731046,5964960.0,900.0,129.926666259766,27.3,62.7,60.663,50.7999069518388,2.46070291250447,113919.0,45554.0,39.9878630773304
YR1988,3200.0,960.0,0.20201864221136,121.811458333333,,,,,,,,,,33.3219758698073,99000764.3902251,8548056.0,1.99872995054187,846.60177007008,7943512.0,980.0,134.126449584961,27.3,63.8,60.808,50.7433394476584,2.61647617818336,116939.0,48272.0,41.2793573688592
YR1989,3200.0,960.0,-0.0507380524323596,124.978125,,,,,,,,,,39.3575097844403,98545367.0431211,12285848.0,3.13531564577619,821.355129173615,11478556.0,890.0,,27.2,64.8,59.731,50.7222097200343,2.56642961506755,119979.0,51040.0,42.5411281339083
YR1990,3200.0,960.0,,128.104166666667,,,,,,,,,,42.2390438110288,119297932.757045,17099092.0,-2.1526457716534,970.059625606155,15662161.0,820.0,141.383743286133,27.0,65.5,60.707,50.7241014799154,2.47050130575644,122980.0,53784.0,43.7335696403591
YR1991,3200.0,960.0,,130.934375,,,,,,,,,,25.3451937487011,107484142.71556,21690300.0,1.2010046399312,855.105075821698,19423100.0,800.0,144.181793212891,26.7,66.1,60.792,50.6772264939756,2.18525084376235,125697.0,56331.0,44.8152889990418
YR1992,3200.0,960.0,,133.447916666667,,,,,,,,,,39.5587242691663,94861780.6228352,30482600.0,0.699996987364386,740.471318576498,27296100.0,780.0,148.073608398438,26.3,66.2,60.706,50.6061197408477,1.90150209053952,128110.0,58670.0,45.7968298871752
