Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,2.85714285714286,,,,,,41.6959357752132,78200.0,39.2373306573006,,99650000.0,199300.0,,377.579399662016,157300.0,,,,,56.595,50.4569601163998,,263918.0,160916.0,60.9719296280079
YR1961,,163820.0,,1.69955181564288,1.70940170940175,,,,,,38.3008356545961,87700.0,40.7149489322191,3.12812401939357,107700000.0,215400.0,4.79999998694005,394.80774658988,164900.0,,,,,57.29,50.1049340061329,3.30674853850826,272791.0,171932.0,63.0270625521718
YR1962,2331.0,163820.0,,1.76883825009917,2.1008403361344,,,,,,36.0309944037882,96500.0,41.5411106328024,3.79775567442124,116150000.0,232300.0,3.90000000631146,409.105638366818,167800.0,290.0,,,,58.023,49.4151356758432,3.99583967672701,283912.0,183395.0,64.5958687249818
YR1963,2331.0,163820.0,,1.85059138317492,2.05761316872425,,,,,,34.9741961095673,102800.0,40.8098451766574,2.68689912429289,125950000.0,251900.0,5.60000000041359,424.025532430631,148400.0,250.0,,,,58.496,48.5355211861268,4.51822793750489,297034.0,194725.0,65.5563146748529
YR1964,2331.0,163820.0,,1.92539780512588,4.23387096774197,,,,,,36.0863095238095,111800.0,41.5922619047619,0.196254935101265,134400000.0,268800.0,6.50000000660916,434.893751961714,162300.0,260.0,,,,58.908,47.9505113407466,3.96273438148096,309041.0,203397.0,65.8155107729289
YR1965,2331.0,163820.0,,1.99367494164295,1.93423597678913,,,,,,37.0742783003568,125500.0,40.7071034706455,2.40619685290086,154150000.0,308300.0,12.0000000009194,481.71875,242100.0,380.0,,,,59.137,47.5318007315614,3.48470416139043,320000.0,210685.0,65.8389445544183
YR1966,2331.0,163820.0,,2.06304859937794,4.74383301707783,,,,,,43.6564223798266,138600.0,36.4066193853428,3.59364082712355,190350000.0,380700.0,19.1999999853885,574.84107690217,305600.0,460.0,,,,59.232,47.1677714527308,3.42051514179487,331135.0,218088.0,65.8607097262987
YR1967,2331.0,163820.0,,2.13497042289771,10.6884057971016,,,,,,45.2424105120072,158100.0,35.817852288174,3.42936048192666,220700000.0,441400.0,12.1000000069554,644.042967325106,352100.0,510.0,,,,59.172,46.8953452064469,3.42680017054743,342679.0,225751.0,65.8783330284516
YR1968,2331.0,163820.0,,2.20934072845518,0.163666121112876,,,,,,46.1984669567019,176900.0,36.6480215454734,1.63252105805797,241350000.0,482700.0,7.60000000122862,680.595348207639,362400.0,520.0,,,,59.292,46.7708732826494,3.42413649683741,354616.0,233667.0,65.8930683607798
YR1969,2331.0,163820.0,,2.28591030668266,11.2745098039219,,,,,,45.3880223377624,189300.0,36.4529173887926,2.94961654585006,259650000.0,519300.0,4.49999999500439,707.674445225753,378500.0,530.0,,,,59.394,46.8220018506128,3.40701705717174,366906.0,241814.0,65.9061696231861
