Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,31.0,70.2697804878049,61.6517943518178,,4068095.0,1357828.0,33.377498555932
YR1961,,49030.0,,,,,,,,,,,,,,,,,,,,,29.3,70.7239024390244,61.445886620496,2.99236759278997,4191667.0,1419747.0,33.8706957980902
YR1962,,49030.0,,,,,,,,,,,,,,,,,,,,,28.1,70.2702926829268,61.4162175178656,1.10373125690825,4238188.0,1459168.0,34.4290646412497
YR1963,,49030.0,,,,,,,,,,,,,,,,,,,,,27.3,70.6334146341463,61.509327240802,1.02883408574012,4282017.0,1502045.0,35.0779756909031
YR1964,,49030.0,,,,,,,,,,,,,,,,,,,,,26.7,71.0198780487805,61.558356456145,1.05291053584313,4327341.0,1549202.0,35.8003332226964
YR1965,,49030.0,,,,,,,,,,,,,,,,,,,,,26.3,70.2352682926829,61.6611961267317,1.00346609779566,4370983.0,1599095.0,36.5843439498957
YR1966,,49030.0,,,,,,,,,,,,,,,,,,,,,26.0,70.3774390243903,61.9177970479319,0.926446929305,4411666.0,1650767.0,37.4182145857674
YR1967,,49030.0,,,,,,,,,,,,,,,,,,,,,25.8,70.9255853658537,62.2623928564344,0.850944297257204,4449367.0,1703669.0,38.2901518435776
YR1968,,49030.0,,,,,,,,,,,,,,,,,,,,,25.7,70.436756097561,62.6371226301036,0.773470987216663,4483915.0,1757173.0,39.1883624365927
YR1969,,49030.0,,,,,,,,,,,,,,,,,,,,,25.5,69.7953902439024,63.0011025490775,0.770721176320319,4518607.0,1812009.0,40.1010530780789
YR1970,,49030.0,,,,,,,,,,,,,,,,,,,,,25.4,69.7125853658537,63.3284620794539,0.433176523644296,4538223.0,1861163.0,41.0108238145688
YR1971,,49030.0,,,,,,,,,,,,,,,,,,,,,25.2,69.8625609756098,63.6721348788642,0.422751142162509,4557449.0,1911816.0,41.9492614131804
YR1972,,49030.0,,,,,,,,,,,,,,,,,,,,,24.9,70.2982195121951,63.9613748381859,0.855864874103741,4596622.0,1976362.0,42.9959669161556
YR1973,,49030.0,,,,,,,,,,,,,,,,,,,,,24.5,70.0213902439024,64.0817249005179,0.970405426654067,4641445.0,2048550.0,44.1360463055453
YR1974,,49030.0,,,,,,,,,,,,,,,,,,,,,24.1,70.1781707317073,64.0161107907335,1.0326455261866,4689623.0,2126005.0,45.3342318356853
YR1975,,49030.0,,,,,,,,,,,,,,,,,,,,,23.5,70.3050487804878,63.8960593378729,1.04961038811862,4739105.0,2206302.0,46.5552557609114
YR1976,,49030.0,,,,,,,,,,,,,,,,,,,,,22.9,70.4631951219512,63.8073287731809,1.05791840570578,4789507.0,2287653.0,47.7638503355591
