Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,4.14177915090215,2725500000.0,3.77697093998143,2385265175.10826,85464933000.0,42.261043818812,,,,,15930075466.8898,82409628000.0,,2128.36441205712,81404179855.4051,,,13.1,16.3,73.0056097560976,65.8213238348921,,7484656.0,5424007.0,72.468357448982
YR1961,624.0,447420.11,,18.4612450001804,2.15797310981961,2921500000.0,3.72061333129569,2589324157.94784,91988261000.0,40.0738690135387,,,,2.93737844028766,17329620584.6147,89649769000.0,5.68129282767997,2304.47143531351,88523620528.0032,,,12.8,16.0,73.4743902439024,66.1007578658427,0.471081377263699,7519998.0,5516014.0,73.3512656787098
YR1962,624.0,447420.11,,18.5633465139784,4.76619721905826,3291500000.0,3.8634442931593,2968042003.43731,99839975000.0,39.4023016023198,,,,4.0202670769157,18794066990.0612,97225658000.0,4.25904719368346,2485.46561781218,96023079118.961,2410.0,,12.4,15.6,73.3504878048781,66.3270301207516,0.55153490392046,7561588.0,5617385.0,74.2884260082654
YR1963,624.0,447420.11,,18.6682712242386,2.87174034485767,3610500000.0,3.96727724240992,3314265325.15513,108127777000.0,39.5536654968845,,,,2.7619010945309,20342131881.5074,105234123000.0,5.32793383778119,2675.07291656901,103899263838.273,2600.0,,11.9,15.0,73.5553658536585,66.4653809339669,0.563633784442054,7604328.0,5722327.0,75.2509219454679
YR1964,624.0,447420.11,,18.8082673994212,3.38766231088349,3924500000.0,3.86619773810931,3675381913.88809,121114272000.0,40.2302966522402,,,,4.39853264711682,22685490195.3119,117356808000.0,6.82116446107321,2961.02884624727,115951439008.418,2860.0,,11.3,14.4,73.7331707317073,66.4817193566901,0.747117164606475,7661354.0,5838437.0,76.2063302365149
YR1965,624.0,447420.11,,18.9862490692658,5.01277129643838,4369000000.0,3.91263074939103,4175761548.18581,134813565000.0,40.4013385208758,,,,5.99314047133997,24963947414.6983,129143746000.0,3.821507586275,3227.87974049912,127537864368.304,3090.0,,10.8,13.7,73.8617073170732,66.3883941661766,0.941845548835765,7733853.0,5963921.0,77.1144815966842
YR1966,624.0,447420.11,,19.1677781468391,6.40480825348423,4692000000.0,3.85801327117097,4833198788.37692,145992986000.0,39.4599471105089,,,,6.54798040077156,27154716721.2854,140477056000.0,2.09084426689796,3477.89737890027,138686079802.622,3330.0,,10.4,13.1,74.0785365853659,66.2083948143591,0.951566377508855,7807797.0,6090591.0,78.0065281470108
YR1967,624.0,447420.11,,19.3154043173302,4.28931922993319,4769500000.0,3.61145184983266,5421584899.76084,157228578000.0,38.3148357084202,,,,5.01023959165212,29474881505.9928,152479756000.0,3.36538864517098,3746.2048797826,150452057344.606,3610.0,,10.2,12.6,74.1224390243903,65.9674569239352,0.767228099090544,7867931.0,6210716.0,78.9370890987311
YR1968,624.0,447420.11,,19.4242618630102,1.94312582473228,4868000000.0,3.47654687767811,6057165498.35947,166664088000.0,39.2672336932166,,,,2.39151839275171,31277871668.8452,161807003000.0,3.638505638623,3953.08297234501,159596530277.431,3940.0,,10.0,12.2,73.9729268292683,65.7693416992243,0.561996748688562,7912273.0,6317421.0,79.8433134789156
YR1969,624.0,447420.11,,19.5612458103151,2.69199458555708,5262500000.0,3.45928073254583,6644197711.52448,181301847000.0,41.7599252182972,,,,3.4182107738872,33967301561.0634,175719989000.0,5.00907518225404,4262.92603293035,173260229032.43,4280.0,,9.6,11.7,74.0848780487805,65.6307285701081,0.702745811085643,7968072.0,6425706.0,80.6431673329191
