Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,35076845.9692616,25054900.0,,101.572799813694,21255700.0,,,,136.8,46.389,50.2029901226917,,345337.0,14007.0,4.05605468939175
YR1961,788.0,17360.0,,20.5386046511628,,,,,,,,,,,43026042.7895829,30732900.0,,121.795718753065,26126800.0,,,,135.9,46.75,49.9080008152543,2.26949009124184,353264.0,15930.0,4.50934604282058
YR1962,788.0,17360.0,,21.0095930232558,,,,,,,,,,,45927961.6288154,32805700.0,,127.095766410182,27809600.0,,,,134.7,47.145,49.6453037160437,2.26728750998605,361365.0,18038.0,4.99165826155719
YR1963,788.0,17360.0,,21.4976162790698,,,,,,,,,,,54129438.3482247,38663900.0,,146.391131380777,32857800.0,,,,133.3,47.471,49.4047474165605,2.2962914197621,369759.0,20338.0,5.5003389099887
YR1964,788.0,17360.0,,22.0148837209302,,,,,,,,,,,64980554.0077784,46414700.0,,171.608409764479,39411600.0,,,,131.9,47.922,49.2970523338496,2.37766991366799,378656.0,22843.0,6.03273555250223
YR1965,788.0,17360.0,,22.5776744186047,,,,,,,31.4741035856574,15500000.0,30.8764940239044,,70279971.8880112,50200000.0,,180.977225619081,42600000.0,,,,130.4,48.431,49.3533297882887,2.52428030587552,388336.0,25577.0,6.58619575348491
YR1966,788.0,17360.0,,23.1840697674419,3.1775210084201,,,,,,30.0546448087432,16300000.0,29.6903460837887,,76859969.2560123,54900000.0,,192.744540046073,48500000.0,,,,128.8,48.99,49.4365116384045,2.65038344249984,398766.0,28551.0,7.1598753100716
YR1967,788.0,17360.0,,23.7808720930233,1.82404343794972,,,,,,33.8951310861423,17800000.0,33.3333333333333,,74759970.096012,53400000.0,,182.773359711151,47000000.0,,,,127.1,49.526,49.5785766587088,2.54161691056596,409031.0,31850.0,7.78668605792886
YR1968,788.0,17360.0,,24.369011627907,3.44942509524238,,,,,,32.6315789473684,22800000.0,40.0,,79799968.0800128,57000000.0,,190.386590098492,50200000.0,,,,125.4,50.084,49.7511013452337,2.44307459244508,419147.0,35577.0,8.48787511620386
YR1969,788.0,17360.0,,24.9927325581395,3.20554123770314,,,,,,27.4900398406374,24700000.0,32.8021248339973,,105419957.832017,75300000.0,,245.233981580731,65600000.0,,,,123.4,50.641,49.8476881043188,2.5272775036418,429875.0,39757.0,9.24856755402791
YR1970,788.0,17360.0,,25.6520930232558,1.84953956571386,,,,,,25.9675405742822,27900000.0,34.8314606741573,,112139955.144018,80100000.0,,254.161125489597,69600000.0,,78.5903701782227,,121.1,51.208,49.8766475792442,2.60400827019153,441216.0,44366.0,10.0553385340729
YR1971,788.0,17360.0,,26.3478488372093,2.32166117555597,,,,,,22.3360655737705,33700000.0,34.5286885245902,7.12484416978508,136462080.739132,97600000.0,13.7436337306559,301.119152172814,88600000.0,,79.4253311157227,,118.7,51.779,49.8474676316936,2.67614659632928,453183.0,49373.0,10.8947632190108
YR1972,788.0,17360.0,0.456600842198581,27.0806976744186,2.36633218489993,,,,,,24.2021276595745,33500000.0,29.6985815602837,9.62726502294502,146736479.235097,112800000.0,5.42429428264373,315.028466244508,101200000.0,290.0,82.986930847168,,115.9,52.352,49.7695837694227,2.74345775710836,465788.0,54746.0,11.7534167715134
YR1973,788.0,17360.0,0.0270373636363636,27.8510465116279,11.5435259696435,,,,,,28.961038961039,47400000.0,30.7792207792208,25.2306765558377,221915127.550763,154000000.0,9.01867373858821,463.251615844177,133100000.0,360.0,86.9270095825195,,112.8,52.99,49.6542027981079,2.80493312171263,479038.0,60444.0,12.6178743542528
YR1974,788.0,17360.0,1.33630288830145,28.6620930232558,19.2877754456961,,,,,,28.5077951002227,55800000.0,31.0690423162584,10.2889454822052,264320940.959002,179600000.0,5.74348690476276,536.161003835798,156565700.0,460.0,89.5579833984375,,109.4,53.656,49.5097745886052,2.87049067698096,492988.0,66429.0,13.4747111299007
YR1975,788.0,17360.0,5.01876338679077,29.5158720930233,12.0457419321678,,,,,,24.859287054409,55000000.0,25.797373358349,4.21373188402319,288299788.508035,213200000.0,13.9084441066064,567.884816620216,,,90.7660522460938,,105.9,54.399,49.340371991786,2.93527065511219,507673.0,72651.0,14.3105022611292
YR1976,788.0,17360.0,2.70042126347459,30.4261627906977,6.53091265949243,,,,,,27.0042194092827,63000000.0,26.5822784810127,13.5702783875819,272550068.137517,237000000.0,-2.11943776564657,520.799625738095,,,91.3750534057617,,102.3,55.172,49.1504404486653,3.03747007004282,523330.0,79061.0,15.1072938404459
YR1977,788.0,17360.0,6.58093632181149,31.4155813953488,20.80512182762,4687500.0,1.78231939163498,,,,28.7443267776097,70000000.0,26.4750378214826,10.4461251876848,304060076.015019,264400000.0,1.00959290787206,562.711578492044,,,92.4456787109375,,98.9,55.973,48.9420253780662,3.20011362104073,540348.0,86064.0,15.9275703287936
YR1978,788.0,17360.0,6.38082216697003,32.4677906976744,8.51761476291623,7182500.0,2.43309620596206,,,,32.0729237002026,74000000.0,24.983119513842,10.5599584961411,340630085.157521,296200000.0,1.32712872842085,609.960650013647,,,92.6402893066406,,95.6,56.785,48.7328665017446,3.2944549841144,558446.0,94032.0,16.8382300309925
YR1979,788.0,17360.0,13.4585339059012,33.5580813953488,16.4535169700762,8572500.0,2.45841697734442,,,,31.1328913231479,93000000.0,26.8088786393773,13.5877053732984,412093133.760988,346900000.0,3.10694505124196,713.953305118319,,,93.4137115478516,,92.1,57.536,48.5355137482913,3.30291681177236,577199.0,102772.0,17.8053277569546
YR1980,788.0,17360.0,4.88024613228716,34.6886046511628,18.6839754034956,10230000.0,2.42353888796759,,,,25.9420767098624,170908200.0,40.4890194499064,8.20953778308504,541976852.577057,422110000.0,12.4490521716711,908.375601827987,,,95.0691299438477,,88.7,58.227,48.3359856665066,3.31335262217991,596644.0,112099.0,18.7882511130803
YR1981,788.0,17360.0,6.48832144537385,35.8609302325581,20.0557966522539,10850000.0,2.1661010181673,,,,25.6338590537033,200400000.0,40.0079856258734,3.51034453345329,570774824.830585,500900000.0,14.6414410739109,925.368712517647,,,97.5791015625,,85.2,58.788,48.1287952419592,3.32371717153383,616808.0,121797.0,19.7463877057699
YR1982,788.0,17360.0,-2.53554947320968,37.0727906976744,10.8074213418412,12025000.0,2.1995610023779,,,,23.9335274970019,235500000.0,40.3460681857118,15.1796855611046,537568059.413381,583700000.0,1.1725678797539,843.043006864844,,,97.7341537475586,,81.4,59.467,47.9381386712501,3.32348876512679,637652.0,131606.0,20.6391251414238
YR1983,788.0,17360.0,-1.01826410237816,38.3114534883721,11.5675243834069,13075000.0,2.25586611456177,,,,22.6280911588815,275000000.0,44.4480362049459,4.73692143521498,555336145.767884,618700000.0,1.20235489842577,842.750203378801,,,97.0576095581055,23.7,83.7,58.418,47.8051678637605,3.28656020093579,658957.0,141187.0,21.4258510264423
