Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,5.11890951276099,323000000.0,10.517746662325,129691871.50838,3272113400.0,49.1565930599862,,,,,857704413.407821,3070581800.0,,183.525069735278,2956527741.0,,,22.6,107.3,52.723,49.688242216754,,4673500.0,1869429.0,40.0006101490939
YR1961,252.0,185180.0,,26.2023397540538,1.95889088150075,323000000.0,9.54491725768322,130812318.435754,3543855700.0,39.9818645339493,,,,-0.565431830039103,945244972.067039,3383977000.0,10.8330639000002,196.293561633919,3258367403.0,,,22.2,103.8,53.652,49.4352415150726,2.9924565819662,4815466.0,1943461.0,40.358728260311
YR1962,252.0,185180.0,,26.9851996952878,-3.8461538461533,552000000.0,13.4699853587116,145120813.00813,4083750200.0,42.4971634251451,,,,-2.74775082385237,1110565880.75881,4097988100.0,24.5212971717849,223.934209140492,3945793376.0,230.0,,21.8,100.5,54.569,49.2491238753544,2.94398459066759,4959340.0,2018771.0,40.7064488921501
YR1963,252.0,185180.0,,27.8075253019915,1.91666666666659,,,150420183.246073,4644175600.0,40.5984147577089,,,,22.5011921106247,1200447408.37696,4585709100.0,-8.6527466722076,234.899747591945,4415456757.0,210.0,,21.4,97.6,55.394,49.1788128169109,3.00181221054998,5110467.0,2097649.0,41.0461246166116
YR1964,252.0,185180.0,,28.6706224834041,5.39656582175021,428000000.0,8.64297253634895,173783848.167539,5234495100.0,35.9165247976589,,,,2.115426913167,1339494267.01571,5116868100.0,9.2713638022407,254.217527062223,4918818115.0,230.0,,21.2,94.9,56.17,49.0535979901643,3.05663132905379,5269087.0,2180354.0,41.3801080056958
YR1965,252.0,185180.0,,29.5748558058548,-3.87897595034945,451000000.0,8.87795275590551,207476093.88583,5053996800.0,34.0800718016017,,,,-2.95205309007281,1472036540.13329,5079998100.0,2.29937387537676,270.830584796164,4903571285.0,250.0,,21.0,92.1,56.901,48.8432582980744,3.10515426386107,5435267.0,2267091.0,41.7107516314031
YR1966,252.0,185180.0,,30.5204429208837,3.79338175948378,391000000.0,7.74717654051912,196276569.148936,5307182400.0,40.6474759704832,,,,7.59091299043087,1342287553.19149,5047001200.0,-7.65906551020211,239.30759595908,4877730034.0,230.0,,21.0,89.3,57.55,48.6733618628407,3.14721844798714,5609047.0,2358066.0,42.0404080657338
YR1967,252.0,185180.0,,31.5061377734247,6.45412130637526,453000000.0,8.21396192203083,238968452.722063,5660453300.0,34.904728955674,,,,0.937731458959632,1580229799.42693,5515002000.0,8.25768264705083,272.914639434944,5331191886.0,260.0,,21.2,86.2,58.045,48.5393677383744,3.17856580100366,5790198.0,2453390.0,42.3714298806882
YR1968,252.0,185180.0,,32.532060071825,2.84879474068662,726000000.0,12.1648793565684,312959153.687922,6116718500.0,37.8826615439671,,,,4.32359578317309,1753746429.62092,5967999100.0,3.72908022105565,293.330341001656,5773131858.0,280.0,,21.4,82.9,59.118,48.4363640742788,3.20436900477396,5978742.0,2553292.0,42.7061696482669
YR1969,252.0,185180.0,,33.6008597235825,-1.98863636363599,743000000.0,10.8261693137112,365063788.027478,7143509200.0,38.8005350779387,,,,-3.17530683126216,2245011514.55676,6863000200.0,18.7679152118321,363.554844445761,6636790815.0,340.0,,21.4,79.5,59.844,48.3618293307281,3.23255868046689,6175166.0,2658222.0,43.04697994047
YR1970,252.0,185180.0,-0.0046720588235294,34.7187343562956,4.63768115941983,763000000.0,11.2205882352941,375196726.471514,,38.5588235294118,22.8529411764706,3722000000.0,54.7352941176471,0.894965293338345,2140384010.0724,6800000000.0,-1.79685287528201,335.451366800943,6575522700.0,340.0,,21.3,76.2,60.608,48.313295799821,3.27277826028542,6380609.0,2768972.0,43.3966694383516
YR1971,252.0,185180.0,,35.9021329850909,5.6094182825485,676000000.0,8.43629102708099,462831286.360698,,39.6855110445526,23.262198926744,4399000000.0,54.8982902782978,8.1523145570706,2589851325.14544,8013000000.0,8.95581456274421,392.515069525448,7749776212.0,380.0,79.7061386108398,21.0,72.9,61.334,48.3090419748491,3.35172720996848,6598094.0,2886858.0,43.7529143169291
YR1972,252.0,185180.0,0.0003268313827481,37.1423658722385,2.09836065573833,994000000.0,10.7715648027742,543103448.275862,,41.8400520156047,21.1855223233637,4825000000.0,52.2865192891201,-8.35412629212598,3059681697.61273,9228000000.0,25.6607151992633,448.237758556479,8925378655.0,470.0,83.5952835083008,20.6,69.8,61.969,48.3348907310384,3.39615470003481,6826024.0,3010936.0,44.1096595453088
YR1973,252.0,185180.0,-0.0013891086096744,38.4172434432474,20.3596660244059,1486000000.0,15.0694655714431,698094612.352168,,47.8247642226955,21.35686035899,5890000000.0,59.7302504816956,19.3559530148506,3239487516.42576,9861000000.0,-10.4698549438381,458.830061186419,9555102409.0,460.0,88.425163269043,20.2,66.8,60.826,48.3445228623458,3.37481514469446,7060321.0,3139325.0,44.4643311438209
YR1974,252.0,185180.0,0.0001938150836225,39.7331592121014,15.5282817502668,2006000000.0,12.6601451562007,916639531.097362,,57.8289681287472,24.1337961502051,8589000000.0,54.2063742505522,27.7336249167066,5159557147.50895,15845000000.0,25.7957728545964,706.579580221326,15418734802.0,660.0,89.7783508300781,19.9,64.0,63.441,48.3370673882796,3.36796769047348,7302160.0,3272468.0,44.8150721752309
YR1975,252.0,185180.0,0.0020506869932514,41.1054739362281,11.4649681528663,3285000000.0,15.94892460067,1439509446.47,,55.3721415740156,23.1344370539399,11916000000.0,57.8530854007865,11.7221938009908,6826980444.14982,20597000000.0,16.3515760555234,903.713462066405,19974937135.0,890.0,90.4840087890625,19.8,61.3,64.187,48.3099538022027,3.39552147222842,7554364.0,3411553.0,45.1600257023045
YR1976,252.0,185180.0,0.0013100101112234,42.5362933942758,11.4285714285715,3641000000.0,14.7259858442872,1531336832.35567,,53.8200202224469,23.9635995955511,13685000000.0,55.3488372093023,6.93719250081648,7633528866.93424,24725000000.0,12.2544466019418,976.48924016597,23909729267.0,1010.0,91.7642593383789,20.0,58.6,64.844,48.2819784605224,3.42163753002886,7817320.0,3556672.0,45.4973347878071
YR1977,252.0,185180.0,0.0011694369377707,44.0227500272064,11.9658119658116,3918000000.0,14.5041276422463,1507977207.97721,,58.830933254359,23.0814792877503,15410000000.0,57.0466071891312,11.255860813971,7696011396.0114,27013000000.0,-1.79951787755418,951.240398587355,26207996941.0,980.0,91.3732986450195,20.3,55.9,65.398,48.278542948082,3.43488726385305,8090501.0,3707484.0,45.8251424945043
YR1978,252.0,185180.0,0.0,45.5585972358254,4.80916030534371,4763000000.0,14.705609929297,1852806414.66208,,46.071197011331,24.2366235450307,17405000000.0,53.7373799746828,9.05830830285821,9275200458.19015,32389000000.0,9.94259012392304,1107.78304477534,31511235092.0,1090.0,90.797721862793,20.7,53.2,65.932,48.298010249668,3.42928023556298,8372759.0,3863324.0,46.1415918851617
YR1979,252.0,185180.0,0.0004028326576692,47.1319458047666,4.55207574654038,6208000000.0,15.9285677631241,2146242038.21656,,55.1418894647714,26.2559655154719,21566000000.0,55.3343254477344,19.271855817196,9929681528.66242,38974000000.0,0.887988823235375,1146.36179260974,37869938425.0,1180.0,90.8925476074219,20.9,50.6,66.244,48.3356816415595,3.39516772652549,8661909.0,4023009.0,46.4448260225449
YR1980,252.0,185180.0,-0.0003062219621611,48.7412286429427,19.2964123998608,8844000000.0,17.2498537156232,3024203821.65605,,53.662960795787,22.6526233664911,28954000000.0,56.473571289253,14.8820201167283,13062420382.1656,51270000000.0,14.5081169532396,1458.23976434095,49667188718.0,1470.0,92.3622512817383,20.9,48.2,66.545,48.381729050408,3.3574229992635,8957663.0,4186184.0,46.7329879694194
YR1981,252.0,185180.0,0.0002577618316432,50.3873598868212,18.3941605839417,9568000000.0,14.5461179439622,3221742515.39387,,48.6142572631771,25.7628046277574,36229000000.0,55.0785228879395,19.0616583772759,15518201335.3151,65777000000.0,7.75534386462431,1675.79747403807,63595640084.0,1630.0,93.6495590209961,20.8,48.4,64.598,48.4624935840942,3.32150917439771,9260189.0,4352679.0,47.0042170442923
