Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,39590952.9203848,72703358900.0,30.4272143078476,9.19507955244028,37012020700.0,48.1369836963319,,313582728.147574,76888948700.0,,102.819470459603,76368846800.0,,,,142.4,39.216,55.02478410735,,3049838.0,201086.0,6.59333271154994
YR1961,322.0,1284000.0,,2.46979920634921,,,,42309816.0499012,78477242400.0,32.4678088640909,9.77648558661203,39848913500.0,48.649141917445,5.06282790068775,333975336.110722,81910825000.0,1.39774367077582,107.320380491931,81154272100.0,,,,142.1,39.421,54.790851963554,2.01601008682063,3111947.0,215388.0,6.92133708176102
YR1962,322.0,1284000.0,,2.52031587301587,,,,47134111.6139593,85099405300.0,33.659337221366,8.87296728964118,43192053300.0,49.2915339039664,1.53457996041601,357635713.41932,87625703400.0,5.36011610893922,112.619958010844,86782824300.0,110.0,,,141.7,39.608,54.5359330746524,2.02473857435913,3175598.0,230519.0,7.25906894026772
YR1963,322.0,1284000.0,,2.57214682539683,,,,49866098.936393,89001941000.0,32.1602694432208,9.37983788893364,44009889800.0,48.3152658981547,5.64206497934788,371767002.194886,91088994300.0,-1.59945401520737,114.710860761079,90281028200.0,110.0,,,141.3,39.893,54.268492021286,2.03566507226671,3240905.0,246329.0,7.6006134138896
YR1964,322.0,1284000.0,,2.62498333333333,,,,53279432.8648857,95594825600.0,35.0570745087388,9.86668532864064,46784494600.0,48.6774107853725,8.23125167290335,392247517.728482,96111304700.0,-2.51093960346873,118.594106789032,95353432900.0,110.0,,,141.0,40.12,54.0842889705422,2.03336559914203,3307479.0,263529.0,7.96765511598421
YR1965,322.0,1284000.0,,2.67795238095238,,,,57369813.1747103,97291039000.0,31.3132935859781,11.1683836949808,48991625700.0,47.9499845463571,5.66570163304849,416926303.316872,102172349300.0,0.606227786326357,123.56227611622,101331848400.0,120.0,,,140.5,40.05,53.9985161017189,1.99779187226255,3374220.0,283838.0,8.41194483843781
YR1966,322.0,1284000.0,,2.7308753968254,,,,63356801.6390466,100400031900.0,31.8758347788952,12.3955617610233,48913579600.0,46.0023745739401,5.98287514510272,432794921.680489,106328379900.0,-1.80709239199822,125.779460124418,105529714900.0,120.0,,,140.1,40.089,53.9090387161395,1.95697504351163,3440903.0,307153.0,8.92652367221407
YR1967,322.0,1284000.0,,2.78453333333333,,,,70757819.6307528,103516144400.0,32.5260272698626,12.7654924552637,46652576600.0,42.1593596634511,3.27928791907522,449826322.613453,110657697300.0,0.767201382289826,128.209999741615,111193988400.0,130.0,,,139.5,40.393,53.7896045688878,1.94580790312177,3508512.0,333051.0,9.49264753853897
YR1968,322.0,1284000.0,,2.83986587301587,,,,74367227.8244975,104837145500.0,33.6260412806243,13.886535514444,47390262300.0,42.1661152346874,2.0314649389575,453980096.208711,112389443600.0,-0.457218866538199,126.87277490154,112557812200.0,130.0,,,139.0,40.702,53.6522656027517,1.9676528240493,3578231.0,361100.0,10.0915723586385
YR1969,322.0,1284000.0,,2.89770873015873,,,,83697691.7892172,114878333700.0,30.9056620313361,12.8174106656185,52433367700.0,42.7655110653693,2.06733982748064,471635621.561599,122606666900.0,6.88131022379166,129.175848997716,123202517100.0,140.0,,,138.5,41.019,53.4949132641316,2.01635084091658,3651113.0,390835.0,10.7045540537388
YR1970,322.0,1284000.0,0.127859051822512,2.95859365079365,,,,87801463.7004644,123426845200.0,38.3095679084534,12.576827305091,56846647800.0,43.8270380833647,3.85955208091333,469266736.650677,129706798100.0,1.85965647855571,125.882078424937,130571729200.0,140.0,,,137.8,41.386,53.3151073493734,2.07937058008427,3727828.0,421724.0,11.3128485450656
