Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,171057069.137772,41942355344.0,,102.238985564471,41825797544.0,,,,134.4,43.536,52.4423379215951,,1673110.0,178149.0,10.6477780013309
YR1961,1168.0,56790.0,,31.3056995771281,,80200000.0,0.265562913907285,,,,,,,-6.94682998696793,178497098.264275,43778216527.0,12.1693173716966,104.830748893841,43479917127.0,,,,133.5,43.746,52.3888878774335,1.75410405447791,1702717.0,197428.0,11.5948544772247
YR1962,1168.0,56790.0,,31.861720904578,,175000000.0,0.546875,,,,,,,0.715476636259353,186745757.859216,45755297291.0,3.77365283189978,107.761209503061,45785247291.0,110.0,,,132.6,44.001,52.3560417886281,1.76051415203075,1732959.0,220264.0,12.7103080800016
YR1963,1168.0,56790.0,,32.4521419378562,,278000000.0,0.839955282956159,18107623.7397724,54157897190.0,43.5185185184812,19.7530722229897,8567366573.0,17.2839820992326,3.17491639918836,202305865.235908,49568244886.0,4.99969427082227,114.616211257053,50456355986.0,120.0,,,131.5,44.274,52.3092124030103,1.83611306966138,1765072.0,246074.0,13.9412885167039
YR1964,1168.0,56790.0,,33.1575657289943,,829000000.0,2.15711274752153,20769412.3440606,62116597269.0,53.9062500008155,20.3124880202256,11674948569.0,20.3125380214763,1.45983872364191,234572186.455851,57476562292.0,14.2860112631032,130.069304471372,58254392692.0,130.0,,,130.3,44.6,52.2290311213483,2.1504469409367,1803440.0,274753.0,15.2349454943735
YR1965,1168.0,56790.0,,34.0829380400809,,824000000.0,1.89538574780328,21282052.209921,68843274610.0,48.0459770110297,22.0689701146647,15348171769.0,23.6781544828014,-2.32407248263566,264505506.022433,64819966354.0,15.4597127063262,142.685102972499,63447630254.0,140.0,,57.1,129.0,44.917,52.1679322850557,2.75259906305007,1853771.0,306585.0,16.5384287200526
YR1966,1168.0,56790.0,,35.2732671446957,,710000000.0,1.33747763021569,22417845.9463254,76258818737.0,49.9058380412303,22.0338977399988,20618125913.0,27.495293031578,5.73775859915348,305227594.821437,74987838425.0,9.4087191007167,159.095922113344,74643889125.0,160.0,,56.8,127.6,45.228,52.1363941761145,3.43284640148539,1918513.0,341474.0,17.7988879007832
YR1967,1168.0,56790.0,,36.6958999816143,-2.31884058067624,764000000.0,1.3397397678252,22388452.457852,79930524432.0,46.3157894735927,23.333332807382,21041780178.0,26.1403496489938,1.74808937624435,327215843.636336,80495404463.0,5.50037155762124,163.944828440613,79659001263.0,160.0,,56.4,126.1,45.615,52.0932766835848,3.95396593411125,1995890.0,378490.0,18.9634727436075
YR1968,1168.0,56790.0,,38.2464791321934,0.296735906036536,814000000.0,1.35886349598518,23387903.616014,82754908595.0,50.2504173613172,21.8697834723588,23301297495.0,27.5459106847132,0.0609454260907825,341691567.465593,84590768342.0,5.02369185243529,164.256944901945,83303436542.0,170.0,,56.0,124.4,46.022,52.0434683643672,4.13864755067714,2080226.0,415615.0,19.9793329555674
YR1969,1168.0,56790.0,,39.8016914874058,6.01577909270214,893000000.0,1.28223536844524,23902355.7779958,96594326541.0,55.1724137933841,21.264367816624,29656168420.0,30.1724295980578,4.83856099574945,378091809.602636,98288963849.0,10.8308683441436,174.653254091407,96937173249.0,180.0,,55.5,122.7,46.354,51.9756200763668,3.98579038666217,2164814.0,450143.0,20.7936182437052
YR1970,1168.0,56790.0,0.195167782920535,41.271796286082,4.48062015465095,1009000000.0,1.36839535640664,36012572.3066595,100346959671.0,59.837177746536,20.0814111257233,39412410698.0,39.7557655354388,-1.62125040819991,358665753.909298,99136339515.0,2.52430264526689,159.778184212523,97892572715.0,170.0,,55.1,120.8,46.782,51.8870166633738,3.62699569725479,2244773.0,479724.0,21.3707135644892
YR1971,1168.0,56790.0,1.13678943656461,42.6176870748299,6.4920611363943,1152000000.0,1.40831295843521,49407615.1117822,117816752627.0,61.5384615384615,21.7338211235893,42310636542.0,37.9731391944719,12.3932368535163,404648367.76644,111422540879.0,0.0,174.569696910771,110154787879.0,170.0,61.1597290039062,54.8,118.9,47.232,51.7831289021112,3.20899886145756,2317976.0,506004.0,21.8295776253321
YR1972,1168.0,56790.0,0.253141100371723,43.849862107005,7.7266076782348,1292000000.0,1.47564388098909,62231793.393825,128200724695.0,54.2237442922336,19.6347043378368,48143463636.0,40.2968036533388,-0.372352688114432,474043921.843537,119472164716.0,7.6251575468784,198.7610542599,117528039316.0,190.0,66.7045211791992,54.4,116.9,47.692,51.6692596146448,2.85022175031456,2384994.0,530432.0,22.2403945683233
YR1973,1168.0,56790.0,0.574881842983353,45.0220444934731,3.61531496573167,1532000000.0,1.69491525423729,70483892.944235,136578773938.0,47.8982300887204,20.2433631637999,49819407979.0,38.9380533189761,3.13437416817652,574030983.980053,127945297036.0,3.83748400245855,234.418057538789,125102189736.0,230.0,72.7819595336914,54.1,114.9,48.138,51.5477086463333,2.63806732910423,2448749.0,553603.0,22.60758200235
YR1974,1168.0,56790.0,-5.60087983057206,46.1805478948336,12.8319316906201,1949000000.0,1.49195462130839,76904505.8610995,156835671978.0,66.8706962508387,34.2004592963725,62530205613.0,32.8232583779203,42.0320807065715,791450308.362944,190505783713.0,4.83284911849424,315.097902810358,190602064313.0,300.0,75.8359069824219,53.7,112.8,48.593,51.420945587766,2.5406420735396,2511760.0,576201.0,22.9401438571081
YR1975,1168.0,56790.0,0.597856723407635,47.3363118220261,18.0121994976676,2382000000.0,1.85658612626656,130461483.933072,220472929924.0,73.4996102885768,27.3577554948582,65384639944.0,34.9961026502652,-4.26383525378778,871781686.907321,186834061488.0,2.44054118351914,338.605700917386,185794061488.0,350.0,77.9132690429688,53.1,110.7,49.046,51.294549006699,2.47190245832823,2574622.0,598525.0,23.2470840622931
YR1976,1168.0,56790.0,0.643044960285917,48.4978120978121,11.6407308106915,3401000000.0,2.49523110785033,142464649.924515,229706818554.0,73.5876742483619,22.2303743945726,67010599379.0,32.0616281730389,14.2100141013494,874681611.928369,209005603263.0,-2.05152258707815,331.595624501807,208065603263.0,350.0,83.4515686035156,52.5,108.6,49.509,51.1716128107732,2.4240992769713,2637796.0,620869.0,23.5374065476009
YR1977,1168.0,56790.0,1.02546911197324,49.6763007905865,22.4570134066177,5186000000.0,3.07227488151659,186017555.826665,320064937021.0,72.0379146923367,22.0379140995221,71746961600.0,26.5995274291149,20.6574056845155,1097893825.98815,269730211528.0,6.95908537296113,406.342301359026,266480211528.0,380.0,88.4311599731445,51.7,106.5,50.163,51.0623934428232,2.40092885753276,2701894.0,643594.0,23.8201152427271
YR1978,1168.0,56790.0,7.98037968683462,50.8944291230005,0.442773093952961,5130000000.0,2.71428571428571,180029388.813568,341136066577.0,100.635593220425,22.4576260592672,112413519012.0,42.7966112288458,-12.3041865376947,1164025637.26464,262669206239.0,11.0454345072834,420.507009475158,258049206239.0,440.0,91.6286697387695,50.9,104.3,50.902,50.9785696029565,2.42254959655111,2768148.0,667240.0,24.1042140773674
YR1979,1168.0,56790.0,4.1755267378951,52.2127964699393,7.53925120772942,4786000000.0,2.24906015037594,191153724.070504,341414221068.0,94.7368421052632,22.509398637051,118084991655.0,44.0789415883905,7.5469987413527,1259365711.53521,267894344555.0,-5.16774264547425,443.461428487243,263244344555.0,460.0,96.7850570678711,50.1,102.2,51.515,50.9208395924579,2.55741378668088,2839854.0,692888.0,24.3987069812176
YR1980,1168.0,56790.0,2.66287801958426,53.7027762456334,12.3068572123795,5232000000.0,2.19463087248322,238302125.943989,383870742572.0,109.605704697988,23.8674496643517,132413360998.0,39.0520134226319,10.4657265795636,1604836915.96662,339069229453.0,14.5769561096296,549.433466591605,330629229453.0,560.0,99.1478881835938,49.4,100.2,52.146,50.8887948156959,2.81370914040505,2920894.0,721829.0,24.7125978839733
YR1981,1168.0,56790.0,0.750087393683044,55.3970031255746,19.7165023624807,6121000000.0,2.37248062015504,203854006.418609,427117155983.0,95.813953488221,22.7906976745194,145998491656.0,39.5348837208232,12.6474222750633,1359026709.45126,369290302425.0,-3.31518607757171,451.047897242509,361740302425.0,520.0,100.217918395996,48.8,98.3,52.781,50.8820237351448,3.10607977315352,3013043.0,754985.0,25.0572394887706
YR1982,1168.0,56790.0,1.39026575590456,57.2723294723295,11.1296733281827,6093000000.0,2.25917686318131,179837182.967422,431341495932.0,118.650352243467,23.3963663330376,150707975963.0,39.5253985910429,7.08675789698097,1160337039.38068,381294006728.0,-3.58240254629433,372.494829726432,367374006728.0,420.0,95.0487365722656,48.3,96.3,53.273,50.8964084593402,3.32921037580506,3115042.0,792099.0,25.4281873966399
YR1983,1168.0,56790.0,0.133469242771903,59.2553594410737,9.35546507986147,6249000000.0,2.09697986577181,175271828.4581,445129324088.0,96.006711409192,20.2013422818263,159438990579.0,38.6912751677653,14.2601237152809,1081387264.60786,412079958305.0,-5.41400778468125,335.532470799693,395639958305.0,330.0,90.3457107543945,47.8,94.5,53.772,50.9321576630233,3.40386297842723,3222899.0,831881.0,25.8115784745194
YR1984,1168.0,56790.0,-0.979807277759182,61.2766501195073,-3.52662871020549,6857000000.0,2.18514977692798,159655836.263178,446537652295.0,103.186743148537,18.8017845761194,170876204705.0,38.5595920968676,1.87944529930814,1014170069.21689,443148372202.0,5.55555504120959,304.296330488676,426188372202.0,310.0,80.9340286254883,47.4,92.8,54.101,50.9967184113715,3.35426281603711,3332837.0,873276.0,26.2021681670453
YR1985,1168.0,56790.0,1.51174787549841,63.2669792241221,-1.81441438232162,8482000000.0,2.50798344175044,146166745.10959,525903320040.0,105.547445255299,18.8905109488161,183727233988.0,37.9854014598284,3.40143735085408,1076604520.42427,483678536825.0,5.55555216355627,312.867204158294,466618536825.0,310.0,77.6474761962891,46.8,91.2,54.372,51.0913760938935,3.19646790270683,3441091.0,915315.0,26.5995506771182
YR1986,1168.0,56790.0,0.408023798612943,65.2316970031256,4.12461526367686,10393000000.0,2.84505885573501,230401214.496765,579849326316.0,99.6189439302313,19.7876973325684,180325232164.0,34.7553075666805,5.59479993708582,1498219578.86978,518842285651.0,1.5865043145251,422.277296555811,504302285651.0,340.0,76.709342956543,46.2,89.8,54.624,51.2107971021028,3.05819633409292,3547952.0,958065.0,27.0033202076388
YR1987,1168.0,56790.0,0.405364694026897,67.2459643316786,0.054008850482646,13047000000.0,3.50349087003222,280056187.330046,579849345539.0,92.168353755935,21.0708577517229,188606379307.0,35.5767181672573,1.65884167925765,1763978065.8368,530139903350.0,0.510162180697307,482.289598775121,515959903350.0,410.0,82.2796020507812,45.6,88.5,54.831,51.3499968626184,3.04115055889201,3657508.0,1002635.0,27.4130709615079
YR1988,1168.0,56790.0,0.665893595610211,69.3094686523258,-0.150910979934777,12834000000.0,3.12490869247626,281142676.720185,648792383138.0,90.0509585051445,21.4996360106086,198557209057.0,34.2356224218318,2.58577645265122,1947208354.22555,579972540328.0,6.64236977029414,516.536238879357,565192540328.0,530.0,82.6368789672852,45.0,87.4,54.911,51.5098248102921,3.02245229087264,3769742.0,1049059.0,27.8283971416261
YR1989,1168.0,56790.0,0.479894782773986,71.3993564993565,-0.839403116952551,13354000000.0,3.09406858202039,270038855.650586,666138111530.0,89.0871177015274,24.3280815570523,200478338883.0,32.8917979611254,0.992354543440086,1910635575.38044,609508604911.0,4.06002168353761,491.999321055752,596798604911.0,540.0,86.8178634643555,44.4,86.4,54.742,51.693948953639,2.9707327038728,3883411.0,1097021.0,28.2488929508941
YR1990,1168.0,56790.0,0.793141303389092,73.5201507630079,1.01534150530809,13817000000.0,3.12248587570621,371853264.043825,671691199680.0,59.7664883098492,26.2257182737995,326933050919.0,52.2158892636794,2.97594444257834,2299665505.61434,626117941357.0,-0.243656134474705,575.094511928654,617277941357.0,540.0,88.8214797973633,43.7,85.4,54.566,51.8985380721678,2.92706719938482,3998761.0,1146611.0,28.6741525922127
YR1991,1168.0,56790.0,0.286366668925518,75.6675859533002,0.387081797870757,12950000000.0,2.85935085007728,360181534.228217,695221395200.0,59.4614554308219,27.9725046947951,334093561500.0,52.3376697217623,2.67109282645418,2262767860.10937,638342446800.0,-0.699967495023117,549.808011573,630172446800.0,530.0,93.8582382202148,43.1,84.5,54.263,52.1200939701895,2.87903492173325,4115560.0,1197783.0,29.1037702684825
YR1992,1168.0,56790.0,-0.548335156060614,77.8381503952933,1.39378663675938,13000000000.0,2.93122886133033,344998365.476383,681612049100.0,49.6550131360584,28.0853950685144,330159689900.0,52.1724068194681,3.24543460439628,2390796915.91958,632824341500.0,-3.98068681380465,564.71733648074,625624341500.0,550.0,92.4719924926758,42.5,83.5,54.084,52.3534485996253,2.82817980707413,4233617.0,1250498.0,29.5373401826042
YR1993,1168.0,56790.0,-1.06638883343195,77.3571060856775,-1.00688168855034,14200000000.0,4.0306556911723,317807576.191062,531547980900.0,42.7125004415732,25.2292278928697,262665727000.0,53.2516727552664,-8.19677350934612,1741944426.20894,493253476200.0,-15.0958274819575,414.013995214907,495853476200.0,460.0,,41.9,82.5,53.858,52.5992147031453,-0.619923393390871,4207453.0,1261161.0,29.9744565374785
YR1994,1168.0,56790.0,-0.235321137982799,77.6418459275602,39.1627673796795,14100000000.0,2.58431085043988,229946200.779253,816061445300.0,57.5643564343816,25.7087944092196,429191926300.0,55.7076295903547,35.8423813711266,1387662121.46736,770436526300.0,14.9824143442687,328.600956079736,745526526300.0,430.0,96.0042037963867,41.2,81.3,53.731,52.860619954418,0.367409145018829,4222940.0,1284395.0,30.4147135360062
YR1995,1168.0,56790.0,-0.422544101853013,81.0963780106637,16.4335034524163,15400000000.0,1.85752563400778,252934772.752344,1016091764600.0,55.6017737303644,27.1004198897989,481483433500.0,52.1661499808044,11.0842103567644,1849110468.19569,922980579700.0,7.84583232329818,419.220334892756,906200579700.0,420.0,105.588981628418,40.6,79.9,53.708,53.1134828984645,4.35317658540081,4410832.0,1361082.0,30.8577053810879
YR1996,1168.0,56790.0,0.108911179677093,84.1673101673102,4.68749999999996,,,290185423.613372,1159373524300.0,59.4098688003353,25.7107323641827,530684130400.0,50.1278705191381,5.3879278063591,2069506014.46659,1058660830600.0,8.83621162979911,452.068436882428,1045130830600.0,420.0,110.238662719727,39.9,78.3,53.829,53.3763046488971,3.71683062271981,4577860.0,1433009.0,31.3030262756242
YR1997,1168.0,56790.0,0.579188299254937,86.873138444567,8.25082508250802,,,242832525.226285,1337405956600.0,53.2069014922318,23.4014487368866,620298879200.0,50.205401494008,2.03603454597328,2116818622.95834,1235522196300.0,14.3773775724317,448.001096915436,1218692196300.0,480.0,111.314659118652,39.1,76.6,53.855,53.6843787235213,3.1642270108889,4725030.0,1500210.0,31.750270422516
YR1998,1168.0,56790.0,0.495891967675325,89.3714469571612,0.975338381088674,,,292663310.318882,1449355872700.0,55.737924512227,25.0035458184975,658825596200.0,49.817981246551,9.55663247337893,2241650112.33333,1322465462700.0,-2.29987657013699,461.158245854911,1308695462700.0,440.0,112.366470336914,38.2,74.7,53.963,54.0214311613303,2.83523702193122,4860913.0,1565167.0,32.199032024664
YR1999,1168.0,56790.0,0.677685876867208,91.9336091193234,-0.0532136248823534,,,257491670.041427,1472220175100.0,50.108899621779,23.8802933141669,693879934700.0,50.6334265351113,1.11512719389448,2226577203.91399,1370398928500.0,2.48175143834959,445.291484100954,1346768928500.0,430.0,118.031967163086,37.4,72.8,54.318,54.3278071639746,2.8265430635721,5000269.0,1632533.0,32.6489052849687
YR2000,1168.0,56790.0,2.50698256954936,94.5033462033462,1.86260595463067,,,215538612.712597,1623406803600.0,48.8080041114183,30.3028277716404,716673905900.0,47.8963795644462,10.0494567461461,2106848752.27753,1496300790200.0,-0.783479610048047,409.889802792768,1475600790200.0,420.0,110.808746337891,36.5,70.8,54.587,54.5813731089264,2.75685668978126,5140037.0,1701326.0,33.0994844063309
YR2001,1168.0,56790.0,3.46872208576776,97.0285346571061,3.91959133653146,,,230488443.250735,1692352273000.0,51.3941520650307,29.378615828701,771422060600.0,50.3120943875614,1.63405347420718,2093498674.49678,1533273599500.0,0.823438752111855,396.692654520135,1511773599500.0,400.0,112.105476379395,35.7,68.8,54.757,54.7747633201462,2.63698635340958,5277382.0,1770581.0,33.5503635916513
YR2002,1168.0,56790.0,2.39840389095673,99.5270086412944,3.05981857535884,,,208846049.867808,1818006288600.0,51.609565282441,30.2198722396307,813752051600.0,48.669760988867,5.02785556565668,2410199032.43102,1671986948500.0,3.82662257675142,445.238691488925,1657176948500.0,410.0,113.691993713379,34.9,66.7,55.044,54.9246680405119,2.54239439953807,5413274.0,1840575.0,34.0011370438307
YR2003,1168.0,56790.0,1.53192291487705,102.08065820923,-0.930000884072214,16756700000.0,1.36569983895261,265798241.877349,1887459998700.0,55.389978417259,31.0741865107219,838541098300.0,48.3943762784048,-2.89310698803745,2987984050.99318,1732724260100.0,6.72017142336034,538.16537776929,1719164260100.0,470.0,111.294708251953,34.1,64.8,55.312,55.0640727362913,2.53342165886308,5552167.0,1912799.0,34.4513989657696
YR2004,1168.0,56790.0,2.50559738999836,104.734473248759,0.393078681031669,16757000000.0,1.40604809612512,288542056.83386,1863492676700.0,57.8710938708872,28.0385993487176,835470517000.0,49.640805026636,-1.90788897317589,3191561508.69088,1683031765000.0,-0.978665332738743,560.266308533382,1664701765000.0,530.0,110.338851928711,33.4,62.9,55.608,55.2135536367192,2.56650535233,5696508.0,1988124.0,34.9007435603688
YR2005,1168.0,56790.0,2.97971035930976,107.457823129252,6.78292893028314,17532000000.0,1.45744020230587,343204365.826247,1887156882100.0,61.4542800128481,24.4297143100711,874175613600.0,51.4590483352783,5.87615776622891,3221910408.46516,1698779207700.0,-4.66629938413338,551.259850017077,1680569207700.0,550.0,109.478187561035,32.7,61.1,55.931,55.3413123942298,2.56701065239466,5844631.0,2066005.0,35.3487650305291
YR2006,1168.0,56790.0,2.75216144371014,110.510535024821,2.22897779414027,,,408057447.986017,1934746980300.0,61.6128604620733,25.0511547993418,877728630000.0,50.5916665209396,-0.508763232978126,3320907721.74508,1734927292100.0,2.65013209943473,552.50227125256,1715167292100.0,560.0,113.06999206543,32.0,59.4,56.154,55.4925712506022,2.80124284070489,6010668.0,2151522.0,35.795057579151
YR2007,1168.0,56790.0,1.65977178667302,113.777238462953,0.945673271705214,,,419788645.145138,2025139000000.0,61.7740721086659,26.2884068802458,885144000000.0,49.1843669168086,4.96375135329687,3759962853.26476,1799645000000.0,-1.1751368996605,607.587886721352,1785155000000.0,570.0,107.236228942871,31.3,57.7,56.395,55.6235480768361,2.91316321758797,6188344.0,2242607.0,36.2392154091353
YR2008,1168.0,56790.0,1.11146694137374,117.095274866703,8.69482814363902,25529000000.0,1.72218624355757,541538066.809281,2280172000000.0,62.3076674472105,23.8623598669256,997461000000.0,48.8432869805883,9.07423258687099,4578847112.70688,2042166000000.0,4.03561315398862,718.948386717473,2035416000000.0,640.0,107.988212585449,30.6,56.1,56.663,55.6972948801126,2.87454303428326,6368812.0,2336133.0,36.6808327233827
YR2009,1168.0,56790.0,0.980635149082811,120.46083838941,3.71360592035809,26032000000.0,1.63801256321406,581758082.549243,2453569000000.0,62.210419994299,20.6628801268805,1121508000000.0,50.5030682140054,3.11724269281331,4721888275.26937,2220673000000.0,5.45381096920332,720.693768151415,2211683000000.0,710.0,121.990951538086,29.9,54.5,56.94,55.7222137725507,2.83367889670304,6551865.0,2432020.0,37.1195037247939
YR2010,1168.0,56790.0,2.63493273204289,123.783599926457,1.44594517430864,28148000000.0,1.65885798813081,621561371.299815,2614958000000.0,66.7974885937104,20.3367703008535,1188874000000.0,50.6230186694827,-0.0933183400535995,4746386893.22553,2348485000000.0,5.85433399076879,704.986772286079,2336861000000.0,740.0,124.709514209282,29.3,53.0,57.24,55.6788992052093,2.72101716624637,6732590.0,2528396.0,37.5545882975638
YR2011,1168.0,56790.0,13.4388023170829,127.164441993013,3.5635147290396,27849000000.0,1.52606374846498,655679365.312356,2932048000000.0,77.732312664143,21.7641490273027,1299410000000.0,50.8512251121876,2.81959119100415,5422439152.10906,2555317000000.0,5.82325622135289,783.988944671672,2665519000000.0,800.0,122.784071157596,28.7,51.4,57.624,55.6281567746803,2.69461885935872,6916474.0,2627377.0,37.9872305648732
YR2012,1168.0,56790.0,2.24458540176674,130.55223386652,2.57718174055848,32128000000.0,1.62464311756716,628441909.578253,3032981000000.0,75.7132085684163,20.0154635557205,1441064000000.0,52.1384498382369,1.75037449118827,5413541649.14901,2763918000000.0,6.30271426865185,762.39162379069,2766969000000.0,790.0,125.758046516929,28.2,49.8,57.953,55.5980957466944,2.62923384476283,7100736.0,2728063.0,38.4194359598204
YR2013,1168.0,56790.0,3.04894540679557,133.948189005332,1.82539475909162,35778000000.0,1.67620536115859,747332012.546744,3388294000000.0,82.1477877564195,22.1985252830239,1528132000000.0,51.3808071604133,1.68329044618704,6021729629.82454,2974130000000.0,5.82425069283059,826.542799987227,2986604000000.0,830.0,126.10501578594,27.7,48.3,58.356,55.6021652495483,2.56796697750519,7285442.0,2830516.0,38.8516767884103
YR2014,1168.0,56790.0,0.844950465027458,137.386468100754,0.19087507624975,41076000000.0,1.81828886251592,772172840.451807,3555691000000.0,70.9156517502517,23.8476899946971,1529893000000.0,48.4642413421922,0.479878463169484,6393314707.85456,3156746000000.0,5.63323739145223,855.584809246574,3179537000000.0,850.0,122.304207926362,27.2,46.8,58.776,55.6405425502651,2.53448135308774,7472450.0,2935474.0,39.2839506458368
YR2015,1168.0,56790.0,4.48026975109969,140.893454679169,2.58500390801595,41388000000.0,1.67442289494562,749832930.403214,3937151000000.0,69.1281378813376,22.8664405321196,1673140000000.0,49.1710391824831,2.2027014975329,5755457836.01866,3402694000000.0,5.4680413807304,751.051987587248,3485843000000.0,840.0,125.602691931749,26.7,45.4,59.23,55.6964323825485,2.52060746648904,7663195.0,3043534.0,39.7162551272934
