Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,-0.765864332603765,1330750000.0,2.46526491293072,252197950.936499,53128000000.0,33.5598583586213,18.5164920445915,,,,2760750860.62197,58477600800.0,,102.814571454958,58328203300.0,,,57.4,113.3,50.608,52.9222679626767,,26851747.0,3175462.0,11.8259031915076
YR1961,1622.0,513120.0,,54.1218931668265,7.38699007717708,1237000000.0,2.09767678480583,267161290.200034,57037000000.0,34.4455713581831,19.1646535122982,,,3.69863251011905,3034037810.96795,63892103200.0,5.36214630168787,109.728794269464,63739002900.0,,,56.7,109.7,51.065,52.6289691948923,2.93069234462544,27650334.0,3308084.0,11.963992179219
YR1962,1622.0,513120.0,,55.7478909354264,3.69609856262894,1676750000.0,2.62854679416837,300766283.524904,64769000000.0,33.3361802438981,20.9429427190633,,,0.540499290557534,3308912796.93487,69090099200.0,7.55425444784086,116.179493337844,68933304300.0,120.0,,55.9,106.1,51.444,52.3629017760587,2.96007952695934,28481040.0,3444180.0,12.0928855757568
YR1963,1622.0,513120.0,,57.4337372037033,,1781000000.0,2.61603995299647,332405184.829573,71428000000.0,33.5093396300662,21.0270025450935,,,-1.16673681214564,3540403456.55305,73746604000.0,7.99983078698784,120.658598748696,73586597900.0,120.0,,55.1,102.6,51.988,52.1063585220011,2.97923079566546,29342322.0,3584763.0,12.2170391523602
YR1964,1622.0,513120.0,,59.1754408972577,-0.792079207921113,1814500000.0,2.43002544529262,359519230.769231,76079000000.0,36.1300406932523,21.7000284229085,,,2.67778345968976,3889129942.30769,80893902800.0,6.83099614370542,128.642226903734,80728801200.0,130.0,,54.1,99.2,52.539,51.9055390735565,2.98747192809308,30232141.0,3730782.0,12.3404505516908
YR1965,1622.0,513120.0,,60.9707314686136,0.166333998420151,1960750000.0,2.32591933570581,400673076.923077,83920000000.0,34.9162381792472,22.8853351691201,,,4.31657267302027,4388937649.03846,91289903100.0,8.18166153767717,140.899873696781,91225702400.0,140.0,,53.0,95.9,53.131,51.8203172642217,2.98873309292341,31149337.0,3883424.0,12.4671174164097
YR1966,1622.0,513120.0,,62.8042651059915,4.03520425067445,2195250000.0,2.16536792266719,446538461.538462,99859000000.0,35.5602502954225,22.5055554922633,,,8.24532872520763,5279230817.30769,109808001000.0,11.1225184946389,164.533414431069,109730996200.0,160.0,,51.9,92.6,53.729,51.8111986974036,2.96290498317245,32086071.0,4043178.0,12.6010373891785
YR1967,1622.0,513120.0,,64.6671514416019,4.30965682357132,2628000000.0,2.42681688059839,498076923.076923,111276000000.0,38.3731248017245,24.9574526766278,,,-1.66769262494486,5638461442.30769,117279998000.0,8.61598233328198,170.666971518706,117414002700.0,170.0,,50.7,89.1,54.316,51.8498946101165,2.9230380018249,33037801.0,4211067.0,12.7462081126584
YR1968,1622.0,513120.0,,66.5555403315782,1.79035960223026,3216500000.0,2.75456024663869,612307692.307692,123054000000.0,37.6202723383726,24.9057208928514,,,-0.252985512003249,6081009427.88461,126484996100.0,8.12227025554289,178.839752885801,126611996700.0,190.0,,49.4,85.7,54.977,51.9446528151902,2.87834251515722,34002560.0,4388584.0,12.9066272295109
YR1969,1622.0,513120.0,,68.456579694259,2.45039085983097,3846000000.0,2.99136657073967,675865384.615385,134439000000.0,36.1223008144778,24.9366318766508,,,3.33336993784386,6695336567.30769,139263000600.0,6.55065988587748,191.438734515692,139381997600.0,200.0,,47.9,82.2,55.705,52.107122701228,2.81628791708856,34973782.0,4576771.0,13.0862923823972
