Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,52.535,55.5289289516301,,2112131.0,705350.0,33.395180548289
YR1961,,142550.0,,,,,,,,,,,,,,,,,,,,,,52.944,54.31460518117,3.24551254290557,2181805.0,740891.0,33.95772002878
YR1962,,142550.0,,,,,,,,,,,,,,,,,,,,,,53.374,53.2495516128081,3.30089869569961,2255026.0,778377.0,34.5174483399294
YR1963,,142550.0,,,,,,,,,,,,,,,,,,,,,,53.791,52.3523675064416,3.34515517109644,2331736.0,817497.0,35.0595718686087
YR1964,,142550.0,,,,,,,,,,,,,,,,,,,,,,54.224,51.6655085586978,3.35363779231261,2411260.0,857668.0,35.5692970016891
YR1965,,142550.0,,,,,,,,,,,,,,,,,,,,,,54.655,51.2924198094022,3.3336569839065,2492998.0,898273.0,36.0318301260417
YR1966,,142550.0,,,,,,,,,,,,,,,,,,,,,,55.079,51.1129395495238,3.32113276802048,2577184.0,938929.0,36.432377628538
YR1967,,142550.0,,,,,,,,,,,,,,,,,,,,,,55.497,51.024949983672,3.31802203113047,2664130.0,979232.0,36.7561458960492
YR1968,,142550.0,,,,,,,,,,,,,,,,,,,,,,55.89,51.0148163587823,3.31216560496357,2753848.0,1018603.0,36.9883413154465
YR1969,,142550.0,,,,,,,,,,,,,,,,,,,,,,56.262,51.0646519797313,3.26598144594205,2845273.0,1055999.0,37.1141702736012
YR1970,,142550.0,,,,,,,,,,,,,,,,,,,,,,56.589,51.1386284088793,3.16543817393938,2936779.0,1089976.0,37.1146662555686
YR1971,,142550.0,,,,,,,,,,,,,,,,,,,,,,56.884,51.2284913318214,3.08653149227023,3028837.0,1120680.0,37.00035563208
YR1972,,142550.0,,,,,,,,,,,,,,,,,,,,,113.9,57.157,51.356063811039,3.08365979761596,3123691.0,1148934.0,36.7812891529044
YR1973,,142550.0,,,,,,,,,,,,,,,,,,,,,110.2,57.418,51.5366090575336,3.10769714781606,3222290.0,1175680.0,36.4858400576587
YR1974,,142550.0,,,,,,,,,,,,,,,,,,,,,106.7,57.651,51.7574154417576,3.12266991514234,3324499.0,1201418.0,36.1383146079998
YR1975,,142550.0,,,,,,,,,,,,,,,,,,,,,103.7,57.88,52.0036362836039,3.13651741443711,3430425.0,1226824.0,35.7630190655849
YR1976,,142550.0,,,,,,,,,,,,,,,,,,,,,101.1,58.076,52.2651491097931,3.14640356341965,3540076.0,1252630.0,35.384259692071
YR1977,,142550.0,,,,,,,,,,,,,,,,,,,,,99.1,58.244,52.5276841400774,3.14730924554859,3653265.0,1279605.0,35.0263427491149
YR1978,,142550.0,,,,,,,,,,,,,,,,,,,,,97.3,58.396,52.7748249439831,3.10578788624202,3768508.0,1308184.0,34.7135744983739
YR1979,,142550.0,,,,,,,,,,,,,,,,,,,,,96.4,58.523,52.9526300187164,2.98493027772227,3882691.0,1338143.0,34.4643148442609
YR1980,,142550.0,,,,,,,,,,,,,,,,,,,,,95.7,58.632,53.0540912840243,2.85791873284097,3995256.0,1368384.0,34.2502121134354
YR1981,,142550.0,,,,,,,,,,,,,,,,,,,,,95.3,58.758,53.1305989600445,2.80773867223727,4109022.0,1399390.0,34.0565161831076
YR1982,,142550.0,,,,,,,,,,,,,,,,,,,,,94.3,60.161,53.2077781106771,2.83479310015619,4227171.0,1431995.0,33.8759702187396
YR1983,,142550.0,,,,,,,,,,,,,,,,,,,,,92.8,60.46,53.2730833766867,2.8843769469939,4350874.0,1466294.0,33.7011458201198
YR1984,,142550.0,,,,,,,,,,,,,,,,,,,,,90.5,60.69,53.2986415703838,2.92521055222868,4480026.0,1501911.0,33.5246145870369
YR1985,,142550.0,,,,,,,,,42.2110552763819,15000.0,25.1256281407035,,,59700.0,,,59700.0,,,,87.6,60.973,53.365233431843,3.05500309580076,4619003.0,1539927.0,33.3389481192791
