Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,52.149,54.6636007706927,,1643457.0,765091.0,46.5537453713647
YR1961,,488100.0,,,,,,,,,,,,,,,,,,,,,,52.51,53.5431008779342,3.11167510873897,1695400.0,793077.0,46.778152704992
YR1962,,488100.0,,,,,,,,,,,,,,,,,,,,,,52.868,52.5178601697277,3.12478429912467,1749214.0,821995.0,46.9922347168608
YR1963,,488100.0,,,,,,,,,,,,,,,,,,,,,,53.228,51.628219026843,3.09906421446654,1804272.0,851479.0,47.1923818268815
YR1964,,488100.0,,,,,,,,,,,,,,,,,,,,,,53.595,51.0101898013814,3.04176884925031,1859997.0,881173.0,47.3749844549648
YR1965,,488100.0,,,,,,,,,,,,,,,,,,,,,,53.986,50.6613417971722,2.9620962430909,1915916.0,910758.0,47.536433021021
YR1966,,488100.0,,,,,,,,,,,,,,,,,,,,,,54.403,50.4000279956201,2.8719042894804,1971737.0,939989.0,47.6731179449606
YR1967,,488100.0,,,,,,,,,,,,,,,,,,,,,,54.837,50.1792810360641,2.7840783546501,2027403.0,968722.0,47.7814296466942
YR1968,,488100.0,,,,,,,,,,,,,,,,,,,,,,55.274,50.0634400492735,2.70866233374547,2083069.0,996910.0,47.8577585461322
YR1969,,488100.0,,,,,,,,,,,,,,,,,,,,,,55.69,50.091864326908,2.65073632034238,2139024.0,1024560.0,47.8984950631851
YR1970,,488100.0,,,,,,,,,,,,,,,,,,,,,,56.045,50.2356058618629,2.61129947352453,2195616.0,1051740.0,47.9018414896388
YR1971,,488100.0,,,,,,,,,,,,,,,,,,,,,,56.349,50.4869581928522,2.58528335506101,2253119.0,1078912.0,47.8852472058234
YR1972,,488100.0,,,,,,,,,,,,,,,,,,,,,,56.603,50.846402443509,2.55509021022816,2311430.0,1106063.0,47.8518948098544
YR1973,,488100.0,,,,,,,,,,,,,,,,,,,,,,56.836,51.2909232051109,2.54112630773877,2370919.0,1133402.0,47.80432732332
YR1974,,488100.0,,,,,,,,,,,,,,,,,,,,,,57.04,51.7672189150822,2.54478334963389,2432028.0,1161159.0,47.7444719279809
YR1975,,488100.0,,,,,,,,,,,,,,,,,,,,,,57.241,52.2422806820977,2.53908924655112,2494570.0,1189268.0,47.6742558055976
YR1976,,488100.0,,,,,,,,,,,,,,,,,,,,,,57.449,52.7146048997439,2.53129875026105,2558521.0,1217744.0,47.595606137931
YR1977,,488100.0,,,,,,,,,,,,,,,,,,,,,118.9,57.689,53.1785208436827,2.52506966486501,2623948.0,1246650.0,47.5104501067415
YR1978,,488100.0,,,,,,,,,,,,,,,,,,,,,114.4,58.279,53.6303718050097,2.52655189956911,2691088.0,1276133.0,47.4207148937901
YR1979,,488100.0,,,,,,,,,,,,,,,,,,,,,110.0,59.12,54.0732843215836,2.54148086543505,2760358.0,1306107.0,47.3165631269263
YR1980,,488100.0,,,,,,,,,,,,,,,,,,,,,105.5,60.181,54.4917507678652,2.5694472591136,2832203.0,1335845.0,47.1662761093119
YR1981,,488100.0,,,,,,,,,,,,,,,,,,,,,101.2,60.983,54.868176694516,2.61310929397064,2907187.0,1365190.0,46.9591547358581
YR1982,,488100.0,,,,,,,,,,,,,,,,,,,,,96.6,61.577,55.1994393007001,2.66003821088099,2985557.0,1394673.0,46.7140011497584
YR1983,,488100.0,,,,,,,,,,,,,,,,,,,,,92.0,61.988,55.4633461275409,2.70876523840782,3067534.0,1424716.0,46.4449834136351
YR1984,,488100.0,,,,,,,,,,,,,,,,,,,,,87.6,62.364,55.6258331471987,2.78225542997342,3154079.0,1456121.0,46.1662695901108
YR1985,,488100.0,,,,,,,,,,,,,,,,,,,,,83.3,62.803,55.6606421458008,2.91994033139881,3247534.0,1490359.0,45.892027741808
YR1986,,488100.0,,,,,,,,,,,,,,,,,,,,,79.3,63.212,55.5962953078111,3.04101629155997,3347809.0,1527820.0,45.6364259313491
YR1987,,488100.0,,,,,,466271763.951909,2700.0,,40.0,800.0,32.0,,2331358819.75954,2500.0,,675.221678074412,,,,,75.7,63.531,55.4749494639098,3.08594100853158,3452731.0,1568011.0,45.4136322213566
YR1988,,488100.0,,,,,,669107203.165389,2800.0,,37.037037037037,1000.0,37.037037037037,-2.72340436737647,3010982414.24425,2700.0,11.0236221751372,845.932942002334,,,,25.2,72.5,63.699,55.348577167962,3.04160841686036,3559363.0,1610178.0,45.237814674453
YR1989,,488100.0,,,,,,644354617.832239,3100.0,,35.7142857142857,1000.0,35.7142857142857,8.31275760659524,3006988216.55045,2800.0,-4.25531950689702,821.029864511916,,,,25.4,70.0,63.782,55.2645292050329,2.85531834719525,3662459.0,1652235.0,45.1127276928258
YR1990,,488100.0,,,,,,744225916.307324,3400.0,,30.0,1100.0,36.6666666666667,-20.8603561293651,3189539641.3171,3000.0,35.3845581084463,848.155047388424,3040.0,1040.0,,25.9,68.1,63.867,55.221958845513,2.6433634576391,3760562.0,1692309.0,45.0014960583936
