Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,32.402,57.3599419805028,,468118.0,47206.0,10.0841030864698
YR1961,,14870.0,,31.9630800268998,,,,,,,,,,,,,,,,,,,,32.801,57.7763330503491,1.52068471428167,475291.0,48119.0,10.1242122141763
YR1962,1500.0,14870.0,,32.46630800269,,,,,,,,,,,,,,,,,,,,33.221,58.1794568260271,1.56213872148793,482774.0,49261.0,10.2038160264297
YR1963,1500.0,14870.0,,32.9901815736382,,,,,,,,,,,,,,,,,,,,33.665,58.4786082957575,1.60071143503654,490564.0,50658.0,10.326532665448
YR1964,1500.0,14870.0,,33.5345662407532,,,,,,,,,,,,,,,,,,,,34.147,58.7493244374657,1.63667458198596,498659.0,52309.0,10.4899164469303
YR1965,1500.0,14870.0,,34.0977807666442,,,,,,,,,,,,,,,,,,,,34.653,58.7856447638178,1.66555670700936,507034.0,54210.0,10.6915216865754
YR1966,1500.0,14870.0,,34.6802958977808,,,,,,,,,,,,,,,,,,,,35.174,58.5319645682728,1.69393820926154,515696.0,56360.0,10.9289027000822
YR1967,1500.0,14870.0,,35.2823133826496,,,,,,,,,,,,,,,,,,,,35.703,58.2863732315507,1.7210116952183,524648.0,58759.0,11.1996138031497
YR1968,1500.0,14870.0,,35.9028244788164,,,,,,,,,,,,,,,,,,,,36.241,58.0591898852728,1.74341676301628,533875.0,61402.0,11.5012093114768
YR1969,1500.0,14870.0,,36.5404169468729,,,,,,,,,,,,,,,,,,,,36.802,57.8644184148315,1.7602992892316,543356.0,64286.0,11.8312435407625
YR1970,1500.0,14870.0,,37.1936112979153,,,,,,,,,,,,,,,,,,,,37.362,57.7092029121114,1.77180456449822,553069.0,67404.0,12.1872708067057
YR1971,1500.0,14870.0,,37.8591795561533,,,,,,,,,,,,,,,,,,,,37.909,57.5999637633856,1.77364678534006,562966.0,70747.0,12.5668454250053
