Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,58.315,51.1704700015113,,66170.0,12083.0,18.2605096264325
YR1961,,750.0,,94.4958333333333,,,,,,,,,,,,,,,,,,,,58.757,51.16333759572,2.78244868208665,68037.0,12725.0,18.7026643887843
YR1962,,750.0,,97.1388888888889,,,,,,,,,,,,,,,,,,,,59.298,51.1152416356877,2.75860567903952,69940.0,13357.0,19.0981651533428
YR1963,,750.0,,99.8402777777778,,,,,,,,,,,,,,,,,,,62.2,59.77,51.0370731028726,2.7429888239326,71885.0,13974.0,19.4387858129777
YR1964,,750.0,,102.609722222222,,,,,,,,,,,,,,,,,,,58.4,60.251,50.9864168871864,2.73609999019653,73879.0,14566.0,19.7163002605587
YR1965,,750.0,,105.45,,,,,,,,,,,,,,,,,,,54.6,60.72,50.9552252566695,2.73042201762263,75924.0,15126.0,19.9224823889553
YR1966,,750.0,,108.336111111111,,,,,,,,,,,,,,,,,,,51.3,61.21,50.9650331720137,2.70016274337598,78002.0,15635.0,20.0446469572151
YR1967,,750.0,,110.852777777778,,,,,,,,,,,,,,,,,,,48.0,61.692,50.8623227900042,2.29644602781961,79814.0,16044.0,20.1018300014594
YR1968,,750.0,,112.990277777778,,,,,,,,,,,,,,,,,,,44.8,62.161,50.6628560892413,1.90987830093763,81353.0,16382.0,20.137521610625
YR1969,,750.0,,115.118055555556,,,,,,,,,,,,,,,,,,,41.9,62.696,50.5299543340432,1.86563942027497,82885.0,16714.0,20.1651367218359
YR1970,,750.0,,117.223611111111,,,,,,,,,,,,,,,,,120.652389526367,,39.2,63.182,50.4534872010569,1.81251449961232,84401.0,17038.0,20.1868145517435
YR1971,,750.0,,119.3,,,,,,,,,,,,,,,,,108.220710754395,,36.8,63.607,50.4324997671603,1.75580122588817,85896.0,17355.0,20.2046943169994
YR1972,,750.0,,121.327777777778,,,,,,,,,,,,,,,,,106.705307006836,,34.7,64.061,50.4744951691927,1.68544612706912,87356.0,17664.0,20.220915234255
YR1973,,750.0,,123.340277777778,,,,,,,,,,,,,,,,,105.101402282715,,32.8,64.389,50.5802070841005,1.64512313167644,88805.0,17972.0,20.2376165201619
YR1974,,750.0,,125.948611111111,,,,,,,,,,,,,,,,,104.370338439941,,31.2,64.825,50.6244245094201,2.09269537428882,90683.0,18370.0,20.2569373913715
YR1975,,750.0,0.0,129.190277777778,,,,4223589.47506218,32154400.0,112.148083714899,8.77218416633443,,,,32506741.7201204,24831900.0,,349.470975414391,,,114.595108032227,,29.6,65.122,50.6146692826619,2.54123636849043,93017.0,18865.0,20.2810170645355
YR1976,,750.0,0.0,132.395833333333,7.10957583547553,,,5757301.72308444,31877400.0,83.5663254512018,9.229091737595,,,,30036416.9619944,24578800.0,,315.094854046623,,,112.566467285156,,28.3,65.418,50.6965643849987,2.45098335965447,95325.0,19362.0,20.3119483351671
YR1977,,750.0,0.117166717012755,134.340277777778,17.5379384484612,,,5221335.10756265,37963700.0,91.0432684031195,9.85776417892025,,,,34139387.8908849,30786900.0,,352.953092694597,,,109.980743408203,,27.0,65.625,50.99405531145,1.45797948429492,96725.0,19688.0,20.3546625608053
YR1978,,750.0,0.120286363323467,135.005555555556,9.58437912111287,,,6116287.05505322,50511500.0,96.6619398361671,11.945756178151,,,,41567471.6721987,36317500.0,,427.631287521076,,,112.197898864746,,25.9,65.854,51.4328040368502,0.493996229645997,97204.0,19850.0,20.4207815357474
YR1979,,750.0,0.0,135.477777777778,5.46001552795044,,,6664542.81243014,57431200.0,95.8812886176115,13.1491950519406,,,,44667002.0120724,39959100.0,,457.916448085709,,,112.94548034668,,24.8,66.039,51.8373665352736,0.349169537492683,97544.0,20006.0,20.5092267246345
YR1980,,750.0,0.0,135.790277777778,22.3933889164965,,,7897973.12685038,64386000.0,97.7807709576037,12.5377888953028,,,,53260077.4311091,46773000.0,,544.754241437563,,,109.889602661133,,23.9,66.186,52.2156705311984,0.230399512098399,97769.0,20157.0,20.6173751312774
