Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,2.08000000007815,,,,,,,,,,535673252.483535,918299300.0,,633.975608394336,829200000.0,,,38.2,63.0,62.505,53.8568555175583,,844943.0,148013.0,17.5175562033477
YR1961,2200.0,5130.0,,168.254191033138,1.52275769788992,,,,,,,,,-4.24012171994993,584964620.921781,1002799000.0,14.037070864503,677.713824022157,888500000.0,,,37.3,60.9,62.965,53.7675369159358,2.13123674946673,863144.0,156546.0,18.1367420359937
YR1962,2200.0,5130.0,,171.577777777778,2.98335256339286,,,,,,,,,3.04750995003815,619322810.026308,1061698900.0,2.74246314643362,703.620804079905,948100000.0,640.0,,36.6,59.0,63.429,53.6115029121404,1.95608007658676,880194.0,171653.0,19.5016914036106
YR1963,2200.0,5130.0,,174.81559454191,3.76120358491645,,,,,,,,,3.70102990592218,678239329.401676,1162698900.0,5.60459724643465,756.284906625836,1162700000.0,740.0,,35.9,57.1,63.633,53.4733043823933,1.86949943301294,896804.0,192384.0,21.4521844076988
YR1964,2200.0,5130.0,,177.965497076023,0.86379762440665,,,,,,,,,-2.47877376920123,711897520.256199,1220398800.0,7.63049977210248,779.766014894579,1220400000.0,800.0,,35.2,55.4,63.978,53.377628666222,1.7858021983154,912963.0,217620.0,23.8366384937796
YR1965,2200.0,5130.0,,180.979532163743,1.78161798448849,,,,,,,,,2.75322489296417,736573158.567104,1262700000.0,0.693850281194557,793.357738715678,1262700000.0,800.0,,34.6,53.8,64.195,53.3473893960201,1.67942480515261,928425.0,246065.0,26.5034711073742
YR1966,2200.0,5130.0,,183.808382066277,4.0943580499049,,,,,,39.4857741597485,686300000.0,55.3155476746998,-5.57303185267614,723739857.317023,1240700000.0,4.05682156067668,767.537870840813,1123400000.0,740.0,,33.9,52.4,64.316,53.3706140339249,1.55098702563312,942937.0,276291.0,29.301099694004
YR1967,2200.0,5130.0,,186.436257309942,2.13625866015493,,,,,,41.4074297795228,708100000.0,53.4657203261854,4.60952361478959,761981912.42271,1324400000.0,2.04251771480521,796.703860051473,1205100000.0,750.0,,33.4,51.1,64.471,53.4525176230477,1.41955836419143,956418.0,306799.0,32.0779416991902
YR1968,2200.0,5130.0,,188.890058479532,8.23205200691283,10175000.0,0.670378178943207,,,,43.6223510095105,781000000.0,51.4560582063551,8.92237534623523,758899950.0,1517799900.0,5.21514161490035,783.173633599792,1381100000.0,760.0,,32.8,49.9,64.626,53.6203078205914,1.30757478378314,969006.0,336075.0,34.6824145684541
YR1969,2200.0,5130.0,,191.170760233918,2.43520271601535,10525000.0,0.675372176591376,,,,41.8313655030801,839400000.0,53.8629363449692,-0.0542716259356126,779200000.0,1558400000.0,2.73068461003507,794.529655166788,1415100000.0,770.0,,32.3,48.8,64.753,53.9420070846921,1.2001916636422,980706.0,362498.0,36.9629357473171
