Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,6700000.0,2.00478755236385,,,,,,,,,,,,,,,,,44.049,52.8658310460685,,4267288.0,1598793.0,37.4662623454986
YR1961,207.0,163610.0,,27.7824279093718,,7800000.0,2.21590909090909,,,,,,,,866155428.571429,363785280.0,,200.671835449762,363264224.0,,,,,44.257,52.7516245190445,1.14149601585088,4316278.0,1633259.0,37.8395119884705
YR1962,207.0,163610.0,,28.1226570545829,,6000000.0,1.72960507350822,,,,,,,6.4895559210123,880027733.333333,369611648.0,-4.59008450551823,201.419166932165,366632544.0,,,,162.5,45.562,52.5978302577637,1.21718210758098,4369136.0,1670246.0,38.2282928288307
YR1963,207.0,163610.0,,28.495951338826,,6400000.0,1.50801131008483,,,,,,,30.7004273276761,1026737600.0,431229792.0,-10.7339947141916,231.91940785127,425971200.0,190.0,,,156.0,46.412,52.3622748005424,1.31864665679504,4427131.0,1710986.0,38.647736091681
YR1964,207.0,163610.0,,28.8997747167868,,7800000.0,1.74418604651163,,,,,,,11.367368400359,1025866792.15686,457793056.0,-4.6759498576432,228.484793689273,451331360.0,200.0,,,149.6,47.272,52.1078730684711,1.40717809245491,4489869.0,1756121.0,39.1129730021234
YR1965,207.0,163610.0,,29.3600991246138,,6700000.0,1.28771862387084,150476190.47619,496100000.0,33.4422448587354,19.2196809532962,247600000.0,47.5879300403613,16.6120629551202,991047619.047619,520300000.0,-2.5366922286227,217.269013478937,507500000.0,210.0,,51.8,143.2,48.204,51.9346097731281,1.58027800984485,4561385.0,1808094.0,39.6391347852597
YR1966,207.0,163610.0,,29.9452046858908,,7200000.0,1.31747483989021,150476190.47619,505200000.0,34.5288197621226,19.2680695333943,269500000.0,49.3138151875572,1.52790153741998,1040952380.95238,546500000.0,3.45486789269532,223.750680246593,532500000.0,220.0,,51.0,136.9,49.158,51.748817302114,1.97326211680893,4652287.0,1872564.0,40.2503942937922
YR1967,207.0,163610.0,,30.6447605561277,,8100000.0,1.42105263157895,150476190.47619,531900000.0,35.7368421052632,20.1929824561404,286300000.0,50.2280701754386,4.13144803882224,1085714285.71429,570000000.0,0.161952470326938,228.044765187406,550600000.0,220.0,,50.2,130.5,50.157,51.5726681298841,2.30925023467748,4760970.0,1955216.0,41.067590688803
YR1968,207.0,163610.0,,31.4102664778579,,9200000.0,1.44268464795358,208190476.190476,573400000.0,31.786106319586,20.2603104908264,319000000.0,50.0235220323036,1.32910787193109,1214666666.66667,637700000.0,10.4097285884098,248.91225549272,611500000.0,240.0,,49.5,124.4,51.342,51.5302418687602,2.46730939342627,4879899.0,2055734.0,42.1265640072148
YR1969,207.0,163610.0,,32.2135491761071,,8900000.0,1.31423508564678,224952380.952381,613100000.0,34.8050797401063,21.4707619610159,330800000.0,48.8481984642646,1.3807636599136,1289904761.90476,677200000.0,4.74781540363225,257.738832521682,647900000.0,260.0,,48.7,118.4,52.297,51.589336976844,2.52523485444931,5004697.0,2169381.0,43.3468901120446
