Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,5.66473988439309,2405.0,3.53157121879589,633333333.333333,50900.0,5.72687224669604,17.3274596182085,17600.0,25.8443465491924,,7566666666.66667,68100.0,,267.091207552765,,,,62.5,178.3,50.799,53.8279849467163,,28329898.0,6638986.0,23.4345579338827
YR1961,593.0,785350.0,,37.8353728414953,3.17285699708268,2718.0,3.76454293628809,744444444.444444,54400.0,11.9610570236439,17.2461752433936,20800.0,28.9290681502086,4.37340043959567,7988888888.88889,71900.0,1.15606938539699,274.350890943262,,,,61.6,174.3,51.558,53.6116552912545,2.7481341991326,29119238.0,6916243.0,23.7514562697098
YR1962,593.0,785350.0,,38.8708171459013,3.88832025146503,2980.0,3.71108343711083,877777777.777778,61000.0,13.574097135741,17.0610211706102,22600.0,28.1444582814446,5.78893779037439,8922222222.22222,80300.0,5.57142858180481,298.241020884883,,,,60.6,170.0,52.347,53.3669242232297,2.6999312672182,29916147.0,7204799.0,24.0833130624077
YR1963,593.0,785350.0,,39.9241726543924,6.36270692832311,3157.0,3.38733905579399,977777777.777778,70900.0,11.1587982832618,16.9527896995708,25900.0,27.7896995708155,6.41669448029047,10355555555.5556,93200.0,9.06630555240935,337.019856859205,,,,59.7,165.5,53.12,53.1350733386488,2.67382042142113,30726841.0,7514344.0,24.4553078110078
YR1964,593.0,785350.0,,40.9847225290074,1.11963781543112,3443.0,3.42246520874751,1100000000.0,74800.0,9.9403578528827,17.8926441351889,29600.0,29.4234592445328,2.35243651899208,11177777777.7778,100600.0,5.45905679838043,354.365541117168,,,,58.9,161.2,53.6,52.9208941202541,2.6217404628547,31543072.0,7851897.0,24.892620014542
YR1965,593.0,785350.0,,42.0269740004937,4.55553368394828,3821.0,3.55441860465116,1233333333.33333,79800.0,9.93500464252553,19.3129062209842,34100.0,31.6620241411328,4.11785566096448,11966666666.6667,107700.0,2.82352954343872,369.967082204625,,,,58.4,157.0,54.105,52.7623370624779,2.51122742236873,32345220.0,8221942.0,25.4193410011757
YR1966,593.0,785350.0,,43.1086002364773,8.47199621539225,3996.0,3.14398111723053,1400000000.0,95000.0,9.77147360126084,19.6217494089835,38400.0,30.2600472813239,5.94759067350772,14100000000.0,126900.0,11.2128150353513,424.984610131778,,,,58.1,153.3,54.57,52.6451177767988,2.54108684098155,33177672.0,8658611.0,26.0977040991082
YR1967,593.0,785350.0,,44.2425853981783,13.9748929481675,4596.0,3.25957446808511,1588888888.88889,104300.0,9.09090909090909,20.4545454545455,45200.0,32.1022727272727,5.93989052660015,15644444444.4444,140800.0,4.73251024393737,459.449369053159,140200.0,450.0,,57.9,150.0,55.183,52.5598559771132,2.59652771372896,34050421.0,9193756.0,27.0004184794099
YR1968,593.0,785350.0,,45.3746397619635,6.04623966197407,5159.0,3.27555555555556,1744444444.44444,117300.0,8.76190476190476,21.4603174603175,53600.0,34.031746031746,4.76015624386716,17500000000.0,157500.0,6.77799601038105,501.12130904111,156700.0,490.0,,57.9,147.0,55.639,52.5291950411097,2.52655576323865,34921684.0,9796064.0,28.0515225120533
YR1969,593.0,785350.0,,46.4999727141614,4.92419394498296,5395.0,3.07933789954338,1911111111.11111,130300.0,8.33333333333333,22.0890410958904,60300.0,34.4178082191781,6.87631710287739,19466666666.6667,175200.0,4.08114562089492,543.947401329478,174300.0,540.0,,57.7,144.0,56.179,52.5566929644744,2.44983723776896,35787774.0,10437473.0,29.1649120669196
