Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,136.1,48.261,55.0147360900241,,5598.0,692.0,12.3672050953079
YR1961,,30.0,,188.266666666667,,,,,,,,,,,,,,,,,,,131.1,49.02,53.8597733711048,0.889210909767912,5648.0,703.0,12.4397945289436
YR1962,,30.0,,189.966666666667,,,,,,,,,,,,,,,,,,,126.0,49.779,52.8906044389859,0.898922066192162,5699.0,714.0,12.523559249064
YR1963,,30.0,,191.7,,,,,,,,,,,,,,,,,,,121.1,50.58,52.1213701964876,0.908303187875469,5751.0,726.0,12.6199998855591
YR1964,,30.0,,191.733333333333,,,,,,,,,,,,,,,,,,,116.1,51.336,51.8689151599444,0.0173867687128334,5752.0,737.0,12.8146804115463
YR1965,,30.0,,190.5,,,,,,,,,,,,,,,,,,,111.3,52.086,52.0251946461377,-0.645332317197163,5715.0,751.0,13.1435725496824
YR1966,,30.0,,189.533333333333,,,,,,,,,,,,,,,,,,,106.5,52.809,51.9567320376396,-0.508728401796596,5686.0,770.0,13.5337885541671
YR1967,,30.0,,188.4,,,,,,,,,,,,,,,,,,,101.8,53.481,51.6939407341884,-0.599754840652707,5652.0,786.0,13.9124406791997
YR1968,,30.0,,187.466666666667,,,,,,,,,,,,,,,,,,,97.3,54.072,51.4803947719392,-0.496631031391719,5624.0,799.0,14.200073333423
YR1969,,30.0,,187.7,,,,,,,,,,,,,,,,,,,92.8,54.73,51.7581246670218,0.124389176411777,5631.0,809.0,14.3645562423919
YR1970,,30.0,,188.766666666667,,,,,,,,,,,2585955.87411804,2309000.0,,456.640627603398,4535000.0,,,,88.2,55.347,52.4810171287304,0.566674085918647,5663.0,819.0,14.4557175693715
YR1971,,30.0,,189.5,,,,,,,,,,6.75785274097022,2716989.58449994,2426000.0,-1.58370000000018,477.922530255047,4766000.0,,,,83.8,55.971,53.2365875109938,0.387734007083144,5685.0,826.0,14.5233430477236
YR1972,,30.0,,189.733333333333,,,,,,,,,,6.8233689677481,2968457.94392523,2541000.0,-1.94999999999985,521.514044962269,4990000.0,1000.0,,,79.5,54.694,54.1414141414141,0.123055302510661,5692.0,831.0,14.6014248668317
YR1973,,30.0,,189.366666666667,,,,,,,,,,6.86427415936058,3411915.43882127,2663000.0,-1.93050000000022,600.583601271126,5230000.0,1160.0,,,75.1,57.197,55.25829446449,-0.193440665261612,5681.0,836.0,14.7099754191787
YR1974,,30.0,,194.066666666667,,,,,,,,,,6.82454151971406,4122328.66617539,2797000.0,-1.67810000000009,708.060574746717,5494000.0,1370.0,,,70.9,57.693,56.0889728615596,2.45165717484417,5822.0,887.0,15.2373670909438
YR1975,,30.0,,203.9,,,,,,,,,,6.72036293257764,4014748.0540762,2940000.0,-1.50650000000014,656.326312583979,5775000.0,1440.0,,,67.0,58.253,56.6582195700155,4.94279349369963,6117.0,1060.0,17.3312236320652
YR1976,,30.0,,213.466666666667,,,,,,,,,,6.64959504747395,3919072.22992563,3109000.0,-0.84509999999986,611.972553080204,6106000.0,1350.0,,,63.5,58.773,57.5845108907799,4.58510148740404,6404.0,1312.0,20.486386829731
YR1977,,30.0,,222.866666666667,,,,,,,,,,6.89427062130437,3669419.59164946,3199000.0,-3.74149999999992,548.821356812662,6284000.0,1180.0,,,60.4,59.201,58.8362874878468,4.30929928634386,6686.0,1603.0,23.9722152897033
YR1978,,30.0,,231.9,,,,,,,,,,7.24822462274497,3798781.86329799,3368000.0,-1.8324999999999,546.037352781083,6615000.0,1140.0,,,57.6,59.571,60.3305785123967,3.97325589435973,6957.0,1882.0,27.0580676177443
YR1979,,30.0,,239.466666666667,,,,,,,,,,6.68818432108691,4065659.43428377,3579000.0,-0.396800000000113,565.932549315669,7029000.0,1180.0,,,55.2,59.879,61.4254889677734,3.21079840583942,7184.0,2086.0,29.0328901421436
YR1980,,30.0,,245.533333333333,,,,,,,,,,6.15525289535326,4206128.13370474,3775000.0,-0.639500000000027,571.0192959143,7414000.0,1240.0,,,53.1,60.217,61.9196307358132,2.50184870229751,7366.0,2222.0,30.1641743175636
YR1981,,30.0,,250.866666666667,,,,,,,,,,6.1406859937596,4773017.53163822,4111000.0,2.60030000000026,634.203764501491,8073000.0,1290.0,,,51.3,60.489,62.4501727345203,2.1488874148372,7526.0,2339.0,31.0836447125111
YR1982,,30.0,,255.466666666667,,,,,,,,,,8.11308950866379,4118945.16164625,3733000.0,-16.0091,537.440652615639,7333000.0,1050.0,,,49.7,60.746,63.0129836236706,1.8170348497314,7664.0,2442.0,31.8638276302423
YR1983,,30.0,,259.633333333333,,,,,,,,,,9.07121236790775,4152550.30416472,4437000.0,8.97359999999938,533.130094256608,8715000.0,1080.0,,,48.5,60.938,63.4998074207215,1.61784412692521,7789.0,2538.0,32.5904819149745
YR1984,,30.0,,263.4,,,,,,,,,,3.79517068985787,4481977.90255389,4949000.0,7.46100000000006,567.195381239419,9721000.0,1120.0,109.684440612793,,47.6,61.052,63.8319412806884,1.44034100513874,7902.0,2635.0,33.3493664109249
YR1985,,30.0,,268.2,,,,,,,,,,3.6601992108485,3862851.88310194,5036000.0,-1.83509999999991,480.095933768573,9890000.0,1020.0,,,46.8,61.137,63.5493692909961,1.80591815383975,8046.0,2754.0,34.225298207819
YR1986,,30.0,,273.9,,,,,,,,,,5.93828160766053,4574706.2115277,6540000.0,22.5855000000002,556.736790985481,12842000.0,1210.0,101.296112060547,,46.3,61.207,62.7989047763918,2.10301054214544,8217.0,2896.0,35.2487793159531
YR1987,,30.0,,279.033333333333,,,,,,,,,,3.34257788334318,5020513.49920593,7587000.0,12.2568999999999,599.750746530394,14905000.0,1320.0,99.4439315795898,,46.0,61.286,62.059491100227,1.85681727288685,8371.0,3044.0,36.3596013111253
YR1988,,30.0,,283.933333333333,,,,,,,,,,6.45370516777346,7011059.37136204,9635999.99999999,19.307,823.087505442832,18934000.0,1660.0,,,45.6,61.367,61.3172106128199,1.74082198231025,8518.0,3195.0,37.5029466536348
YR1989,,30.0,,288.733333333333,,,,,,,,,,9.89266872902579,8454523.24729257,10383000.0,-1.94779999999992,976.047477175313,20394000.0,1720.0,,29.0,45.4,61.506,60.5945165945166,1.67640712914131,8662.0,3346.0,38.6232229309105
YR1990,,30.0,,293.266666666667,,,,,,,13.4478527607362,,,2.04941878460987,9542900.90136505,12225000.0,15.376,1084.66707221699,23985000.0,2130.0,94.3609008789062,28.8,45.0,61.643,59.9454421459423,1.55787801340932,8798.0,3490.0,39.6648377303813
