Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,37421988.5971639,38235000.0,49.1458307520753,12.8160079296246,13601600.0,33.7048692850948,,423145605.043164,40355000.0,,55.3784976132181,40238300.0,,,,124.6,45.633,51.6074392619893,,7640973.0,333371.0,4.36294237727081
YR1961,1180.0,241550.0,,39.3484660427406,,10000.0,0.0221238938053097,37421988.5971639,41031600.0,46.0620967014392,12.8286334262394,14210800.0,33.7377200188028,,441667334.611947,42121400.0,,56.1759278091596,42016700.0,,,,122.7,46.271,51.2854867326536,2.85436766477907,7862217.0,357466.0,4.54663698009989
YR1962,1180.0,241550.0,,40.4996296481658,,52000.0,0.113289760348584,42542097.6032988,41758400.0,45.5551197829853,12.1167341335985,14913500.0,34.8155047880511,,449158233.391351,42835800.0,,55.5048704604887,42416500.0,,,,120.7,46.821,51.0537885040603,2.88358378727794,8092231.0,384619.0,4.75294584462255
YR1963,1180.0,241550.0,,41.7079375406636,,195000.0,0.369318181818182,44905547.4701488,47069600.0,52.1714848549466,13.3918217727277,16135400.0,32.7685543404312,,516315231.449087,49240500.0,,61.9553768191835,48876100.0,,,,119.1,47.378,50.9332301374096,2.93986298067628,8333663.0,414436.0,4.97303079325591
YR1964,1180.0,241550.0,,42.9726390070567,,392000.0,0.651162790697674,50815220.6953334,52345600.0,52.9939853370347,12.0795074382518,17685100.0,31.4703893515553,,589247687.30035,56196000.0,,68.6259930194368,55918900.0,,,,117.5,47.846,50.9414288680784,2.98721516182428,8586363.0,446324.0,5.19805364841709
YR1965,1180.0,241550.0,,44.28808868425,,767000.0,1.13293943870015,87218255.6348873,62410000.0,49.9366888255777,12.6622348844571,20300000.0,32.1304210193099,,884502309.953801,63180000.0,,99.9527652325075,61840000.0,,,59.8,115.9,48.303,51.0022286186548,3.01521514314754,8849203.0,479554.0,5.4191762325232
YR1966,1180.0,241550.0,,45.6576948100696,,1019000.0,1.43723554301834,93238135.2372953,65940000.0,50.89258698941,11.679273827534,21720000.0,32.8593040847201,,925381492.370153,66100000.0,,101.435414620908,64860000.0,,,59.0,114.3,48.463,51.0395830169351,3.04563914079287,9122864.0,513395.0,5.62756036799135
YR1967,1180.0,241550.0,,47.0893548871428,,1203000.0,1.62348178137652,103317933.641327,68460000.0,49.6888116948907,11.5212042263714,22680000.0,32.8267477203647,,967240655.186896,69090000.0,,102.80034732844,67740000.0,,,57.8,112.7,49.006,51.0564944012989,3.08748107440163,9408924.0,547069.0,5.81436787723867
YR1968,1180.0,241550.0,,48.5893198538612,,1424500.0,1.79408060453401,111577768.444631,73120000.0,46.5587044534413,12.3751686909582,24170000.0,32.6180836707153,,1037379252.41495,74100000.0,,106.851228104531,72900000.0,,,56.6,111.3,49.285,51.0524679969089,3.13567860737741,9708632.0,579679.0,5.97076058268227
YR1969,1180.0,241550.0,,50.12190581052,,1633000.0,1.82458100558659,124597508.049839,82480000.0,41.8713310171319,12.8069965256979,26230000.0,31.4244638792381,,1168556628.86742,83470000.0,,116.682296330854,82212800.0,,,55.4,110.1,49.505,51.0139260593573,3.10544035923079,10014858.0,609630.0,6.08725585433707
