Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,69.388,66.0473182701149,,42824093.0,20283132.0,47.3638340592036
YR1961,,603560.0,,,,,,,,,,,,,,,,,,,,,,70.044,65.5596119393868,1.33531846186007,43399766.0,20934449.0,48.2363186434617
YR1962,,603560.0,,,,,,,,,,,,,,,,,,,,,,70.401,65.3734858400779,1.2454628093369,43943674.0,21434658.0,48.777573697208
YR1963,,603560.0,,,,,,,,,,,,,,,,,,,,,,70.683,65.2988737836696,1.17345809598308,44462372.0,21964951.0,49.4012129165921
YR1964,,603560.0,,,,,,,,,,,,,,,,,,,,,,70.972,65.4343016228548,1.0933219610835,44951156.0,22530930.0,50.123138326419
YR1965,,603560.0,,,,,,,,,,,,,,477000.0,,,477000.0,,,,,71.143,65.5494994017215,0.964686284119638,45386892.0,23093239.0,50.8808560985935
YR1966,,603560.0,,,,,,,,,,,,,,501000.0,,,,,,,,71.163,65.6261307374819,0.911574871570864,45802519.0,23663486.0,51.6641592679496
YR1967,,603560.0,,,,,,,,,,,,,,533000.0,,,,,,,,71.115,65.7546319874697,0.89867092208984,46215988.0,24232291.0,52.4327005277659
YR1968,,603560.0,,,,,,,,,,,,,,583000.0,,,,,,,,70.968,65.7848132973628,0.858209849772858,46614325.0,24833732.0,53.2748925729774
YR1969,,603560.0,,,,,,,,,,,,,,637000.0,,,,,,,,70.828,65.8636684456079,0.773438524216021,46976256.0,25415689.0,54.1032655841974
YR1970,,603560.0,,,,,,,,,,,,,,687000.0,,,,,,,,70.844,66.0479226499573,0.604962317155543,47261306.0,25923190.0,54.8507705018545
YR1971,,603560.0,,,,,,,,,,,,,,719000.0,,,,,98.5760498046875,,29.4,70.872,66.1886431539969,0.65795004881002,47573287.0,26504969.0,55.7139738427189
YR1972,,603560.0,,,,,,,,,,,,,,752000.0,,,,,98.4228591918945,,28.5,70.966,66.2718134833054,0.782259633872424,47946893.0,27144222.0,56.6130998487527
YR1973,,603560.0,,,,,,,,,,,,,,809000.0,,,,,99.8674011230469,,27.8,70.822,66.4028961047615,0.68637605671355,48277121.0,27700303.0,57.3777033266624
YR1974,,603560.0,,,,,,,,,,,,,,837000.0,,,,,101.203338623047,,27.1,70.627,66.5359215358351,0.618355276004561,48576570.0,28212694.0,58.0788108100062
YR1975,,603560.0,,,,,,,,,,,,,,867000.0,,,,,,,26.5,70.361,66.6378980849553,0.59247642666202,48865229.0,28748833.0,58.8329024703984
YR1976,,603560.0,,,,,,,,,,,,,,921000.0,,,,,99.7814865112305,,26.1,70.144,66.702841399816,0.521734522511783,49120842.0,29259455.0,59.5662723976872
YR1977,,603560.0,,,,,,,,,,,,,,966000.0,,,,,98.8980407714844,,25.7,70.007,66.6969316275314,0.438036172888639,49336481.0,29724262.0,60.2480379350808
YR1978,,603560.0,,,,,,,,,,,,,,1010000.0,,,,,99.1678466796875,,25.3,69.839,66.7217221635398,0.373794191595451,49521243.0,30196666.0,60.9771965114583
YR1979,,603560.0,,,,,,,,,,,,,,1029000.0,,,,,100.456817626953,,24.8,69.775,66.7138006484575,0.403331276919612,49721381.0,30637004.0,61.617362590408
YR1980,,603560.0,,,,,,,,,,,,,,1057000.0,,,,,100.697067260742,,24.3,69.759,66.7046514041235,0.469060111899921,49955152.0,31063090.0,62.1819551984878
YR1981,,603560.0,,,,,,,,,,,,,,1092000.0,,,,,101.988586425781,,23.7,69.816,66.8651851491439,0.467583508255192,50189281.0,31483172.0,62.7288754958342
YR1982,,603560.0,,,,,,,,,,,,,,1153000.0,,,,,102.083992004395,,23.0,69.902,67.0843005140387,0.424374323448127,50402724.0,31877928.0,63.246437978475
YR1983,,603560.0,,,,,,,,,,,,,,1212000.0,,,,,102.576461791992,,22.2,69.948,67.1067336206995,0.463788584263996,50637029.0,32310428.0,63.8079066911057
YR1984,,603560.0,,,,,,,,,,,,,,1265000.0,,,,,103.126373291016,14.1,21.4,69.992,66.9950692014859,0.49361522166582,50887599.0,32785425.0,64.4271407589836
YR1985,,603560.0,,,,,,,,,,,,,,1283000.0,,,,,104.385231018066,13.5,20.7,70.409,66.9728114473034,0.433684745489531,51108770.0,33228298.0,65.014866177673
YR1986,,603560.0,,,,,,,,,,,,,,1306000.0,,,,,106.140121459961,13.0,19.9,70.833,66.9345970275131,0.409997829463664,51318745.0,33636402.0,65.5440858114821
YR1987,,603560.0,,,,,,,,,45.1210564930301,408000.0,29.93396918562,,64087694038.2333,1363000.0,,1244.04125976563,,,,12.5,19.3,71.179,66.820348521687,0.383115170495451,51515732.0,34041822.0,66.0804397048418
YR1988,,603560.0,,,,,,,,,45.6399437412096,427000.0,30.028129395218,1.71812831864311,74703517902.6642,1422000.0,2.56646326960379,1444.248046875,,,114.34903717041,12.2,18.8,71.04,66.6664401475782,0.405114492529911,51724853.0,34463348.0,66.628218774505
YR1989,,603560.0,,,,,,14342940773.4318,,64.2153986570181,46.9587326422844,427200.0,27.8505769606884,3.84709320994432,82709161099.1244,1533900.0,3.87310321162344,1593.07861328125,1558900.0,1620.0,,11.9,18.5,70.839,66.4847169278639,0.37236443824199,51917817.0,34829761.0,67.0863353465162
YR1990,,603560.0,,,,,,13451869535.8501,,56.4071856287425,42.6407185628743,477000.0,28.562874251497,16.2490856973604,81393558423.4406,1670000.0,-6.34523512831163,1563.63415527344,1708000.0,1600.0,113.826858520508,11.8,18.3,70.354,66.3389895808865,0.262138262818918,52054092.0,35090284.0,67.4111923982858
YR1991,,603560.0,,,,,,13478171372.861,2929000.0,50.133779264214,54.6254180602007,864700.0,28.9197324414716,96.1028654623425,77350733982.4458,2990000.0,-8.6999999997216,1482.6396484375,3052000.0,1510.0,117.975898742676,11.8,18.4,69.688,66.2319251339066,0.224262872730958,52170961.0,35315193.0,67.6912828510751
YR1992,565.0,603560.0,0.270467973646631,90.3144403210494,,,,12983508690.3794,49325000.0,45.9686071925293,52.1492151798132,14813600.0,29.4329425789787,1768.23262154427,73945908383.7046,50330000.0,-9.90000000204168,1413.24011230469,50283000.0,1410.0,114.377723693848,11.8,18.6,68.947,66.1318140897627,0.292283164777446,52323671.0,35507022.0,67.8603420916046
