Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,38.5040374002647,,,102810143.934202,15200.0,32.4137931034483,,,,,1242289239.20493,14500.0,,491.031760304596,14400.0,,,,56.7,67.683,64.2320078499342,,2529957.0,2028191.0,80.1670244099661
YR1961,,176220.0,,14.6385784481774,22.747263986796,,,158255670.828205,17700.0,28.9772727272727,,,,18.4268832404697,1547388781.43133,17600.0,2.49303791805684,603.966513233705,17500.0,,,,55.5,67.81,64.1434604277951,1.2603070862254,2562044.0,2059121.0,80.3702589650769
YR1962,1300.0,176220.0,,14.8171523254485,10.9074243811899,,,229175848.391362,20000.0,25.7731958762887,,,,11.9906197425643,1710004407.22785,19400.0,-1.57454885002421,659.393716891716,19400.0,580.0,,,54.3,67.911,64.0449851974176,1.21250473408929,2593298.0,2089461.0,80.5715686549049
YR1963,1300.0,176220.0,,14.9912352873957,21.2546957175585,,,198242252.031983,23200.0,24.0343347639485,,,,19.8987148062058,1539681490.78174,23300.0,0.170458855734793,586.821191669431,23100.0,610.0,,,53.2,68.023,63.9195149262549,1.16802655253739,2623766.0,2119252.0,80.7713782371621
YR1964,1300.0,176220.0,,15.1592960804479,42.3694157015186,,,265392781.316348,33200.0,23.2835820895522,,,,40.3515161198777,1975701816.46615,33500.0,2.44052077893583,744.654270146069,33200.0,670.0,,,52.4,68.112,63.7716695113657,1.11482302975285,2653180.0,2148148.0,80.9650459418909
YR1965,1300.0,176220.0,,15.3192149468632,56.5565565566607,,,261745544.298712,51000.0,29.8724954462659,,,,62.1847863137506,1890767155.52622,54900.0,1.04560405431261,705.202527526694,54300.0,680.0,,,52.0,68.2,63.6367264359825,1.04939728740425,2681169.0,2175665.0,81.1461259437573
YR1966,1300.0,176220.0,,15.4704948005942,73.4626932061085,,,239369104.685325,92000.0,28.6153846153846,,,,72.3177829725742,1809185093.55188,97500.0,3.06285593493642,668.17637665776,96300.0,730.0,,,51.7,68.302,63.5207046121806,0.982672927588653,2707646.0,2201784.0,81.3172789268926
YR1967,1300.0,176220.0,,15.6112272883099,89.2752972850379,,,225794926.759557,165400.0,27.7877161598092,,,,78.5284907508745,1597713469.09611,167700.0,-3.65683411281653,584.75530449369,164700.0,640.0,,,51.3,68.407,63.4246271516395,0.905570476769081,2732277.0,2226320.0,81.4822375192465
YR1968,1300.0,176220.0,,15.7388069934865,125.336991126492,,,210045826.219786,358400.0,27.3883626522327,,,,116.249173598281,1593674184.56285,369500.0,1.88891174472745,578.548868536136,363800.0,620.0,,,50.7,68.514,63.3516916756879,0.813909218217912,2754606.0,2248991.0,81.6447343487683
YR1969,1300.0,176220.0,,15.8494686321563,20.9666666659998,,,301612903.225806,490700.0,25.5280627640314,,,,27.0802271887489,2004435483.87097,497100.0,5.8647406331108,722.586254907569,491500.0,670.0,,,49.8,68.581,63.2990185378483,0.700652942836779,2773974.0,2269347.0,81.8085020434079
