Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.45797598627791,47346552670.2126,8.99312458715278,,,,,,,,541988586206.897,541988586206.897,,2999.86487154495,542390475099.326,,,,25.9,69.7707317073171,59.9034098295236,,180671000.0,126433396.0,69.9799062047416
YR1961,715.0,9629090.0,,20.0558797068663,1.07072414764724,49879770605.0578,9.15603150017123,,,,,,,1.35015389642155,561940310344.828,561940310344.828,2.29999999999977,3059.16082086127,562640778342.419,,,,25.5,70.2707317073171,59.6628899470724,1.65773003738953,183691000.0,129402204.0,70.4455872729358
YR1962,715.0,9629090.0,,20.3667228593639,1.19877334820186,54650942605.0773,9.33167294545842,,,,,,,1.24463471200136,603639413793.103,603639413793.103,6.10000000000011,3236.01311150062,604729643906.495,3260.0,,,25.0,70.119512195122,59.6983753143288,1.53799735825387,186538000.0,132299340.0,70.9235327611362
YR1963,715.0,9629090.0,,20.6619528854804,1.23966942148753,54561215775.4246,8.83189118618018,,,,,,,1.0883860113685,637058551724.138,637058551724.138,4.39999999999982,3366.36978960346,638380883119.283,3390.0,,,24.4,69.9170731707317,59.8151392170208,1.43916476170683,189242000.0,135114579.0,71.3977756159267
YR1964,715.0,9629090.0,,20.9509594975849,1.27891156462591,53432327058.1665,8.0512811057284,,,,,,,1.50393967901161,684144620689.655,684144620689.655,5.8000000000003,3565.31443016356,685631590686.501,3580.0,,,23.9,70.1658536585366,59.9241234748453,1.38904605518369,191889000.0,137881740.0,71.8549474048995
YR1965,715.0,9629090.0,,21.2145265401312,1.58516926383662,54561791263.2266,7.58724717722602,,,,,,,1.91982581124741,741904862068.965,741904862068.965,6.39999999999981,3818.28825117968,743503780837.106,3850.0,,,23.3,70.2146341463415,60.0380488954943,1.25017164562845,194303000.0,140445472.0,72.281679695647
YR1966,715.0,9629090.0,,21.4609518984688,3.0150753768844,66442751527.3178,8.43530028594507,,,,,,,2.89877853468343,813032758620.69,813032758620.69,6.50000000000021,4136.30829579106,814082043610.829,4160.0,,,22.7,70.2121951219512,60.2414977023274,1.1548931907552,196560000.0,142829546.0,72.6646040557613
YR1967,715.0,9629090.0,,21.6959130731,2.77278562259309,78398442240.5239,9.41779593255137,,,,,,,3.15127936555442,859620034482.759,859620034482.759,2.49999999999999,4325.95935063186,860737154023.838,4340.0,,,22.1,70.5609756097561,60.5629758835245,1.08888120728762,198712000.0,145040588.0,72.9903520528347
YR1968,715.0,9629090.0,,21.9136233808205,4.27179615288537,84329031218.2481,9.26845427468793,,,,,,,4.36718824053666,940225000000.0,940225000000.0,4.7999999999997,4684.58840293763,941639100803.844,4710.0,,15.9,21.4,69.9512195121951,60.9459657927584,0.998461043585335,200706000.0,147008224.0,73.2455552544594
YR1969,715.0,9629090.0,,22.1288224863958,5.46238620028745,84990165430.7737,8.63326379509104,,,,,,,4.95848844957479,1017438172413.79,1017438172413.79,3.09999999999999,5019.99818634473,1018471133696.76,5030.0,,15.5,20.7,70.5073170731708,61.3505976916979,0.977242811872469,202677000.0,148799059.0,73.4168452282277
