Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,56.539,54.4860775998954,,8209109.0,2818220.0,34.3303985595703
YR1961,,447400.0,,,,,,,,,,,,,,,,,,,,,,56.874,53.1427516148411,3.69032513859326,8517711.0,2974017.0,34.9156837463379
YR1962,,447400.0,,,,,,,,,,,,,,,,,,,,,,57.218,51.9221360575933,3.87632538082316,8854368.0,3111663.0,35.1426849365234
YR1963,,447400.0,,,,,,,,,,,,,,,,,,,,,,57.564,50.8726157248667,3.85366881132595,9202246.0,3245610.0,35.2697563171387
YR1964,,447400.0,,,,,,,,,,,,,,,,,,,,,,57.922,50.0521940053848,3.7890215741971,9557611.0,3379092.0,35.3549880981445
YR1965,,447400.0,,,,,,,,,,,,,,,,,,,,,,58.277,49.5843043129486,3.73845621491939,9921681.0,3524523.0,35.5234489440918
YR1966,,447400.0,,,,,,,,,,,,,,,,,,,,,,58.633,49.4023545250043,3.63815746049439,10289294.0,3672732.0,35.6946983337402
YR1967,,447400.0,,,,,,,,,,,,,,,,,,,,,,58.993,49.3383637390493,3.53175555111433,10659180.0,3840010.0,36.0253791809082
YR1968,,447400.0,,,,,,,,,,,,,,,,,,,,,,59.355,49.4115791520333,3.43926977265143,11032155.0,4018716.0,36.4272994995117
YR1969,,447400.0,,,,,,,,,,,,,,,,,,,,,,59.715,49.5842464582155,3.30754425931884,11403150.0,4170342.0,36.5718383789062
