Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,13066634.0000817,22400000.0,,154.839953548866,22400000.0,,,,,58.566,47.0869500814694,,84388.0,33848.0,40.1104987781808
YR1961,1583.0,390.0,,220.179487179487,,,,,,,,,,2.50228803457063,13999965.0000875,24000000.0,4.52728343656233,163.036741587138,24000000.0,,,,,59.272,47.2682384315735,1.74093132858166,85870.0,34718.0,40.4304266211501
YR1962,1583.0,390.0,,223.682051282051,,,,,,,,,,0.0537524862939591,14524963.6875908,24900000.0,3.69426175616188,166.501945155564,24900000.0,170.0,,,,59.924,47.5245311568618,1.57825650705864,87236.0,35573.0,40.777540782538
YR1963,1583.0,390.0,,226.982051282051,,,,,,,,,,0.685817461134874,13708299.0625857,23500000.0,-6.26533863461877,154.855789598022,23500000.0,160.0,,,,60.521,47.8884138110219,1.4645315499776,88523.0,36417.0,41.1383381838653
YR1964,1583.0,390.0,,230.125641025641,,,,,,,,,,3.84861522686431,14758296.4375922,25300000.0,3.66972562214288,164.439675512733,25300000.0,160.0,,,,61.071,48.2743636454799,1.37544799902781,89749.0,37246.0,41.5004544199788
YR1965,1583.0,390.0,,233.146153846154,,,,,,,,,,1.47356632926071,15108295.5625944,25900000.0,0.884935067524722,166.1585179605,25900000.0,170.0,,,,61.61,48.5579011619275,1.30401015367808,90927.0,38054.0,41.8515250857251
YR1966,1583.0,390.0,,236.030769230769,,,,,,,,,,6.56370656370655,16099959.7501006,27600000.0,0.0,174.900705580548,27600000.0,170.0,,,,62.102,48.7585753627046,1.22966479833449,92052.0,38827.0,42.1791857759507
YR1967,1583.0,390.0,,238.779487179487,,,,,,,,,,11.7276936810307,15835106.0327781,27900000.0,-9.5238134868062,170.043233030992,27900000.0,160.0,,,,62.541,48.9164984321979,1.15783036218749,93124.0,39551.0,42.4710720855023
YR1968,1583.0,390.0,,241.341025641026,,,,,,,,,,3.31062441847774,15350000.0,30700000.0,6.50970596033511,163.084474570509,30700000.0,180.0,,,,63.064,49.056283035406,1.06704991673004,94123.0,40204.0,42.7148196092265
YR1969,1583.0,390.0,,243.738461538462,,,,,,,,,,5.45223060439693,16650000.0,33300000.0,2.86084490854772,175.156220412801,33300000.0,180.0,,,42.8,63.529,49.1781376731171,0.988479406662574,95058.0,40778.0,42.89806394197
YR1970,1583.0,390.0,,246.061538461538,,,,,,,,,,0.0586217598504248,18450000.0,36900000.0,10.7458896213528,192.259597349006,36900000.0,200.0,,21.6,46.1,64.029,49.2757700804468,0.948588951679242,95964.0,41276.0,43.0117850008828
YR1971,1583.0,390.0,,248.389743589744,,,,,,,,,,4.22366213299097,20051922.3261445,39600000.0,2.96805060811765,206.99399543877,39600000.0,210.0,134.706253051758,22.0,49.6,64.432,49.3424312494839,0.941739831431205,96872.0,41743.0,43.0909602079458
YR1972,1583.0,390.0,,250.74358974359,,,,,,,,,,6.36318869096195,27585804.8653032,53000000.0,25.8314887749849,282.092288222755,53000000.0,280.0,163.335693359375,22.2,52.9,64.752,49.3869516310461,0.943180287211848,97790.0,42207.0,43.1610275921808
YR1973,1583.0,390.0,,253.053846153846,,,,,,,,,,25.4343176890309,30165081.0858817,59100000.0,-11.1013349323496,305.651792826921,59100000.0,290.0,,22.2,55.9,65.095,49.4368758897766,0.917143454727561,98691.0,42656.0,43.2220807283678
YR1974,1583.0,390.0,,255.271794871795,,,,,,,,,,25.447625441696,32923702.7281866,67600000.0,-8.82059161778473,330.705359076164,67600000.0,330.0,102.396369934082,22.3,57.8,65.422,49.5070638280775,0.87265430430011,99556.0,43084.0,43.2756516606367
YR1975,1583.0,390.0,,257.402564102564,6.79770679739963,,,,,,,,,15.4691434997764,33237225.9880652,72118000.0,-7.60870937535856,331.090937950783,72118000.0,350.0,98.180778503418,22.4,58.3,65.873,49.6189745684202,0.831241688792796,100387.0,43491.0,43.3232724331173
YR1976,1583.0,390.0,,259.479487179487,11.2889826175874,,,,,,,,,7.71460405407976,32792844.6829448,85742500.0,10.3768202054377,324.049573435426,85742500.0,380.0,103.602920532227,22.7,56.9,66.466,49.7690137504756,0.803639534280188,101197.0,43886.0,43.3664750899392
YR1977,1583.0,390.0,,261.535897435897,10.1869132045143,,,,,,14.2207444744975,84476966.0,63.3956650621589,37.253476807716,49353161.8518519,133253537.0,13.2294111793488,483.859271677682,133253500.0,440.0,,22.9,54.1,66.883,49.9279404700046,0.789389716945332,101999.0,44274.0,43.4067916752321
YR1978,1583.0,390.0,-0.821763296706897,263.525641025641,8.42952810284595,,,,,,15.2227347110132,98890402.0,60.1959279705113,12.3039547469434,60844771.4814815,164280883.0,9.77747389000672,592.019182500428,164280900.0,540.0,,22.6,50.3,67.273,50.1028951734136,0.757912346929833,102775.0,44651.0,43.4457542331259
YR1979,1583.0,390.0,0.843925066101343,265.328205128205,15.6084783235704,,,,,,16.7756846809644,115054284.0,59.9365396481127,13.0259741761635,71096359.6296296,191960171.0,3.38221687351745,687.067392389007,190340171.0,680.0,,21.7,46.1,69.345,50.3384761085636,0.68168969408475,103478.0,44997.0,43.4848948077503
YR1980,1583.0,390.0,1.33591870636901,267.21282051282,17.2074750037358,,,,,,16.8919363708487,139719326.0,62.8463505874311,13.0535456895008,82340339.6296296,222318917.0,2.44272030705477,790.115816929074,219888917.0,800.0,,20.5,41.9,67.977,50.8782451409846,0.707785188936135,104213.0,45359.0,43.5254362598998
