Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,785000.0,3.05804440981691,1032068665.56499,0.000258631,48.5820575746952,,,,,7663938303.07171,0.00025671,,939.197766577539,0.000239109,,,,58.6,58.376,50.9184059807187,,8160090.0,5052724.0,61.9199514882795
YR1961,2044.0,912050.0,,9.58666175386883,,384000.0,1.42222222222222,915747052.365516,0.000260918,48.6556394316164,,,,2.01373056169029,8067267030.61862,0.00027024,3.19251943889351,954.038330638213,0.000250666,,,,57.1,59.115,50.7917622875962,3.5610998156399,8455915.0,5313423.0,62.8367548343614
YR1962,2044.0,912050.0,,9.92786123235644,,683000.0,2.31290213342364,994278037.912511,0.000286305,49.5793395427604,,,,0.665054138461514,8814309884.21165,0.00029525,8.53293376290748,1006.55940812318,0.000273981,940.0,,,55.9,59.667,50.7050950114079,3.49723386798958,8756870.0,5586242.0,63.7926841478446
YR1963,2044.0,912050.0,,10.2760852559379,,822000.0,2.55358807082945,1158234650.55973,0.000305259,47.2245696886845,,,,4.91982977988805,9608717288.17057,0.00032186,3.90095116381761,1060.09433210388,0.000301367,970.0,,,54.8,60.502,50.646592204861,3.44743054176691,9064021.0,5873023.0,64.7948953928115
YR1964,2044.0,912050.0,,10.63172382518,,872000.0,2.44668911335578,911954022.988506,0.000360164,48.1611807952409,,,,-0.366502858122303,8192413793.10345,0.00035637,11.1293452932631,873.604754880876,0.000325917,950.0,,,54.0,61.168,50.6411958481984,3.40229694421621,9377712.0,6173081.0,65.8271577115279
YR1965,2044.0,912050.0,,10.9946034805283,,1000000.0,2.63643553915107,967688888.888889,0.000389592,48.2249176005274,,,,2.16720883620482,8427777777.77778,0.00037925,4.16286666476383,869.041067890496,0.000347922,890.0,,,53.2,61.909,50.6928898233515,3.35622144763596,9697790.0,6485522.0,66.876288859656
YR1966,2044.0,912050.0,,11.3654033218072,,1050000.0,2.65688259109312,1053711111.11111,0.000407687,44.8139993926511,,,,2.64492682981717,8781333333.33333,0.00039516,1.51025011101866,875.956231715029,0.000365211,820.0,,,52.6,62.894,50.7965527080717,3.31693849961177,10024854.0,6809794.0,67.9291065928583
YR1967,2044.0,912050.0,,11.7436800634885,,1190000.0,2.8585154936344,1118222222.22222,0.000425396,44.6359159159159,,,,2.43422682068071,9250000000.0,0.00041625,2.83386903098939,892.985315556393,0.000387236,840.0,,,51.9,63.55,50.9697603782396,3.27412842154232,10358513.0,7144518.0,68.9724286667969
YR1968,2044.0,912050.0,,12.1280312907432,,1200000.0,2.67737617135208,1225733333.33333,0.000484328,44.7895028236076,44.6369172849075,0.000257033,56.9223784741446,1.06509902850259,10034444444.4444,0.00045155,7.33723265821627,938.015078662499,0.00041991,900.0,,,51.2,63.908,51.202062532192,3.2204179987469,10697530.0,7487530.0,69.9930728371343
YR1969,2044.0,912050.0,,12.5166147043818,,1160000.0,2.4989228780698,1311755555.55556,0.000509487,44.3251301773869,41.9456387874598,0.000280114,60.5220059201003,1.77946177900662,10285111111.1111,0.00046283,0.706036796156368,931.598755748143,0.000435462,910.0,,,50.4,63.84,51.4854106961055,3.15375291477192,11040280.0,7836154.0,70.9778568595326
YR1970,2044.0,912050.0,-0.198942815953868,12.9105946374922,,1200000.0,2.29401644045116,1419266666.66667,0.000554969,42.0369053339741,41.6261412782316,0.000300419,57.7451225372417,4.35826317842833,11561111111.1111,0.00052025,7.71191438124387,1015.21990755986,0.000495918,980.0,,,49.3,64.816,51.8165904007714,3.09913259359461,11387790.0,8189370.0,71.9135984896541
