Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,62.7435365853659,52.8488152017564,,32500.0,18177.0,55.9287641806875
YR1961,,350.0,,98.0,,,,,,,,,,,,,,,,,,,,63.1217073170732,53.2751954392798,5.39052648362024,34300.0,18646.0,54.3626092826671
YR1962,,350.0,,100.0,,,,,,,,,,,,,,,,,,,,62.6680243902439,54.8753751794337,2.02027073175195,35000.0,18012.0,51.4639165772836
YR1963,,350.0,,113.714285714286,,,,,,,,,,,,,,,,,,,,61.4347073170732,56.0429085117166,12.8518850800978,39800.0,18957.0,47.6306618884519
YR1964,,350.0,,116.571428571429,,,,,,,,,,,,,,,,,,,,64.1249268292683,56.7541649010906,2.4815169119724,40800.0,17633.0,43.2178757425719
YR1965,,350.0,,124.285714285714,,,,,,,,,,,,,,,,,,,,64.7879268292683,57.1106747959078,6.40788566845224,43500.0,16783.0,38.5805886660438
YR1966,,350.0,,132.0,,,,,,,,,,,,,,,,,,,,63.6770731707317,57.485197670263,6.02188599930549,46200.0,15742.0,34.0738311852675
YR1967,,350.0,,140.285714285714,,,,,,,,,,,,,,,,,,,,64.4256097560976,58.0446006610878,6.08792367127818,49100.0,14756.0,30.0526338266431
YR1968,,350.0,,159.142857142857,,,,,,,,,,,,,,,,,,,,65.1755365853659,58.7897075861592,12.6121112132764,55700.0,14968.0,26.8720271165705
YR1969,,350.0,,172.285714285714,,,,,,,,,,,,,,,,,,,,65.8457073170732,59.7295868642318,7.93519567999014,60300.0,15007.0,24.8870415814498
YR1970,,350.0,,181.36,,,,,,,,,,,,,,,,,,,,66.5014390243902,59.9289030873913,5.13297779674561,63476.0,15499.0,24.4175507000698
YR1971,,350.0,,202.677142857143,,,,,,,,,,,,,,,,,,,,67.098487804878,59.169489029598,11.1130277492136,70937.0,17574.0,24.7741562037951
YR1972,,350.0,,218.054285714286,,,,,,,,,,,,,,,,,,,,65.5663170731708,58.3993269692061,7.31297651360913,76319.0,19513.0,25.5675007098772
YR1973,,350.0,,240.345714285714,,,,,,,,,,,,,,,,,,,,67.1374390243903,57.9306382810127,9.733431421438,84121.0,22482.0,26.7260120296325
YR1974,,350.0,,256.974285714286,,,,,,,,,,,,,,,,,,,,67.407512195122,57.7442765178025,6.68976612610085,89941.0,25349.0,28.1837187068608
YR1975,,350.0,,269.954285714286,,,,,,,,,,,,,,,,,,,,67.6790975609756,57.6509181585987,4.92766081912502,94484.0,28227.0,29.8746492853616
YR1976,,350.0,,274.76,,,,,,,,,,,,,,,,,,,,67.8731707317073,57.563665003938,1.76453568515418,96166.0,30516.0,31.7328323089346
YR1977,,350.0,,266.294285714286,,,,,,,,,,,,,,,,,,,,68.0731707317073,57.6356012444204,-3.12959548323056,93203.0,31402.0,33.6922963213794
YR1978,,350.0,,274.082857142857,,,,,,,,,,,,,,,,,,,,68.2636829268293,58.0358019974895,2.88284244931304,95929.0,34234.0,35.6870698664956
YR1979,,350.0,,274.808571428571,,,,,,,,,,,,,,,,,,,,68.4648048780488,58.7398406269028,0.264429237115111,96183.0,36214.0,37.6511814880829
YR1980,,350.0,,284.674285714286,,,,,,,,,,,,,,,,,,,,68.6948780487805,59.7457736816217,3.52709181889148,99636.0,39414.0,39.5577190604055
YR1981,,350.0,,285.294285714286,,,,,,,,,,,,,,,,,,,,68.8704634146341,60.8231551381984,0.217555941018771,99853.0,41593.0,41.6544449978874
YR1982,,350.0,,285.908571428571,,,,,,,,,,,,,,,,,119.274040222168,,,69.0786585365854,61.6490016879305,0.215085041476705,100068.0,44145.0,44.1147999863176
YR1983,,350.0,,286.708571428571,,,,,,,,,,,,,,,,,124.228843688965,,,69.3093902439024,62.2458419644832,0.279418990674308,100348.0,47032.0,46.8689027395738
YR1984,,350.0,,287.428571428571,,,,,,,,,,,,,,,,,124.098281860352,,,69.5030487804878,62.6967369004298,0.250811286604715,100600.0,50168.0,49.8692447277032
YR1985,,350.0,,287.885714285714,,,,,,,,,,,,,,,,,122.552238464355,,,69.6470975609756,63.0748473439585,0.158919381877072,100760.0,53472.0,53.0683174207525
YR1986,,350.0,,288.12,,,,,,,,,,,,,,,,,119.987159729004,,,69.94,63.4070038833706,0.0813484038074964,100842.0,56894.0,56.418612288769
YR1987,,350.0,,288.288571428571,,,,,,,,,,,,,,,,,,,,70.1746585365854,63.7303763995793,0.0584902590742098,100901.0,60412.0,59.8726208017995
YR1988,,350.0,,288.434285714286,,,,,,,,,,,,,,,,,,,,70.3924146341463,64.0891835953976,0.0505318237382963,100952.0,63986.0,63.382834429891
YR1989,,350.0,,288.688571428571,,,,,,,,,,,,,,,,,,,,70.5269512195122,64.5558629620909,0.0881218713117569,101041.0,67598.0,66.9017446430906
YR1990,,350.0,,297.037142857143,,,,,,,,,,,,,,,,,,,,70.6799756097561,65.0094079124209,2.85086915459893,103963.0,73171.0,70.3818429114451
YR1991,,350.0,,299.448571428571,,,,,,,,,,,,,,,,,119.724082946777,,,70.8079268292683,65.2805868178871,0.808549693974224,104807.0,77322.0,73.7756207050017
YR1992,,350.0,,302.034285714286,,,,,,,,,,,,,,,,,121.90991973877,,,70.9626097560976,65.4146535336171,0.859785173807118,105712.0,81436.0,77.0355694938073
YR1993,,350.0,,304.508571428571,,,,,,,,,,,,,,,,,124.084976196289,,,71.0782682926829,65.4377574066693,0.81586961582738,106578.0,85384.0,80.1141807479089
YR1994,,350.0,,306.622857142857,,,,,,,,,,,,,,,,,,,,71.2246341463415,65.3779716938949,0.691927808258402,107318.0,89035.0,82.9639459373535
YR1995,,350.0,,308.051428571429,,,,,,,,,,,,,,,,,,,,71.1666097560976,65.2877882790663,0.464823088884965,107818.0,92225.0,85.5373565321881
YR1996,,350.0,,308.842857142857,,,,,,,,,,,,,,,,,,,,71.575512195122,65.2057735561463,0.256584968919025,108095.0,94893.0,87.7869040024597
YR1997,,350.0,,309.591428571429,,,,,,,,,,,,,,,,,,,,70.9152195121951,65.1655610758001,0.242086123441443,108357.0,97158.0,89.6650798182152
YR1998,,350.0,,310.105714285714,,,,,,,,,,,,,,,,,,,,71.2462682926829,65.188338160152,0.165979733255787,108537.0,98904.0,91.1243754495017
YR1999,,350.0,,310.282857142857,,,,,,,,,,,,,,,,,,,,71.1116097560976,65.297758293577,0.0571070680909273,108599.0,100038.0,92.1172823663661
YR2000,,350.0,,310.405714285714,,,,,,,,,,,,,,,,,,,,76.619512195122,65.4641572687042,0.0395873712251061,108642.0,100628.0,92.6234446497486
YR2001,,350.0,,310.14,,,,,,,,,,,,,,,,,,,,77.6219512195122,65.6384904930178,-0.0856389129235212,108549.0,100876.0,92.9312505278715
YR2002,,350.0,,310.025714285714,,,,788000000.0,,283.169834457388,,,,,3262000000.0,3262000000.0,,30062.0225050457,,,,,,77.5219512195122,65.8044134941315,-0.0368565088158972,108509.0,101151.0,93.2191674762441
YR2003,,350.0,,310.014285714286,,,,737000000.0,,362.968341562591,,,,5.96846393096911,3443000000.0,3443000000.0,-0.396080883885759,31731.2566241187,,,,,,77.5219512195122,65.9577516871591,-0.0036863981129841,108505.0,101428.0,93.4773224233974
