Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,58.046,54.0885581560739,,32531933.0,4966147.0,15.2654522865939
YR1961,1821.0,331690.0,,102.642351531537,,,,,,,,,,,,,,,,,,,,58.461,53.3245399099687,2.66049299602515,33409059.0,5252666.0,15.7222800181777
YR1962,1821.0,331690.0,,105.34443454484,,,,,,,,,,,,,,,,,,,,58.204,52.6405928484689,2.59846800903446,34288560.0,5526328.0,16.1171198003772
YR1963,1821.0,331690.0,,108.295496021383,,,,,,,,,,,,,,,,,,,,56.897,51.9333868968743,2.76282545445889,35249101.0,5818386.0,16.5064813685263
YR1964,1821.0,331690.0,,111.221736458877,,,,,,,,,,,,,,,,,,,60.8,57.473,51.5446535893401,2.6662269308257,36201563.0,6134394.0,16.9451069825263
YR1965,1821.0,331690.0,,114.073108236812,,,,,,,,,,,,,,,,,,,62.3,56.967,51.4334666683491,2.53137087053675,37129656.0,6511207.0,17.5364065879613
YR1966,1821.0,331690.0,,116.82336170082,,,,,,,,,,,,,,,,,,,62.5,56.914,51.2779936776059,2.38235217834686,38024836.0,6978759.0,18.3531587422478
YR1967,1821.0,331690.0,,119.497004516268,,,,,,,,,,,,,,,,,,,62.9,56.745,51.2394607333439,2.26282392922143,38895080.0,7501974.0,19.2877201330996
YR1968,1821.0,331690.0,,122.076281913423,,,,,,,,,,,,,,,,,,,69.5,52.668,51.3308750565534,2.13548066761958,39734609.0,7992303.0,20.1142113255002
YR1969,1821.0,331690.0,,124.680008602415,,,,,,,,,,,,,,,,,,,66.0,54.791,51.4972162662912,2.11044129709734,40582096.0,8370592.0,20.626316557591
YR1970,1821.0,331690.0,,127.423976159022,,,,,,,,,,,,,,,,,,,65.7,54.93,51.7353568833175,2.17693974470409,41475230.0,8582528.0,20.6931421380499
YR1971,1821.0,331690.0,,130.41652892562,,,,,,,,,,,,,,,,,,,64.7,55.585,51.9655735938297,2.3213475682191,42449276.0,8768662.0,20.6568005981446
YR1972,1821.0,331690.0,,133.427042305447,,,,,,,,,,,,,,,,,,,70.6,51.913,52.2959206552619,2.28214318459982,43429168.0,8946409.0,20.6000003814697
YR1973,1821.0,331690.0,,136.440016590371,,,,,,,,,,,,,,,,,,,64.2,55.677,52.6647466050923,2.23302502747562,44409861.0,9123207.0,20.5432001647949
YR1974,1821.0,331690.0,,139.523601339519,,,,,,,,,,,,,,,,,,29.5,65.5,54.751,53.0309216717592,2.23486930356709,45413537.0,9312318.0,20.5056000213623
