Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,112.9,49.841,51.6420667070199,,64431.0,5139.0,7.97577223635722
YR1961,,12190.0,,5.43593109105824,,,,,,,,,,,,,,,,,,,110.4,50.384,51.5419266726528,2.80518795456956,66264.0,5466.0,8.24887567919263
YR1962,2000.0,12190.0,,5.59261689909762,,,,,,,,,,,,,,,,,,,107.7,50.931,51.4620783735616,2.84164971946311,68174.0,5814.0,8.52754090738906
YR1963,2000.0,12190.0,,5.75545529122231,,,,,,,,,,,,,,,,,,,104.8,51.485,51.4349651147046,2.87008343360667,70159.0,6182.0,8.81143749019894
YR1964,2000.0,12190.0,,5.92444626743232,,,,,,,,,,,,,,,,,,,101.8,51.969,51.4237844349518,2.89390743468912,72219.0,6572.0,9.10023499676953
YR1965,2000.0,12190.0,,6.09991796554553,,,,,,,,,,,,,,,,,,,98.6,52.527,51.3888982281545,2.918809713724,74358.0,6985.0,9.3935720705506
YR1966,2000.0,12190.0,,6.28301886792453,,,,,,,,,,,,,,,,,,,95.2,53.09,51.3542979128993,2.957525361071,76590.0,7421.0,9.68921837125306
YR1967,2000.0,12190.0,,6.47424118129614,,,,,,,,,,,,,,,,,,,92.0,53.667,51.3288689250575,2.99808322119359,78921.0,7888.0,9.9945849083319
YR1968,2000.0,12190.0,,6.67054963084496,,,,,,,,,,,,,,,,,,,88.5,54.23,51.2359495289864,2.98708513173295,81314.0,8406.0,10.33831639496
YR1969,2000.0,12190.0,,6.87079573420837,,,,,,,,,,,,,,,,,,,85.2,54.761,51.1202249404517,2.95776669648824,83755.0,8949.0,10.6848845215557
