Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,78.6,55.153,47.1377582995897,,112490.0,21252.0,18.8923388116771
YR1961,,2840.0,,40.8113074204947,,,,,,,,,,,,,,,,,,,75.7,55.738,46.9483791646464,2.6371568522779,115496.0,21885.0,18.9484431912601
YR1962,2880.0,2840.0,,41.9070671378092,2.65486725663724,,,,,,,,,,,,,,,,,,73.0,56.316,46.647666668072,2.64952938065727,118597.0,22553.0,19.0161849379455
YR1963,2880.0,2840.0,,43.026148409894,0.689655172413793,,,,,,,,,,,,,,,,,,70.5,56.861,46.2911862290989,2.63535539508599,121764.0,23238.0,19.0845699019584
YR1964,2880.0,2840.0,,44.1321554770318,5.30821917808229,,,,,,,,,,,,,,,,,,75.4,54.043,46.0828625989343,2.53806324619588,124894.0,23927.0,19.1580226676349
YR1965,2880.0,2840.0,,45.2219081272085,2.11382113821132,,,,,,,,,,,,,,,,,,65.9,57.886,45.9565473888192,2.43929966005117,127978.0,24627.0,19.2433138197489
YR1966,2880.0,2840.0,,46.3155477031802,2.86624203821646,,,,,,,,,,,,,,,,,,63.6,58.225,45.8721475818818,2.3896045754944,131073.0,25357.0,19.3454347533587
YR1967,2880.0,2840.0,,47.2664310954064,-0.515995872032687,,,,,,,,,,,,,,,,,,61.3,58.878,45.813522322897,2.0322633293126,133764.0,26078.0,19.4958958628092
YR1968,2880.0,2840.0,,48.0636042402827,1.71161825726125,,,,,,,,,,,,,,,,,,58.9,59.381,45.7706742733632,1.6724880552006,136020.0,26858.0,19.7458978042472
YR1969,2880.0,2840.0,,48.8455830388693,4.13054563997966,,,,,,,,,,,,,,,,,,56.4,59.881,45.7904407775278,1.61387334521042,138233.0,27714.0,20.0489755662013
