Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,275.9,33.462,56.0088158624066,,5532301.0,188098.0,3.40000009536743
YR1961,167.0,527970.0,,10.711275261852,,,,,,,,,,,,,,,,,,85.9,273.4,34.058,55.9969069350294,2.19773113439037,5655232.0,203297.0,3.59484929148479
YR1962,167.0,527970.0,,10.9517983976362,,,,,,,,,,,,,,,,,,85.1,270.6,33.669,55.9579268934895,2.22067305646172,5782221.0,219678.0,3.79919895203493
YR1963,167.0,527970.0,,11.1959675739152,,,,,,,,,,,,,,,,,,84.4,267.5,33.431,55.8249351287811,2.20499954243984,5911135.0,237337.0,4.01508230222546
YR1964,167.0,527970.0,,11.4552076822547,,,,,,,,,,,,,,,,,,83.7,263.8,34.907,55.565772881655,2.28907705836353,6048006.0,256710.0,4.24453256726394
YR1965,167.0,527970.0,,11.734744398356,,,,,,,,,,,,,,,,,,82.9,259.3,35.592,55.1769576231882,2.41096019165207,6195593.0,278156.0,4.48958297235796
YR1966,167.0,527970.0,,12.0300282213005,,,,,,,,,,,,,,,,,,81.8,253.9,36.264,54.7173110202646,2.48518279654376,6351494.0,301840.0,4.7522667427151
YR1967,167.0,527970.0,,12.3424512756407,,,,,,,,,,,,,,,,,,80.6,247.5,37.079,54.259593115509,2.56387675593543,6516444.0,328078.0,5.03461710354295
YR1968,167.0,527970.0,,12.6721669791844,,,,,,,,,,,,,,,,,,79.2,240.5,37.99,53.8123362095657,2.63633685507744,6690524.0,357185.0,5.33866728004907
YR1969,167.0,527970.0,,13.0232001818285,,,,,,,,,,,,,,,,,,77.6,233.2,39.61,53.3787666836415,2.73243842698284,6875859.0,389617.0,5.66645049744107
YR1970,167.0,527970.0,,13.3819705665095,,,,,,,,,,,,,,,,,,76.0,225.8,40.573,52.9143859711697,2.71759246004761,7065279.0,425330.0,6.01999998092651
YR1971,167.0,527970.0,,13.7459742030797,,,,,,,,,,,,,,,,,,74.4,218.8,41.757,52.4255931343492,2.68376751375197,7257462.0,466233.0,6.42418866260133
YR1972,167.0,527970.0,,14.1297194916378,,,,,,,,,,,,,,,,,,72.8,212.0,42.688,51.9574521276114,2.75343485154837,7460068.0,514593.0,6.8979610463943
YR1973,167.0,527970.0,,14.5326363240336,,,,,,,,,,,,,,,,,,71.3,205.4,43.603,51.5088340357827,2.81165566537687,7672796.0,570431.0,7.43445771526226
YR1974,167.0,527970.0,,14.9568782317177,,,,,,,,,,,,,,,,,,69.8,198.5,44.541,51.07765092935,2.87743752390856,7896783.0,633860.0,8.02681925216208
YR1975,167.0,527970.0,,15.4054169744493,,,,,,,,,,,,,,,,,,68.2,191.5,45.475,50.6557430057399,2.95479227367255,8133598.0,705035.0,8.66818624005061
YR1976,167.0,527970.0,,15.8799041612213,,,,,,,,,,,,,,,,,,66.6,184.2,46.441,50.2399597906183,3.03352214560866,8384113.0,784057.0,9.35169926188469
YR1977,167.0,527970.0,,16.3801390230506,,,,,,,,,,,,,,,,,,64.8,176.3,47.442,49.8305489845196,3.10151451414285,8648222.0,870919.0,10.0704989006212
YR1978,167.0,527970.0,,16.9073735250109,,,,,,,,,,,,,,,,,,63.0,168.2,48.484,49.4288129862861,3.16802642768914,8926586.0,965654.0,10.8177257392169
YR1979,167.0,527970.0,,17.4710570676364,,,,,,,,,,,,,,,,,,61.1,159.9,49.531,49.0258498466099,3.27957998761731,9224194.0,1068763.0,11.5865203606288
YR1980,167.0,527970.0,,18.0755686876148,,,,,,,,,,,,,,,,,,59.2,151.6,50.608,48.6251772502497,3.40156003041498,9543358.0,1180516.0,12.3700233478136
YR1981,167.0,527970.0,,18.7176582002765,,,,,,,,,,,,,,,,,,57.3,143.4,51.679,48.2486751774867,3.49061368733535,9882362.0,1300655.0,13.1613752837282
YR1982,167.0,527970.0,,19.3969467962195,,,,,,,,,,,,,,,,,,55.3,135.5,52.367,47.9036362295054,3.56483049601247,10241006.0,1429001.0,13.9537167513295
YR1983,167.0,527970.0,,20.1176184252893,,,,,,,,,,,,,,,,,,53.4,128.0,53.618,47.5817772990423,3.6480297655722,10621499.0,1565629.0,14.7401883335743
YR1984,167.0,527970.0,,20.882999034036,,,,,,,,,,,,,,,,,,51.5,121.3,54.586,47.2841902672395,3.73394148975977,11025597.0,1710503.0,15.5139306134195
YR1985,167.0,527970.0,,21.69408299714,,,,,,,,,,,,,,,,,,49.8,115.5,55.418,47.021966330984,3.81041658228887,11453825.0,1863318.0,16.2680841738219
YR1986,167.0,527970.0,,22.5411292308275,,,,,,,,,,,,,,,,,,48.3,110.6,54.002,46.7749899683141,3.83020559071278,11901040.0,2023976.0,17.0067118125246
YR1987,167.0,527970.0,,23.4291948406159,,,,,,,,,,,,,,,,,,47.1,106.3,56.828,46.5617419105326,3.86412811368934,12369912.0,2197714.0,17.7666066512621
YR1988,167.0,527970.0,,24.3568914900468,,,,,,,,,,,,,,,,,,45.9,102.7,57.43,46.3806643199052,3.88319400927246,12859708.0,2386816.0,18.5604230357632
YR1989,167.0,527970.0,,25.3123738091179,,,,,,,,,,,,,,,,,,44.8,99.6,58.025,46.2183596232734,3.8478531977258,13364174.0,2588664.0,19.3701749034318
YR1990,167.0,527970.0,-1.03528825747847,26.3042634998201,,9693000000.0,6.55118344395031,1965732353.44386,,27.6276662296057,38.5839100824981,44423983697.1535,30.0247257310544,,12643821568.9626,147958000000.0,,910.422465960748,147018000000.0,,,43.8,96.9,58.528,46.0992860563882,3.8437676769055,13887862.0,2802856.0,20.1820531721852
YR1991,167.0,527970.0,1.9262967547067,27.3314790613103,36.0,12349000000.0,7.01121885858333,2449458784.34638,,47.921359321418,34.6870784979447,61913009500.0,35.1514826947971,11.9935811151592,14665445462.1149,176132000000.0,6.29349385992927,1016.30223044813,170300000000.0,,,42.8,94.7,58.805,46.0246931426906,3.8308080770016,14430201.0,3027781.0,20.9822487599409
