Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.28887692687992,50000000.0,0.950977129000048,706999717.200113,5484000000.0,46.8554968795007,32.4691950712114,3385000000.0,54.1686669867179,,8748596500.5614,6249000000.0,,532.147504330332,6013000000.0,,,,,52.575,54.5152889676364,,16440172.0,7676362.0,46.69271200762
YR1961,495.0,1219090.0,,13.9379889373418,2.10235059955978,81250000.0,1.46784913582076,771399691.440123,5660000000.0,43.7481031866464,32.7162367223065,3557000000.0,53.9757207890744,1.55245133157604,9225996309.60148,6590000000.0,3.84473414174089,545.657511922673,6324000000.0,,,,,53.067,54.5191206429369,2.80611008680151,16908035.0,7923539.0,46.8625654005853
YR1962,495.0,1219090.0,,14.3588043756028,1.24627519965495,133000000.0,2.25483730416399,907199637.120145,5966000000.0,43.3523537803138,32.8530670470756,3795000000.0,54.1369472182596,0.183994937544526,9813996074.40157,7010000000.0,6.17793085042746,563.423008817945,6779000000.0,550.0,,,,53.566,54.5274950846147,2.9745170090651,17418522.0,8188438.0,47.0099487835116
YR1963,495.0,1219090.0,,14.8006858518329,1.33797064490693,135000000.0,2.06460848141164,964599614.160154,6779000000.0,44.9761382690571,33.2774409905843,4173000000.0,53.8243260673288,3.00393350819306,10854195658.3217,7753000000.0,7.37370924877223,604.536855270991,7522000000.0,580.0,,,,53.895,54.5608654156124,3.03102216345899,17954564.0,8463825.0,47.1402438740288
YR1964,495.0,1219090.0,,15.2596765285346,2.53498854234898,194000000.0,2.695608797689,1163399534.64019,7678000000.0,45.9484777517564,34.192037470726,4598000000.0,53.8407494145199,2.04864619056781,11955995217.6019,8540000000.0,7.93960864480677,645.873375685446,8272000000.0,620.0,,,,54.215,54.5569622202019,3.05403072515018,18511361.0,8747707.0,47.2558803136078
YR1965,495.0,1219090.0,,15.7361613730226,4.06901853294584,206750000.0,2.63082886060615,1299199480.32021,8481000000.0,45.5168719871452,35.1687198714515,4980000000.0,53.3476164970541,3.00249847404524,13068994772.4021,9335000000.0,6.12279809601442,684.62122774035,9038000000.0,660.0,,,,54.427,54.4921743269772,3.07475077680414,19089380.0,9040594.0,47.3592877437199
YR1966,495.0,1219090.0,,16.2313488694161,3.48923715385175,231750000.0,2.704872973096,1423799430.48023,9011000000.0,42.0943749384297,34.765047778544,5429000000.0,53.482415525564,4.12004653533484,14211394315.4423,10151000000.0,4.43838608946889,721.75375941418,9841000000.0,700.0,,,,54.731,54.4131992513085,3.0983151654606,19690087.0,9343516.0,47.4528958058359
YR1967,495.0,1219090.0,,16.745720432944,3.53896580236233,266500000.0,2.78801852960007,1553999378.40025,10125000000.0,42.4918148836386,33.3864259800018,6104000000.0,54.0129192106893,3.85498514945877,15821393671.4425,11301000000.0,7.19652306514106,778.839335829791,10980000000.0,750.0,,,,54.955,54.3347391490886,3.11982413750612,20314066.0,9657131.0,47.539134141427
YR1968,495.0,1219090.0,,17.2759539687904,1.98613362103222,285500000.0,2.76117526451189,1726199309.52028,10928000000.0,41.2933289731851,33.4041857423152,6751000000.0,55.1913015042511,3.92194309999758,17124793150.0827,12232000000.0,4.15337298293346,817.128340614066,11863000000.0,800.0,,,,55.191,54.2689900653649,3.1172861549371,20957287.0,9979951.0,47.6204323919642
YR1969,495.0,1219090.0,,17.8178667699841,3.23821721585667,304000000.0,2.60847927374445,1985199205.92032,12461000000.0,39.62195565249,33.776808433297,7510000000.0,54.5983278807706,7.38669605401651,19256992297.2031,13755000000.0,4.71590286722241,890.922089102936,13327000000.0,850.0,,,,55.44,54.211964592946,3.08861143644416,21614676.0,10310032.0,47.6992201989186
YR1970,495.0,1219090.0,1.5769332277648,18.3663075287077,4.99192455435617,298500000.0,2.33374509405345,2281999087.20037,14303000000.0,39.7862232779097,33.7556083399314,8398000000.0,55.4103985220375,4.69053537939482,21218391512.6434,15156000000.0,5.24866143118292,952.352188073537,14682000000.0,920.0,100.113403320312,,,55.681,54.1669329744581,3.03161685092829,22279984.0,10644784.0,47.7773422725034
YR1971,495.0,1219090.0,1.11084567606293,18.9121524371646,5.95742085213486,347500000.0,2.45819303358705,2733436145.95291,16450000000.0,40.4980888676541,32.4593884376493,9401000000.0,56.1454849498328,5.94440692526648,23411076638.279,16744000000.0,4.27893440296982,1020.43983590718,16275000000.0,990.0,,,,56.02,54.153356554355,2.928682802326,22942143.0,10977644.0,47.8492514745745
YR1972,495.0,1219090.0,0.466954736097573,19.4622459998846,6.42567638879175,378500000.0,2.37266886068014,2703177339.10046,17652000000.0,40.7725777353285,33.3810888252149,10464000000.0,55.5237185609679,10.7214983484777,24515919216.8851,18846000000.0,1.65482970884699,1038.39407468283,18306000000.0,1040.0,,,,56.377,54.1729021625911,2.86717847984546,23609456.0,11311552.0,47.9111068411659
