Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,62.1518733720697,,,,698739720.783607,499100.0,,221.559848922849,447300.0,,,,99.4,50.648,51.1311847023,,3153729.0,543186.0,17.2236054096103
YR1961,1020.0,752610.0,,4.37736047027805,,,,,,,59.4173163725892,,,-3.6558317516409,682359727.329053,487400.0,1.36138199147489,209.693206426951,441400.0,,,,98.1,51.041,50.9729074503705,3.13258752466894,3254086.0,590582.0,18.1489304951479
YR1962,1020.0,752610.0,,4.51727760663985,,,,,,,58.037922506183,,,2.09156229282105,679279728.55982,485200.0,-2.49083947454871,202.28103119051,436200.0,180.0,,,96.9,51.331,50.8011973440926,3.14636025971389,3358099.0,641293.0,19.0968960737098
YR1963,1020.0,752610.0,,4.66229973499778,,,,,,,57.7419996024647,,,0.403600057440983,704339718.545848,503100.0,3.27239289272524,203.219451227586,454500.0,180.0,,,96.0,51.605,50.5787301017122,3.15993187951411,3465907.0,695837.0,20.0766071239225
YR1964,1020.0,752610.0,,4.81176367720846,,,,,,,58.1347855684139,,,4.08310518698201,822639671.273187,587600.0,12.2140480179323,229.979245632097,518500.0,200.0,,,95.3,51.17,50.3458398919882,3.15548540012184,3577017.0,762098.0,21.3053980159543
YR1965,1020.0,752610.0,,4.96655322240009,,,,,,,53.8126649076517,,,10.5890550287602,1061199575.94465,758000.0,16.6474559632126,287.42547598963,712500.0,250.0,,,94.8,52.079,50.2036856395428,3.16623971255614,3692086.0,844071.0,22.8616347026047
YR1966,1020.0,752610.0,,5.127864243533,,,,,,,58.8474576271187,,,23.6418516015495,1238999504.8958,885000.0,-5.57030980860466,325.025847276562,827000.0,260.0,,,94.6,52.29,50.1209928377539,3.1963162802989,3812003.0,937458.0,24.5922561421748
YR1967,1020.0,752610.0,,5.29512503531121,,,,,,,52.140768588137,,,0.262874459138416,1340639464.28047,957600.0,7.91969651199875,340.579940386412,907000.0,310.0,,,94.6,52.512,50.0375920032365,3.20973469220019,3936343.0,1037521.0,26.3574815758633
YR1968,1020.0,752610.0,,5.46899070474448,,,,,,,54.5947869406636,,,15.9399054440875,1573739371.13375,1124100.0,1.24832998222797,387.087288652294,1072000.0,350.0,,,94.2,52.719,49.9515999205528,3.23074921170895,4065593.0,1139079.0,28.0175302448685
YR1969,1020.0,752610.0,,5.6459139886197,,,,,,,62.405523255814,,,22.9462097862278,1926399230.21087,1376000.0,-0.436915823088214,458.981650783744,1328500.0,380.0,,36.2,93.5,53.044,49.8328137702175,3.18380109399261,4197116.0,1234803.0,29.4202803234288
YR1970,1020.0,752610.0,0.532206515289301,5.81352721989803,,,,,,,54.7233309853643,,,-11.3944057438464,1788779285.2038,1277700.0,4.79711290318896,413.904675224945,1244300.0,430.0,85.6979293823242,35.9,92.0,53.404,49.5830883015634,2.92553856262887,4321718.0,1324621.0,30.6503323690615
YR1971,1020.0,752610.0,0.509296980195756,5.97603545918024,,,,,,,46.1935811669066,,,-7.49652375313784,1653259341.29113,1180900.0,-0.0860395508674401,372.144071511389,1145000.0,410.0,86.9798583984375,35.5,90.0,53.887,49.2386931712604,2.75699001074402,4442525.0,1417671.0,31.9113710450343
YR1972,1020.0,752610.0,1.54880055857944,6.14658389270773,,,,,,,47.5738317757009,,,3.71051097004526,1872416680.07912,1337500.0,9.20886514231279,409.781146356948,1273900.0,420.0,89.5780029296875,35.0,87.6,54.375,48.9071595844316,2.81390814797676,4569309.0,1516422.0,33.1871095776113
YR1973,1020.0,752610.0,1.31457044904813,6.326010573185,,,,,,,53.6175303822178,,,19.8898473839698,2434255236.99935,1588100.0,-0.962048756426327,517.630055161873,1465200.0,450.0,90.1459884643555,34.6,85.3,54.913,48.594969796558,2.87733333771679,4702693.0,1619792.0,34.4439218565519
YR1974,1020.0,752610.0,1.30540173840158,6.51440831864835,,,,,,,54.7861833324435,,,10.8221496863328,2910981262.10018,1873100.0,6.42815854892096,601.101371432691,1752000.0,560.0,92.2649078369141,34.2,83.1,55.377,48.309533475429,2.93465918654467,4842746.0,1726351.0,35.6481817716154
YR1975,1020.0,752610.0,1.55567336946283,6.71260845585762,,,,,,,41.6687881873727,,,-14.1698985843605,2442672140.947,1571200.0,-2.26932892418952,489.505018740558,1461400.0,570.0,90.6272964477539,33.9,81.7,55.742,48.0478192159414,2.99712288686215,4990086.0,1834668.0,36.766263212561
YR1976,1020.0,752610.0,1.13020745972677,6.91943932525323,,,,,,,40.5679513184584,,,15.2045869825003,2742859262.9794,1922700.0,6.22097526707175,533.231631721853,1747500.0,540.0,91.0705718994141,33.8,80.9,56.102,47.8181437320447,3.03471269831588,5143842.0,1942548.0,37.7645400691482
YR1977,1020.0,752610.0,1.70794944022453,7.13283740701381,,,,,,,37.6560612162706,,,8.25401842691977,2515296939.60686,1986400.0,-4.5642361743654,474.362362443019,1898300.0,490.0,90.7121505737305,33.9,81.1,56.281,47.6306603354148,3.03743645768228,5302480.0,2047255.0,38.6093862311362
YR1978,1020.0,752610.0,1.37316094252159,7.35196061286808,,,,,,,39.3699737859333,,,12.6814879060828,2811032472.93922,2250700.0,0.553763844248408,514.334878626644,2109400.0,490.0,90.0658798217773,34.1,81.6,56.335,47.488708000587,3.02579191416923,5465374.0,2146098.0,39.2671755882844
YR1979,1020.0,752610.0,1.04966671678444,7.57573817242632,,,,,,,41.9899263268681,,,21.8890669832971,3353445378.15126,2660400.0,-3.02393103121803,595.455849101956,2431800.0,520.0,89.7294311523438,34.2,82.3,56.05,47.3962254569113,2.99837674494052,5631728.0,2236037.0,39.7042820303519
YR1980,1020.0,752610.0,1.58835139487313,7.80590672459947,,,,,,,39.1010575793185,,,11.7629156496757,3884530853.76162,3063600.0,3.03562235066106,669.419722015371,2835000.0,620.0,90.4394912719727,34.4,83.2,55.496,47.369552079131,2.99299243412746,5802833.0,2314502.0,39.8857225974085
YR1981,1020.0,752610.0,-0.95805359499627,8.04865413847375,,,,,,,36.850863602456,,,7.15861802485556,4008126497.36464,3485400.0,6.16795740650589,669.886829361684,3387500.0,720.0,89.800422668457,34.5,84.1,54.986,47.4280951496744,3.06241701917685,5983289.0,2386461.0,39.885445461509
YR1982,1020.0,752610.0,1.00746112980836,8.31143410592018,,,,,,,35.2960809946319,,,6.13860129264607,3871117092.86676,3595300.0,-2.81278262868891,626.532533448195,3376100.0,620.0,90.5214385986328,34.8,85.2,54.361,47.5800811732426,3.21272802150477,6178637.0,2463244.0,39.8671144139553
YR1983,1020.0,752610.0,0.773852004209318,8.58370169090249,,,,,,,40.0578781211136,1280500.0,30.6251793743423,18.6293463518053,3321048451.15171,4181200.0,-1.96668929762134,520.45583354177,3865700.0,520.0,93.0147323608398,35.0,87.0,53.674,47.7584487227275,3.22330830648932,6381038.0,2541975.0,39.8363846494455
YR1984,1020.0,752610.0,0.632464800715879,8.85200231372496,,148000.0,3.00141959034679,,,,39.2313932265261,1731800.0,35.1206651794768,18.331231799032,2719518932.99541,4931000.0,-0.336834899256019,413.269974271735,4429100.0,430.0,95.2895965576172,35.3,89.3,52.877,47.8985343113861,3.07784306018052,6580490.0,2618661.0,39.7943148274541
YR1985,1020.0,752610.0,2.28639468617875,9.12166292255747,,167000.0,2.36145873103409,,,,42.0339654124069,2451900.0,34.6710219318712,41.1373505080315,2252454500.14896,7071900.0,1.61531036759311,332.173737253298,6234900.0,350.0,98.2908096313477,35.6,92.0,52.001,48.0342807272075,3.0008441896861,6780953.0,2694884.0,39.7419636074556
YR1986,1020.0,752610.0,1.7002986254498,9.39812346144016,55.8282208588966,480000.0,3.66412213740458,,,,44.3532461120711,4306400.0,33.2201925450506,81.9883566993867,1664413508.09853,12963200.0,0.723893955923913,238.23379616097,10573700.0,260.0,97.5525436401367,35.8,94.9,51.149,48.1935766860281,2.98579121207901,6986471.0,2772259.0,39.6803896489242
YR1987,1020.0,752610.0,3.28881880680764,9.67363295174807,47.0472440944876,637000.0,3.22068519192655,,,,41.1254869226489,8263300.0,38.3198849935077,62.0128982645801,2265250972.34879,21564000.0,2.67566171341133,314.999602622841,18290200.0,270.0,95.9571304321289,35.9,97.5,50.421,48.3473113695166,2.88938943703434,7191282.0,2848514.0,39.6106516113345
YR1988,1020.0,752610.0,2.50209302306719,9.94288327795639,51.0040160642574,717000.0,2.38834408143687,,,,44.0430847094702,10387100.0,33.6991856730364,34.4903044484454,3728878148.80792,30823000.0,6.28074900897693,504.486020154114,27428100.0,340.0,96.0965270996094,35.9,99.7,49.674,48.4819940363447,2.74531148561589,7391440.0,2922118.0,39.533808154161
YR1989,1020.0,752610.0,4.09795728965057,10.2089293641292,123.40425531915,2315000.0,4.19526940334752,,,,47.2834951034048,13062100.0,23.6712865976093,80.8773347304922,3994673161.02649,55181200.0,-1.02350178869868,526.361769256072,49560400.0,420.0,95.3428573608398,35.8,101.4,48.882,48.6046977711532,2.64057183708488,7589216.0,2994015.0,39.4509179368779
YR1990,1020.0,752610.0,6.16412608064376,10.4738683598111,107.023809523808,4220000.0,3.41082508884576,,,,45.2940709370037,28159100.0,24.8448032468678,106.388920043291,3288381797.32415,113340000.0,-0.481072027781664,422.336298804219,103680800.0,450.0,94.2844314575195,35.5,102.3,48.204,48.7299145446239,2.56206623134577,7786169.0,3064947.0,39.3639924846036
YR1991,1020.0,752610.0,1.01575254601441,10.7368272373855,97.6423231742383,5575000.0,2.3374458851178,,,,46.2836924661369,62521000.0,28.6431203092601,92.6545782085704,3376806697.1218,218275800.0,-0.0361333838823299,423.071256835592,193461300.0,410.0,95.3369827270508,34.9,102.6,47.443,48.8493732498919,2.47962024274958,7981650.0,3133089.0,39.2536515579652
YR1992,1020.0,752610.0,1.41384462501141,10.9991794347516,165.70652700999,16835000.0,2.7050497634892,,,,43.7348041659936,138467000.0,24.3110519625538,165.533953807921,3182810841.01704,569564000.0,-1.73092217352566,389.254665832226,513113600.0,380.0,,34.4,102.4,46.968,48.9558170308732,2.41410432516202,8176680.0,3196857.0,39.0972462878148
YR1993,1020.0,752610.0,9.6043832825919,11.2645058448459,183.312041464393,23149000.0,1.42939824259298,,,,37.4428935375837,317986800.0,21.4548315553759,143.658341657555,3273505343.85539,1482122100.0,6.79727404907118,390.916673784646,1366668300.0,390.0,,34.1,101.5,46.678,49.0434588527883,2.38360333328893,8373921.0,3257401.0,38.8993519782475
YR1994,1020.0,752610.0,1.09385070431742,11.5367021348148,54.6013218413016,42083000.0,1.71924538560915,,,66.6505948295585,37.3249460731444,931321000.0,38.0478886818969,80.7421986460103,3656806165.78848,2447760000.0,-8.62544195231277,426.386598390102,2289520700.0,370.0,88.6602172851562,33.9,100.3,46.344,49.0986873196258,2.38767368508148,8576269.0,3316098.0,38.6659731487597
YR1995,1020.0,752610.0,2.81062427616587,11.8185111448903,34.9295874166667,47756000.0,1.45168841419497,,,69.2267746955964,34.3135138066491,1304443300.0,39.6525085504343,30.6111247595742,3806983413.16416,3289686700.0,2.89766889341698,433.312782642118,3080569800.0,390.0,86.3098297119141,33.8,98.5,46.051,49.1269711505437,2.41336000162319,8785763.0,3374007.0,38.4031143188477
YR1996,1020.0,752610.0,3.53328309110399,12.1121524368097,43.0730979982882,45702000.0,1.0518095531385,,,63.8214821755312,33.2019994461786,1805100700.0,41.5435244139859,24.3492595595263,3597220962.00017,4345083200.0,6.21854648894293,399.511304742449,4096255800.0,420.0,84.7140274047852,33.9,96.9,45.757,49.1527204471142,2.45422388426954,9004053.0,3420124.0,37.9842763417749
YR1997,1020.0,752610.0,4.81956998648727,12.4255949098051,24.4187215689412,57000000.0,1.00766103765507,,,58.272862622336,32.3806375563294,2345923200.0,41.4718491062604,25.4025412591637,4303288479.7086,5656664100.0,3.81400749718355,465.871942164799,5326988100.0,420.0,,33.9,95.6,45.743,49.2249619400107,2.55491686835174,9237063.0,3452434.0,37.3758882162063
YR1998,1020.0,752610.0,5.59679036097289,12.755630288274,24.4584563516656,,,,,56.2503070199594,27.2773913264713,2954227900.0,44.8458308951369,16.9068728138218,3537741941.89367,6587519600.0,-0.38574614579035,373.084763057408,6172836800.0,370.0,82.668571472168,33.8,94.5,45.709,49.3253480906249,2.62143144676206,9482408.0,3482258.0,36.7233466797411
YR1999,1020.0,752610.0,4.7587086630329,13.1021469215351,26.7876966790029,134000000.0,1.64831846043945,,,59.7675342029156,22.8198423592505,3861715500.0,47.5025146082224,17.9238730663514,3404284890.5306,8129497000.0,4.6501897463741,349.515723095687,7738082800.0,370.0,80.559196472168,33.6,92.5,45.924,49.4444561373428,2.68033385502673,9740005.0,3523159.0,36.1720484699782
YR2000,1020.0,752610.0,3.37996207983055,13.475606343911,26.0304117888121,,,,,60.3874689884965,23.2438941549244,5483959700.0,48.9595335232782,32.6138705117288,3600632111.41414,11201004800.0,3.89732294341896,359.429500988221,10715350000.0,350.0,80.3700714111328,33.0,89.3,46.577,49.6160844007888,2.8105009556372,10017631.0,3593679.0,35.8735460960387
YR2001,1020.0,752610.0,3.54138670780308,13.8893245806373,21.3937821792546,,,,,64.668282708979,23.3606116903584,7259222000.0,49.0993517149354,25.3312584622414,4094441301.21423,14784761400.0,5.31686827418419,396.548952993504,14189152500.0,360.0,80.1720123291016,32.1,84.6,47.408,49.8762225627811,3.02394158044151,10325185.0,3705156.0,35.8846482932758
YR2002,1020.0,752610.0,7.11494136195091,14.3235031410162,22.2333446430947,,,,,64.9164969990648,23.8755524352252,9172674200.0,49.7243429106408,19.390923266941,4193850445.42632,18447049600.0,4.50601428032604,393.864625518616,17785024100.0,370.0,83.1586837768555,31.0,78.7,48.461,50.1426706683137,3.07812350873629,10647949.0,3840779.0,36.0706035730014
YR2003,1020.0,752610.0,7.07893144253237,14.7750104252142,21.4015783901995,,,,,62.3128446757629,24.1349730396824,11536110000.0,49.7205872731509,17.6077236839923,4901869764.05957,23201878000.0,6.94497398221223,446.290104839041,22524702100.0,420.0,,29.6,72.3,49.616,50.384072792196,3.10355045228564,10983595.0,3996475.0,36.3858560115875
YR2004,1020.0,752610.0,5.85168864010044,15.2520184559921,17.9677891087286,470000000.0,1.58089960446516,,,70.8130749317722,25.6961251757115,14511146900.0,48.8099285446496,19.7168232055938,6221110219.45542,29729908100.0,7.03239511515218,548.685974566277,27824631300.0,470.0,102.254737854004,28.3,65.8,50.54,50.6065029028422,3.17745831747123,11338198.0,4172864.0,36.8035881130253
YR2005,1020.0,752610.0,4.28403218909524,15.7640256123973,18.324439701174,622700000.0,1.84832294449392,,,62.200282191364,26.8496240283076,18206995400.0,48.9576146258726,16.6501990728872,8331870169.14977,37189302500.0,7.23559900655543,710.982068171696,34369583100.0,570.0,113.556289672852,27.2,60.2,51.615,50.820364236362,3.30186320062968,11718819.0,4370766.0,37.2969823813059
YR2006,1020.0,752610.0,4.82712872237458,16.3165404431052,9.01957247226486,741700000.0,1.7439454502704,,,57.8568188739027,30.3961173223662,21840126500.0,47.5154757432367,14.5422526759543,12756858899.2812,45964238300.0,7.90369444480079,1051.71714895686,41753826900.0,720.0,114.722457885742,26.4,56.4,52.693,51.0396879423339,3.44488603404196,12129553.0,4589728.0,37.8392213204204
YR2007,1020.0,752610.0,9.41811167277731,16.9024132689436,10.6573496000153,929700000.0,2.06370699223085,,,65.7714586909068,31.9096804308122,26699414500.0,47.4546801554357,12.9702107335817,14056957976.2648,56262974300.0,8.35243624447406,1118.73162626953,50081018000.0,900.0,115.843597412109,25.8,54.3,53.73,51.2574068835425,3.52770643018252,12565085.0,4825431.0,38.4034874343601
YR2008,1020.0,752610.0,5.24050811284723,17.5161409219925,12.4455793463192,1041500000.0,2.08008787697224,,,59.4548891205874,30.9906155705809,32893480300.0,49.0298347278234,10.6402448170694,17910858637.9048,67088703200.0,7.77389581542363,1375.50211006997,61849984700.0,1170.0,117.088676452637,25.4,52.1,54.835,51.4804907703702,3.56663855229215,13021324.0,5073494.0,38.9629632271162
YR2009,1020.0,752610.0,4.53277977632725,18.1471219682804,13.3952546325895,1115000000.0,1.73163534710359,,,56.1213809555165,30.2244688791227,39876634100.0,51.5546034007674,5.55968566025587,15328342303.9575,77348348100.0,9.2203484058663,1136.24168316848,75235496800.0,1260.0,110.933853149414,25.1,50.2,55.886,51.7026398681817,3.53891846603377,13490389.0,5327467.0,39.4908312026796
YR2010,1020.0,752610.0,8.53319643791576,18.7863624746096,8.50176133365265,1344100000.0,1.38259276517524,1753705363.65721,88592887900.0,65.0147025206122,32.2389147610701,51336279300.0,52.8064557009767,13.9509131934519,20265559483.8548,97215915400.0,10.2982233241213,1451.10616017155,90677468100.0,1310.0,109.873668045679,24.8,48.6,56.896,51.913735284013,3.46192274224024,13965594.0,5580077.0,39.9558857709992
YR2011,1020.0,752610.0,4.72516156867912,19.4215633785765,6.4293968107234,1502500000.0,1.3176391076812,2403615096.59103,106654536000.0,72.7954324384283,34.4442819243584,57454551300.0,50.3856175027169,11.1074132686175,23459515275.5776,114029665900.0,5.56925219263019,1624.86817763443,108405942800.0,1380.0,111.4007333775,24.5,47.4,57.843,52.0985942763907,3.32527568350911,14437796.0,5828314.0,40.3684491825881
YR2012,1020.0,752610.0,6.78938124085044,20.0616486635548,6.57589970757698,1782500000.0,1.3578688500397,3034200590.6009,118968804700.0,75.367709855907,32.0106503918136,69828293300.0,53.193632268128,6.99222724900214,25503060420.026,131271902900.0,7.59738104901994,1710.05061343728,129048393000.0,1640.0,111.618507192772,24.2,46.1,58.704,52.2881251773126,3.24260026203654,14913629.0,6080265.0,40.7698556821596
