Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,111125709.67216,457686.606629095,,,,,,1053528036.42755,421411.21457102,,276.560896360952,344972.622428678,,,,79.3,53.492,49.269272482972,,3809389.0,474917.0,12.4670077954427
YR1961,657.0,390760.0,,10.1600129249063,,,,127400014.77554,464716.233988529,,,,,-2.04129982268216,1097206526.43457,438882.610573828,6.3161572666004,279.158927151344,344764.982465852,,,,78.1,53.966,48.9233733500254,3.1272647474993,3930401.0,501742.0,12.7656666715537
YR1962,657.0,390760.0,,10.4845780018095,,,,134797489.855023,455312.074858041,,,,,0.469617817285979,1118172225.65019,447268.890260077,1.4344708894259,275.686274355878,339787.713265834,210.0,,,76.9,54.453,48.5447707928014,3.14457014572293,4055959.0,530416.0,13.0774488027535
YR1963,657.0,390760.0,,10.8204135970014,,,,149263572.186158,461626.777377031,,,,,-2.34773995622433,1160103724.1325,464041.489653,6.24434450629604,277.147112572228,338865.552268634,210.0,,,75.5,54.942,48.1042323986108,3.15290821757527,4185877.0,563728.0,13.4673840750242
YR1964,657.0,390760.0,,11.1671345482745,,12650000.0,1.03935584586312,142523632.660219,494769.290664411,,,462829.751278672,95.0166620383227,6.14401173207777,1217759447.00099,487103.778800397,-1.10617185953048,281.888369368235,308237.004308038,180.0,,,74.0,55.431,47.9020223469623,3.15405512116618,4320006.0,603254.0,13.9641868869717
YR1965,657.0,390760.0,,11.5250407134548,,15600000.0,1.18956840018301,147455249.362855,524842.15744979,,27.7878718882007,245012.674868239,46.6831163218207,2.70414329554211,1312105393.62448,524842.15744979,4.91057058739648,294.295520209542,423605.431924019,230.0,,33.3,72.4,55.905,47.983514496309,3.15470723666649,4458462.0,647900.0,14.5319216316545
YR1966,657.0,390760.0,,11.8940597130671,,16950000.0,1.32246235468518,154030704.94935,512961.574550724,,27.0140928473152,246693.372561886,48.09197897093,-3.72996653029915,1282403936.37681,512961.574550725,1.52313002769391,278.709727530089,438562.534032367,250.0,,33.2,70.9,56.359,48.0808825231327,3.15169702106267,4601217.0,696621.0,15.1399394484156
YR1967,657.0,390760.0,,12.2742846064366,,19000000.0,1.36005726556908,165209109.512767,559086.072804673,,28.036523927668,254810.554922388,45.5762625966176,0.576561685525775,1397715282.06274,559086.112825097,8.36700892929179,294.360765229111,508299.935623147,280.0,,33.2,69.5,56.766,48.175760328892,3.1467299739603,4748307.0,748219.0,15.7575914765982
YR1968,657.0,390760.0,,12.6675455602947,,30600000.0,2.06812652068127,180332727.397445,592142.141977894,,28.2299153980749,295594.287676887,49.9194816112112,3.86620676089871,1480355354.94474,592142.141977894,1.97013496821758,302.086211635024,540735.747066443,280.0,,33.4,68.6,57.145,48.2676302263031,3.15368635426982,4900440.0,801429.0,16.354228855545
YR1969,657.0,390760.0,,13.0753030890526,,42350000.0,2.42276887871854,195620729.17051,699556.47766168,,28.3608261058302,333381.211099648,47.6560796265992,5.08033311276162,1748891294.20526,699556.517682104,12.4282358363658,345.754984688223,638347.282985453,320.0,,33.6,68.1,57.481,48.3598499499968,3.16819354991886,5058181.0,854909.0,16.9015080685316
YR1970,657.0,390760.0,0.990362484490154,13.4830502778855,,45950000.0,2.43870077486466,207127801.459641,754067.415683572,,29.9875974302814,375205.074653697,49.7575026683649,-12.0531442365746,1885168339.10681,754067.335642725,22.5651508392827,361.425992338609,699933.633331762,380.0,71.4658813476562,33.8,67.9,57.761,48.4655721198071,3.07081711391574,5215918.0,908218.0,17.4124246451689
YR1971,657.0,390760.0,1.00191358605065,13.893529791909,,49850000.0,2.28806168816267,235763814.990066,871931.44405453,,29.4120120182696,421562.011525722,48.3480662443293,6.16325390440409,2179828710.18738,871931.484074953,8.91758664245974,405.571258550669,793566.505659168,390.0,65.8650207519531,34.2,67.8,57.996,48.568644103037,2.99898875409613,5374712.0,962610.0,17.90998801572
YR1972,657.0,390760.0,0.876788090807493,14.3271164534057,,58450000.0,2.18284348508048,278897526.985973,1071638.67865049,,30.1339672335821,508142.435247555,47.4173305189088,13.4535695071386,2679096596.57517,1071638.63863007,8.32977472632579,483.378111388597,981158.02216187,430.0,69.5617904663086,34.6,68.1,58.175,48.6373432663743,3.0730747956448,5542445.0,1019623.0,18.3966201637777
YR1973,657.0,390760.0,0.920857784530823,14.7871371332558,,86900000.0,2.62585362905663,361081266.992173,1324417.35666545,,32.3026375906159,628966.494181311,47.4900536467303,20.4506559389503,3311043291.61257,1324417.31664503,2.60471469721666,578.81284112321,1225172.195875,510.0,70.6551895141602,35.1,68.7,58.087,48.6687653529366,3.16036931289079,5720404.0,1079780.0,18.8759470686996
YR1974,657.0,390760.0,0.837057504198597,15.2729171513507,,118550000.0,2.97699763949576,445169678.990582,1593677.84567821,,32.262479366105,747876.536354032,46.9277111671063,12.8537552675913,3984194614.19552,1593677.84567821,6.62515361824849,674.335381210306,1457828.03120088,640.0,72.4258499145508,35.7,69.8,58.194,48.6789960984735,3.2323448801644,5908328.0,1143356.0,19.3515947098431
YR1975,657.0,390760.0,0.660107117810495,15.7649166343544,,148600000.0,3.39944638894608,527249265.845345,1749413.08048323,47.1986084141958,31.8594897852715,824595.767712179,47.1355676812624,11.9337531313146,4373532601.15703,1749413.04046281,-1.93122323911253,717.130326238498,1587011.93393012,690.0,72.5885467529297,36.2,71.0,58.249,48.6621646926258,3.17058659058723,6098658.0,1209192.0,19.8271890665658
