sport,event,year,n_nations,n_athletes,is_team_event,gold_per_athlete,n_nations_with_gold,total_per_athlete,n_nations_with_medal
3x3 Basketball,"3x3 Basketball, Men",2020,8,8,True,0.25,1,0.20833333333333334,3
3x3 Basketball,"3x3 Basketball, Women",2020,8,8,True,0.25,1,0.16666666666666666,3
Archery,"Individual, Men",1972,23,54,False,0.16666666666666666,1,0.2333333333333333,3
Archery,"Individual, Men",1976,23,37,False,0.25,1,0.25,3
Archery,"Individual, Men",1980,23,36,False,0.25,1,0.27777777777777773,3
Archery,"Individual, Men",1984,28,56,False,0.16666666666666666,1,0.26666666666666666,2
Archery,"Individual, Men",1988,31,79,False,0.16666666666666666,1,0.16666666666666666,3
Archery,"Individual, Men",1992,32,71,False,0.16666666666666666,1,0.16666666666666666,3
Archery,"Individual, Men",1996,30,63,False,0.16666666666666666,1,0.16666666666666666,3
Archery,"Individual, Men",2000,28,60,False,0.16666666666666666,1,0.2222222222222222,3
Archery,"Individual, Men",2004,31,60,False,0.25,1,0.19444444444444442,3
Archery,"Individual, Men",2008,35,62,False,0.2,1,0.18888888888888888,3
Archery,"Individual, Men",2012,37,61,False,0.16666666666666666,1,0.16666666666666666,3
Archery,"Individual, Men",2016,37,61,False,0.16666666666666666,1,0.25,3
Archery,"Individual, Men",2020,37,61,False,0.5,1,0.3055555555555555,3
Archery,"Individual, Women",1972,20,39,False,0.16666666666666666,1,0.19444444444444442,3
Archery,"Individual, Women",1976,16,27,False,0.25,1,0.4583333333333333,2
Archery,"Individual, Women",1980,17,28,False,0.25,1,0.375,2
Archery,"Individual, Women",1984,21,42,False,0.16666666666666666,1,0.25,2
Archery,"Individual, Women",1988,28,60,False,0.16666666666666666,1,0.5,1
Archery,"Individual, Women",1992,25,57,False,0.16666666666666666,1,0.25,2
Archery,"Individual, Women",1996,28,63,False,0.16666666666666666,1,0.16666666666666666,3
Archery,"Individual, Women",2000,31,61,False,0.16666666666666666,1,0.5,1
Archery,"Individual, Women",2004,29,62,False,0.16666666666666666,1,0.29166666666666663,2
Archery,"Individual, Women",2008,34,63,False,0.16666666666666666,1,0.25,2
Archery,"Individual, Women",2012,38,62,False,0.16666666666666666,1,0.25,2
Archery,"Individual, Women",2016,37,61,False,0.16666666666666666,1,0.41666666666666663,2
Archery,"Individual, Women",2020,37,61,False,0.16666666666666666,1,0.2222222222222222,3
