sport,n_nations_mean,n_nations_max,athletes_per_event,pct_team_events,hhi_gold_mean,hhi_gold_athletes_mean,mean_gold_per_athletes,n_nations_with_gold,hhi_total_mean,hhi_total_athletes_mean,n_nations_with_medal,mean_total_per_athletes,n_editions
3x3 Basketball,13.0,13,8.0,1.0,0.5,0.5,0.25,2.0,0.2222222222222222,0.20987654320987653,5.0,0.225,1
Archery,37.84615384615385,50,38.61923076923077,0.3538461538461538,0.6484615384615384,0.6279895148942768,0.3608974358974359,1.9230769230769231,0.24205128205128207,0.22665968506142897,6.076923076923077,0.3503729141229141,13
Artistic Gymnastics,35.6,59,74.06666666666666,0.14285714285714285,0.27527343684387334,0.2583854918616404,0.27977621658177215,6.266666666666667,0.21593296607757706,0.19236702277141643,10.2,0.4923680024992152,15
Artistic Swimming,20.6,24,19.25,0.85,0.9555555555555555,0.9555555555555555,0.3322222222222222,1.1,0.3248888888888889,0.32463697352708343,3.2,0.33305555555555555,10
Athletics,105.53333333333333,134,37.09652913737729,0.09141542201232106,0.14004149895771917,0.11507631547826508,0.08406424456834634,17.533333333333335,0.10193646797833104,0.05909520978864606,32.6,0.13243717476390765,15
Badminton,34.4,50,23.39,0.58,0.48750000000000004,0.49140479562788536,0.15241638830188559,2.3,0.26709201388888887,0.22414934713293067,4.9,0.21685335746328072,10
Baseball,6.888888888888889,8,6.888888888888889,1.0,1.0,1.0,0.044444444444444446,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.044444444444444446,9
Basketball,15.6,18,11.633333333333333,1.0,0.8333333333333334,0.837037037037037,0.07083333333333333,1.3333333333333333,0.27037037037037037,0.2662404467960024,4.133333333333334,0.07291666666666667,15
Basque pelota,7.5,8,4.425,1.0,,,,0.0,,,0.0,,2
Beach Volleyball,22.857142857142858,24,19.214285714285715,1.0,0.5714285714285714,0.6023395601626894,0.16785714285714287,1.8571428571428572,0.2698412698412699,0.2769475792908052,4.285714285714286,0.22976190476190478,7
