country_noc,sport,success_score_mean,total_golds,total_athletes,success_score_overall
AFG,Athletics,0.0,0.0,12,0.0
AFG,Boxing,0.0,0.0,5,0.0
AFG,Judo,0.0,0.0,3,0.0
AFG,Shooting,0.0,0.0,1,0.0
AFG,Swimming,0.0,0.0,1,0.0
AFG,Taekwondo,0.0,0.0,5,0.0
AFG,Wrestling,0.0,0.0,35,0.0
AHO,Artistic Swimming,0.0,0.0,2,0.0
AHO,Athletics,0.0,0.0,12,0.0
AHO,Equestrian Eventing,0.0,0.0,2,0.0
AHO,Fencing,0.0,0.0,4,0.0
AHO,Judo,0.0,0.0,3,0.0
AHO,Sailing,0.0,0.0,6,0.0
AHO,Shooting,0.0,0.0,6,0.0
AHO,Swimming,0.0,0.0,8,0.0
AHO,Triathlon,0.0,0.0,1,0.0
AHO,Weightlifting,0.0,0.0,6,0.0
ALB,Artistic Gymnastics,0.0,0.0,1,0.0
ALB,Athletics,0.0,0.0,14,0.0
ALB,Cycling Road,0.0,0.0,1,0.0
ALB,Judo,0.0,0.0,3,0.0
ALB,Shooting,0.0,0.0,12,0.0
ALB,Swimming,0.0,0.0,11,0.0
ALB,Weightlifting,0.0,0.0,19,0.0
ALB,Wrestling,0.0,0.0,4,0.0
ALG,Artistic Gymnastics,0.0,0.0,4,0.0
ALG,Athletics,0.03586744639376218,4.0,135,0.02962962962962963
ALG,Badminton,0.0,0.0,1,0.0
ALG,Boxing,0.01282051282051282,1.0,78,0.01282051282051282
ALG,Canoe Sprint,0.0,0.0,1,0.0
ALG,Cycling Road,0.0,0.0,8,0.0
ALG,Fencing,0.0,0.0,22,0.0
ALG,Football,0.0,0.0,2,0.0
ALG,Handball,0.0,0.0,4,0.0
ALG,Judo,0.0,0.0,55,0.0
ALG,Karate,0.0,0.0,1,0.0
ALG,Marathon Swimming,0.0,0.0,1,0.0
ALG,Rowing,0.0,0.0,10,0.0
ALG,Sailing,0.0,0.0,5,0.0
ALG,Shooting,0.0,0.0,3,0.0
ALG,Swimming,0.0,0.0,25,0.0
ALG,Table Tennis,0.0,0.0,6,0.0
ALG,Taekwondo,0.0,0.0,1,0.0
ALG,Tennis,0.0,0.0,2,0.0
ALG,Trampolining,0.0,0.0,1,0.0
ALG,Volleyball,0.0,0.0,3,0.0
ALG,Weightlifting,0.0,0.0,20,0.0
ALG,Wrestling,0.0,0.0,27,0.0
AND,Athletics,0.0,0.0,13,0.0
AND,Boxing,0.0,0.0,1,0.0
AND,Canoe Slalom,0.0,0.0,2,0.0
AND,Cycling Road,0.0,0.0,5,0.0
AND,Judo,0.0,0.0,6,0.0
AND,Sailing,0.0,0.0,3,0.0
AND,Shooting,0.0,0.0,12,0.0
AND,Swimming,0.0,0.0,10,0.0
ANG,Athletics,0.0,0.0,28,0.0
ANG,Basketball,0.0,0.0,6,0.0
ANG,Beach Volleyball,0.0,0.0,1,0.0
ANG,Boxing,0.0,0.0,8,0.0
ANG,Canoe Sprint,0.0,0.0,3,0.0
ANG,Handball,0.0,0.0,7,0.0
ANG,Judo,0.0,0.0,15,0.0
ANG,Roller Hockey,0.0,0.0,1,0.0
ANG,Rowing,0.0,0.0,1,0.0
ANG,Sailing,0.0,0.0,5,0.0
ANG,Shooting,0.0,0.0,3,0.0
ANG,Swimming,0.0,0.0,30,0.0
ANT,Athletics,0.0,0.0,50,0.0
ANT,Boxing,0.0,0.0,3,0.0
ANT,Canoe Sprint,0.0,0.0,2,0.0
ANT,Cycling Mountain Bike,0.0,0.0,1,0.0
ANT,Cycling Road,0.0,0.0,3,0.0
ANT,Cycling Track,0.0,0.0,9,0.0
ANT,Sailing,0.0,0.0,9,0.0
ANT,Swimming,0.0,0.0,8,0.0
ARG,Archery,0.0,0.0,2,0.0
ARG,Artistic Gymnastics,0.0,0.0,13,0.0
ARG,Artistic Swimming,0.0,0.0,2,0.0
ARG,Athletics,0.0,0.0,102,0.0
ARG,Basketball,0.16666666666666666,1.0,6,0.16666666666666666
ARG,Basque pelota,0.0,0.0,4,0.0
ARG,Beach Volleyball,0.0,0.0,8,0.0
ARG,Bowling,0.0,0.0,1,0.0
ARG,Boxing,0.0,0.0,69,0.0
ARG,Canoe Slalom,0.0,0.0,4,0.0
ARG,Canoe Sprint,0.0,0.0,23,0.0
ARG,Cycling BMX Racing,0.0,0.0,8,0.0
ARG,Cycling Mountain Bike,0.0,0.0,10,0.0
ARG,Cycling Road,0.0,0.0,25,0.0
ARG,Cycling Track,0.09090909090909091,1.0,34,0.029411764705882353
ARG,Diving,0.0,0.0,5,0.0
ARG,Equestrian Dressage,0.0,0.0,2,0.0
ARG,Equestrian Eventing,0.0,0.0,17,0.0
ARG,Equestrian Jumping,0.0,0.0,33,0.0
ARG,Fencing,0.0,0.0,62,0.0
ARG,Football,0.21428571428571427,2.0,8,0.25
ARG,Golf,0.0,0.0,3,0.0
ARG,Handball,0.0,0.0,4,0.0
ARG,Hockey,0.041666666666666664,1.0,19,0.05263157894736842
ARG,Judo,0.038461538461538464,1.0,65,0.015384615384615385
ARG,Marathon Swimming,0.0,0.0,4,0.0
ARG,Modern Pentathlon,0.0,0.0,3,0.0
ARG,Roller Hockey,0.0,0.0,1,0.0
ARG,Rowing,0.0,0.0,53,0.0
ARG,Rugby Sevens,0.0,0.0,2,0.0
ARG,Sailing,0.007936507936507936,1.0,78,0.01282051282051282
ARG,Shooting,0.0,0.0,59,0.0
ARG,Surfing,0.0,0.0,1,0.0
ARG,Swimming,0.0,0.0,85,0.0
ARG,Table Tennis,0.0,0.0,12,0.0
ARG,Taekwondo,0.1,1.0,8,0.125
ARG,Tennis,0.0,0.0,52,0.0
ARG,Triathlon,0.0,0.0,7,0.0
ARG,Volleyball,0.0,0.0,10,0.0
ARG,Waterskiing,0.0,0.0,1,0.0
ARG,Weightlifting,0.0,0.0,14,0.0
ARG,Wrestling,0.0,0.0,23,0.0
ARG,Wushu,0.0,0.0,1,0.0
ARM,Artistic Gymnastics,0.0,0.0,6,0.0
ARM,Athletics,0.0,0.0,19,0.0
ARM,Boxing,0.0,0.0,21,0.0
ARM,Canoe Sprint,0.0,0.0,1,0.0
ARM,Cycling Road,0.0,0.0,1,0.0
ARM,Diving,0.0,0.0,3,0.0
ARM,Judo,0.0,0.0,9,0.0
ARM,Shooting,0.0,0.0,7,0.0
ARM,Swimming,0.0,0.0,11,0.0
ARM,Taekwondo,0.0,0.0,1,0.0
ARM,Tennis,0.0,0.0,3,0.0
ARM,Weightlifting,0.0,0.0,38,0.0
ARM,Wrestling,0.03571428571428571,2.0,53,0.03773584905660377
ARM,Wushu,0.0,0.0,1,0.0
ARU,Artistic Swimming,0.0,0.0,2,0.0
ARU,Athletics,0.0,0.0,8,0.0
ARU,Boxing,0.0,0.0,2,0.0
ARU,Cycling Road,0.0,0.0,3,0.0
ARU,Fencing,0.0,0.0,1,0.0
ARU,Judo,0.0,0.0,5,0.0
ARU,Sailing,0.0,0.0,3,0.0
ARU,Shooting,0.0,0.0,1,0.0
ARU,Swimming,0.0,0.0,11,0.0
ARU,Taekwondo,0.0,0.0,1,0.0
ARU,Weightlifting,0.0,0.0,3,0.0
ASA,Archery,0.0,0.0,1,0.0
ASA,Athletics,0.0,0.0,12,0.0
ASA,Boxing,0.0,0.0,5,0.0
ASA,Judo,0.0,0.0,3,0.0
ASA,Sailing,0.0,0.0,2,0.0
ASA,Swimming,0.0,0.0,6,0.0
ASA,Weightlifting,0.0,0.0,8,0.0
ASA,Wrestling,0.0,0.0,3,0.0
AUS,Archery,0.01282051282051282,1.0,50,0.02
AUS,Artistic Gymnastics,0.0,0.0,77,0.0
